Gene	Uniprot	"Protein class"	"Secretome location"	"Secretome function"	"Blood concentration - Conc. blood MS [pg/L]"	"Tissue protein MS - blood vessel [Intensity]"	"Tissue protein MS - skeletal muscle [Intensity]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Single Cell Type RNA - Myonuclei [nCPM]"	"Single Cell Type RNA - Platelets [nCPM]"	"Cell type protein - Skeletal myofibers [Intensity]"
A2M	P01023	"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	"Enzyme inhibitor"	420000000000	612724001.9	127978138.1	0.3	105.1	5.6	169395385.1
A4GALT	Q9NPC4	"Enzymes, Metabolic proteins, Predicted membrane proteins"			16000	15615.6		0.0	0.0	0.0	
AAAS	Q9NRG9	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"					250302.0	12.5	23.8	4.2	1337857.9
AACS	Q86V21	"Enzymes, Metabolic proteins, Predicted membrane proteins"						0.0	8.4	2.8	
AADAT	Q8N5Z0	"Enzymes, Metabolic proteins, Predicted intracellular proteins"						0.0	9.2	0.0	
AAGAB	Q6PD74	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"						3.4	65.2	24.0	
AAK1	Q2M2I8	"Enzymes, Predicted intracellular proteins"				1353560.9	1318451.8	7.2	419.4	36.6	
AAMDC	Q9H7C9	"Predicted intracellular proteins"				20195124.9	593886056.8	1.7	395.5	16.8	169080885.2
AAMP	Q13685	"Essential proteins, Plasma proteins, Predicted intracellular proteins"					340755.0	3.5	9.9	2.8	192361.9
AAR2	Q9Y312	"Predicted intracellular proteins"						2.0	14.7	2.8	
AARS1	P49588	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			930000	12458332.2	5134328.9	7.2	40.6	2.8	15202988.6
AARS2	Q5JTZ9	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"					5268585.1	0.0	7.8	0.0	1379363.7
AARSD1	Q9BTE6	"Predicted intracellular proteins"				2450486.8	936209.2	1.5	0.7	0.0	1134946.7
AASDH	Q4L235	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"						4.7	71.6	0.0	
AASDHPPT	Q9NRN7	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				3153189.0	859198.2	2.5	30.8	11.3	2417163.6
