uniprot_id,gene,class,reason,blood_cor,ery,myo
P02747,C1QC,complement,complement cascade; plasma-derived,0.765,2.1,0.1
P01024,C3,complement,complement cascade; plasma-derived,0.666,0,0.7
P0C0L5,C4B,complement,complement cascade; plasma-derived,0.59,0,0
P01031,C5,complement,complement cascade; plasma-derived,0.658,0.2,1.2
P07358,C8B,complement,complement cascade; plasma-derived,0.456,0,0
P07360,C8G,complement,complement cascade; plasma-derived,0.491,0,1.4
P02748,C9,complement,complement cascade; plasma-derived,0.517,0,0
P00751,CFB,complement,complement cascade; plasma-derived,0.664,0,0
P08603,CFH,complement,complement cascade; plasma-derived,0.618,0,0.1
P05155,SERPING1,complement,complement cascade; plasma-derived,0.501,0,0.7
P13716,ALAD,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.625,39.6,7.2
P16157,ANK1,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.633,183.4,311.2
P30043,BLVRB,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.553,921.8,80.5
P07738,BPGM,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.633,313,9.9
P00915,CA1,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.666,3490.6,4.6
P00918,CA2,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.565,498.3,20.2
P04040,CAT,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.687,155,158.9
P11171,EPB41,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.486,447.9,294.9
P16452,EPB42,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.656,82.1,0
P52209,PGD,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.475,10,18
P00491,PNP,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.65,105.6,0.2
P32119,PRDX2,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.552,361.3,1.9
P11166,SLC2A1,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.48,196.8,0.1
P02730,SLC4A1,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.678,670,0.2
P37840,SNCA,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.581,920.7,0.1
P02549,SPTA1,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.592,113.9,0
P11277,SPTB,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.642,69.9,310.1
P27105,STOM,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.559,152.8,44.1
P37837,TALDO1,erythrocyte,"mature red-cell proteome; enucleate, invisible to transcriptomics",0.479,163.9,21.3
P01876,IGHA1,immunoglobulin,immunoglobulin chain; plasma-derived,0.512,0,0
P01857,IGHG1,immunoglobulin,immunoglobulin chain; plasma-derived,0.677,2.4,0
P01859,IGHG2,immunoglobulin,immunoglobulin chain; plasma-derived,0.785,7.4,0
P01861,IGHG4,immunoglobulin,immunoglobulin chain; plasma-derived,0.546,0,0
P01871,IGHM,immunoglobulin,immunoglobulin chain; plasma-derived,0.664,0.2,0
P01768,IGHV3-30,immunoglobulin,immunoglobulin chain; plasma-derived,0.606,0,0
P01780,IGHV3-7,immunoglobulin,immunoglobulin chain; plasma-derived,0.706,0,0
A0A0B4J1Y9,IGHV3-72,immunoglobulin,immunoglobulin chain; plasma-derived,0.728,0,0
A0A0B4J1X5,IGHV3-74,immunoglobulin,immunoglobulin chain; plasma-derived,0.752,0,0
P06331,IGHV4-34,immunoglobulin,immunoglobulin chain; plasma-derived,0.512,0,0
A0A087WW87,IGKV2-40,immunoglobulin,immunoglobulin chain; plasma-derived,0.686,0,0
P04433,IGKV3-11,immunoglobulin,immunoglobulin chain; plasma-derived,0.685,0,0
P01624,IGKV3-15,immunoglobulin,immunoglobulin chain; plasma-derived,0.704,0,0
P01619,IGKV3-20,immunoglobulin,immunoglobulin chain; plasma-derived,0.474,0,0
P06312,IGKV4-1,immunoglobulin,immunoglobulin chain; plasma-derived,0.604,0.5,0
