contrast,type,sig.PVal,sig.FDR,pval_thresh,lfc_thresh,p_adj_method,sig.Pi,sig.FDR.05,sig.FDR.10
Training_HR,up,134,0,0.1,0,BH,19,0,0
Training_HR,down,124,0,0.1,0,BH,35,0,0
Training_HR,nonsig,1623,1881,0.1,0,BH,1842,1881,1881
Training_LR,up,95,0,0.1,0,BH,17,0,0
Training_LR,down,74,0,0.1,0,BH,8,0,0
Training_LR,nonsig,1715,1884,0.1,0,BH,1871,1884,1884
Acute_HR,up,158,2,0.1,0,BH,54,0,2
Acute_HR,down,165,0,0.1,0,BH,30,0,0
Acute_HR,nonsig,1564,1885,0.1,0,BH,1812,1887,1885
Acute_LR,up,142,12,0.1,0,BH,60,11,12
Acute_LR,down,113,1,0.1,0,BH,16,1,1
Acute_LR,nonsig,1623,1865,0.1,0,BH,1820,1866,1865
Baseline_HRvLR,up,78,0,0.1,0,BH,18,0,0
Baseline_HRvLR,down,67,0,0.1,0,BH,10,0,0
Baseline_HRvLR,nonsig,1734,1879,0.1,0,BH,1868,1879,1879
Trained_HRvLR,up,82,0,0.1,0,BH,21,0,0
Trained_HRvLR,down,55,0,0.1,0,BH,12,0,0
Trained_HRvLR,nonsig,1751,1888,0.1,0,BH,1863,1888,1888
Acute_HRvLR,up,126,0,0.1,0,BH,23,0,0
Acute_HRvLR,down,119,0,0.1,0,BH,25,0,0
Acute_HRvLR,nonsig,1635,1880,0.1,0,BH,1848,1880,1880
Training_Interaction,up,56,0,0.1,0,BH,18,0,0
Training_Interaction,down,72,0,0.1,0,BH,37,0,0
Training_Interaction,nonsig,1746,1874,0.1,0,BH,1841,1874,1874
Acute_Interaction,up,119,0,0.1,0,BH,48,0,0
Acute_Interaction,down,119,0,0.1,0,BH,38,0,0
Acute_Interaction,nonsig,1635,1873,0.1,0,BH,1810,1873,1873
