"uniprot_id","gene","protein","description","S03_T1","S10_T1","S16_T1","S22_T1","S24_T1","S27_T1","S28_T1","S04_T1","S05_T1","S06_T1","S12_T1","S14_T1","S17_T1","S21_T1","S30_T1","S03_T2","S10_T2","S16_T2","S22_T2","S24_T2","S27_T2","S29_T2","S04_T2","S05_T2","S06_T2","S12_T2","S14_T2","S17_T2","S21_T2","S30_T2","S03_T3","S10_T3","S16_T3","S22_T3","S24_T3","S27_T3","S29_T3","S04_T3","S05_T3","S06_T3","S12_T3","S14_T3","S17_T3","S21_T3","S30_T3","logFC","P.Value","adj.P.Val","sig.PVal","sig.FDR"
"A0FGR8","ESYT2","ESYT2_HUMAN","Extended synaptotagmin-2",NA,NA,NA,NA,16.8496189743994,NA,17.2038588825358,16.6182753595801,16.6561171959752,NA,NA,16.41565864213,NA,16.7153708233755,16.4079786037585,NA,NA,16.6956523069184,16.7751108951348,NA,16.518779205318,NA,16.1799503126493,15.8223107624089,16.0676998656765,16.3743198490423,17.0097073667686,NA,15.776286763601,NA,16.796677414187,17.429043549847,16.6663972765452,16.0962546873654,NA,17.082593524116,NA,17.2094285340983,NA,NA,NA,17.0064731107754,NA,NA,16.2916455994024,-0.510934995264339,0.181304564156128,0.794327290491084,0,0
"A1L0T0","ILVBL","ILVBL_HUMAN","Acetolactate synthase-like protein",NA,NA,NA,16.9025455299575,16.7125573276231,NA,NA,NA,16.6473063100154,NA,NA,NA,NA,NA,17.3251621427127,NA,NA,17.2896252345686,17.0329133566079,NA,NA,NA,15.469849022797,NA,17.3029029592199,NA,16.7339532048659,NA,NA,16.9030425796321,17.0372934739243,18.6042770812441,15.4505902046392,17.3431273715816,17.2465673951935,NA,NA,NA,NA,16.8456383294579,NA,NA,NA,NA,17.2368584658005,-0.48834424418877,0.552895448217678,0.960553232773803,0,0
"A5D6W6","FITM1","FITM1_HUMAN","Fat storage-inducing transmembrane protein 1",NA,16.6298552000059,NA,16.1215999068211,NA,15.6999492112615,16.2835530704423,16.8150665046533,16.081997124394,16.5577659544844,15.9107898942995,16.0620626140596,17.6934408996049,NA,16.3485038415658,17.3523675451984,17.2353598684286,14.9101983086593,17.4862767230631,16.9992544450768,NA,15.3668626443921,18.6970182891278,16.2835830956367,18.004202994863,16.8403404014877,NA,NA,16.3013421054889,15.3507780078767,16.9747873928634,NA,16.3654708476546,17.4006505879151,16.2426069635308,16.7349975275755,NA,16.1764746679519,15.4453770285618,16.3248075483381,16.1084668468344,NA,16.3529960978626,NA,NA,1.14462311089787,0.0598637507144365,0.757991535829519,1,0
"A5YM72","CARNS1","CRNS1_HUMAN","Carnosine synthase 1",22.3936570358159,20.7615266312487,21.7516814329247,22.659380310022,20.2271654868581,21.5128526560232,21.1870576139413,20.5709826181678,20.8004867780759,20.5793856261135,21.0758382287438,21.5271049710418,21.744824834704,NA,21.5432772463194,21.4331462647067,21.3931511608123,22.7516220756478,22.1628068648437,21.4441409789012,21.7702279373307,21.4176487457219,21.7119841654239,21.5507243352025,21.4535001736861,21.4062805101791,21.9717747016818,22.2679070452706,21.0198642181225,21.3276627887767,21.7384212014779,20.902284444773,22.1735775304037,21.9552550363202,20.5260001957679,21.4037945139877,21.5148881674286,21.2995831386075,21.2728318507206,20.8452340954762,21.488826196739,21.2765678301015,21.5783390334277,NA,21.3528445724364,-0.00648501876546703,0.984711857337606,0.998898195990266,0,0
"A6NCE7","MAP1LC3B2","MP3B2_HUMAN","Microtubule-associated proteins 1A/1B light chain 3 beta 2",19.6430112594867,18.8171654009167,NA,19.4804588598028,18.6703710256969,19.7545627967172,18.8625146078016,19.2730442870953,19.103135023895,19.504581828652,19.0331557071858,19.7439906669625,19.8961542111465,19.1711278108851,18.280232531207,18.1809399470774,19.3725584966052,18.4639482088848,18.8614041840309,17.3782369800534,18.246238806241,18.7198938368849,18.9646627964201,18.9671093435881,18.9686616920713,18.5641618999431,19.3518334976131,19.6446598078191,19.3264197300643,18.8538353561067,19.2602069591155,19.6683375734387,19.0475224643201,19.3581983862825,19.7036073567739,19.5373415617985,19.0665766054531,18.6121062956909,19.1680447101456,19.0343263288624,18.5831646456217,19.4087480093838,19.319366641956,19.5501924759273,18.9142704913918,0.923329200924378,0.00264065361031834,0.757991535829519,1,0
"A6NDG6","PGP","PGP_HUMAN","Glycerol-3-phosphate phosphatase",22.3749958841713,22.8398605028757,22.7767851864468,23.1572515645375,22.076015211662,22.7643583327061,22.6708133915587,22.457671464615,23.0177127131524,22.8884025901081,22.6745270256038,22.9492168508821,23.0417518370665,22.7089173142071,22.9882972015997,22.7013791648533,22.4944816815423,23.1690898180644,23.3403231971571,23.0717905014072,22.8029734030246,22.0234332307702,22.7015145218805,22.9675256064974,22.9303269923792,22.474381744043,22.6821518989926,22.6194777944653,22.5523635003997,23.0450416560469,22.6152719306527,22.166653058667,22.6720034769993,22.8002067149962,22.1511856798218,22.3384860036954,23.1991574389562,22.5988921805899,23.1006040004658,22.9172103059183,22.7367541331623,22.6841199570361,23.0715878367019,22.5064444002027,22.8762644755888,-0.302101938731628,0.166035493767061,0.778735741547272,0,0
"A6NNS2","DHRS7C","DRS7C_HUMAN","Dehydrogenase/reductase SDR family member 7C",23.6248573288481,22.7901787431483,23.5418941781291,23.1024679379,22.199366073003,22.399197796142,22.8322479977519,22.5745216561082,22.7906020238056,22.8662417945114,23.3488125148071,22.0420331678509,22.762722181233,23.2554266997351,22.2670921220049,22.2015158860003,22.1743757279644,23.172830859075,21.9305514650031,22.63320541487,23.1760100705089,22.0076211836395,21.5583910200801,22.9850024151724,22.5583237717875,22.9013625633535,22.0940021640572,23.0149787252295,22.3017404603881,21.9412251376796,22.3221136318408,21.4455754820139,23.1783203864251,22.5440282455332,21.9144977618186,23.189908108997,22.056943493154,22.9519854086268,22.7318506338173,22.8579308483127,22.0302777812602,21.785944393976,22.2411848407663,22.4681863777495,21.5239021715587,0.00336711845599424,0.992213608344201,0.999290494558225,0,0
"A8MU46","SMTNL1","SMTL1_HUMAN","Smoothelin-like protein 1",22.7611215057483,23.5729036007772,24.3016304198859,24.870035332,23.9179240885964,23.2023664622552,23.9548556926001,23.5874449928683,23.7676896857742,23.3053820677519,22.9623814573282,23.1315396116883,22.5717015893513,23.7200385079457,22.6393927740291,23.6081411390332,23.4905303372851,23.4316366748218,24.4780102168954,23.23149752738,22.9444365170257,23.9572989503226,23.305314564964,22.7260994606578,23.3209639443679,23.1758661335098,22.1543661949898,23.8103551549493,23.3144319332329,23.6088939806455,23.6054078106456,21.7924437335453,23.2795214991911,23.9577494484817,23.2092317855519,23.1769610507646,23.0284563072332,23.3394587461797,23.4709294676882,23.4003173605649,23.2306975192005,22.3817058625203,23.3667557415975,23.0850105641418,23.495771150543,-0.485977198832742,0.17097098314877,0.781807167510866,0,0
"A8MXV4","NUDT19","NUD19_HUMAN","Nucleoside diphosphate-linked moiety X motif 19",NA,NA,NA,NA,16.4648568905261,NA,NA,NA,NA,NA,NA,15.2886292322725,NA,NA,15.5363013970378,NA,NA,16.4089971875689,15.4825513840941,NA,NA,16.1569562487549,NA,14.8329745208111,16.1795719205628,15.5101508299905,NA,15.2767162578622,NA,16.583607129273,NA,NA,15.0615269131902,NA,NA,NA,NA,NA,NA,15.5099938951651,NA,14.9848903492817,16.2896658468903,NA,NA,-0.965070878722576,0.195352319934565,0.818118212911439,0,0
"E9PAV3","NACA","NACAM_HUMAN","Nascent polypeptide-associated complex subunit alpha, muscle-specific form",21.4183446158253,22.0179441884688,21.7695379336253,21.7012494121834,21.4650574442245,21.52751019497,21.708228394902,21.8216588657885,21.7269062994775,21.9748857035501,21.7523766495144,21.4054560314836,21.4990773965356,21.377542567218,21.4948236290203,21.5875841202982,22.6809414737739,22.0806752073079,21.8081573347853,21.8385823837274,21.123995977976,21.6284917186322,22.1197957972629,21.8410852914234,21.6100792186374,21.7290215253025,21.7355189231785,22.0212003784461,21.8065983480417,21.7365392481032,21.8108141102983,22.5235355139224,21.8878735194369,21.7606834375885,21.3919274425718,21.6095579985825,22.1654690507527,21.5791753888573,21.8071258284871,21.7857060701493,21.8402705263667,22.0287506598244,22.0956222012827,21.8680245597468,20.892937761871,0.145125767676628,0.500420417395735,0.945012999179369,0,0
