uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
A0A0B4J2D5,-0.16393066105719356,-0.48350994162741373,0.1556486195130266,25.274415423736762,-1.0343877146107532,-6.24256929332245,0.3067202141954789,0.7678002754306643,-0,-0,0.8238750331938814,0,Training_HR,GATD3B,GAL3B_HUMAN,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"
A0FGR8,-0.3822195340761745,-0.9675636993504594,0.20312463119811042,16.73258886022644,-1.3170299105697123,-5.917574105043705,0.19483441076377547,0.6656752113685372,-0,-0,0.5351756441392419,0,Training_HR,ESYT2,ESYT2_HUMAN,Extended synaptotagmin-2
A1L0T0,0.1972594882170675,-0.5612971825772489,0.955816159011384,16.856022287732227,0.5244981046913041,-6.637778474498117,0.602637361151512,0.8866388761769372,0,0,0.9049278818529928,0,Training_HR,ILVBL,ILVBL_HUMAN,Acetolactate synthase-like protein
A5A3E0,-1.1147712350525012,-2.3614885680680153,0.13194609796301293,18.993217644879472,-1.8034819890410676,-5.193429973006354,0.0783523540427459,0.5342167865905215,-1,-0,0.05849530864773532,0,Training_HR,POTEF,POTEF_HUMAN,POTE ankyrin domain family member F
A5D6W6,0.3028056011996547,-0.6182753704219253,1.2238865728212347,16.545668553024562,0.6630711724080317,-6.555344381102832,0.5108393390164108,0.8428268146647386,0,0,0.8159562295543269,0,Training_HR,FITM1,FITM1_HUMAN,Fat storage-inducing transmembrane protein 1
A5YM72,0.2699247587611566,-0.22933429571593766,0.7691838132382509,21.45427545001824,1.0904253339161194,-6.18395203581236,0.28161774059387745,0.7476247025720729,0,0,0.710312751082463,0,Training_HR,CARNS1,CRNS1_HUMAN,Carnosine synthase 1
A6NCE7,-0.8128537616444653,-1.2544113817750557,-0.371296141513875,19.086741251084682,-3.712267432471803,-0.7486950749119394,5.852387676561806e-4,0.0312127342749963,-1,-1,0.00235675555678589,-1,Training_HR,MAP1LC3B2,MP3B2_HUMAN,Microtubule-associated proteins 1A/1B light chain 3 beta 2
A6NDG6,0.14052255413864145,-0.19124296047655476,0.47228806875383766,22.74165228943097,0.8541154385278759,-6.410960371928534,0.39776029314335415,0.8072936182190696,0,0,0.8784919380284173,0,Training_HR,PGP,PGP_HUMAN,Glycerol-3-phosphate phosphatase
A6NNS2,-0.441660193796686,-0.9646892280922603,0.08136884049888837,22.539665876917454,-1.703164176270841,-5.359068424991301,0.09578726992624495,0.5597745891938831,-1,-0,0.35488218916005576,0,Training_HR,DHRS7C,DRS7C_HUMAN,Dehydrogenase/reductase SDR family member 7C
A8MU46,-0.2013098446794075,-0.7347863550526028,0.33216666569378783,23.34641323499387,-0.7611035807661493,-6.485656873935984,0.45076704143515145,0.8294905930107906,-0,-0,0.8517990707372217,0,Training_HR,SMTNL1,SMTL1_HUMAN,Smoothelin-like protein 1
A8MXV4,-0.907454153568299,-1.5679498771291174,-0.24695843000748052,15.910459088157374,-2.7710779067357354,-3.2123931637285623,0.00823316081265891,0.1904538404856037,-1,-0,0.012837257471778043,-1,Training_HR,NUDT19,NUD19_HUMAN,Nucleoside diphosphate-linked moiety X motif 19
E9PAV3,0.16513343995585217,-0.16760741663912948,0.4978742965508338,21.756840039748134,1.0007616995390851,-6.276312404400927,0.3225238877813119,0.7808901192183088,0,0,0.8295587217804397,0,Training_HR,NACA,NACAM_HUMAN,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"
L0R6Q1,0.08278739502920374,-0.526427447853353,0.6920022379117605,16.432535069013724,0.274086594311266,-6.738380248756741,0.7853361630606489,0.9341789694360019,0,0,0.9801937436645902,0,Training_HR,SLC35A4,S35U4_HUMAN,SLC35A4 upstream open reading frame protein
O00151,-0.16996727459843441,-0.8503356189699295,0.5104010697730607,22.550052989071816,-0.503866244650907,-6.648429745248817,0.6169383732641189,0.8905579187198154,-0,-0,0.9211873547063794,0,Training_HR,PDLIM1,PDLI1_HUMAN,PDZ and LIM domain protein 1
O00159,-0.0973372617520667,-0.5741393157390143,0.37946479223488094,20.140445522048,-0.41171405166391206,-6.690844264440301,0.6825965781137189,0.897289097689734,-0,-0,0.9635139087208521,0,Training_HR,MYO1C,MYO1C_HUMAN,Unconventional myosin-Ic
O00168,-0.3860570499819609,-1.0816243739848659,0.3095102740209441,16.538022538397737,-1.1194543004635482,-6.152449778670864,0.26918746061108045,0.7404583443743187,-0,-0,0.602516087511461,0,Training_HR,FXYD1,PLM_HUMAN,Phospholemman
O00186,-0.09997013570319524,-0.5233699048921641,0.3234296334857735,18.92713104654926,-0.47612550143783833,-6.662101961891964,0.636388089837131,0.8924225027537357,-0,-0,0.9558242968871832,0,Training_HR,STXBP3,STXB3_HUMAN,Syntaxin-binding protein 3
