contrast,stratum,method,rho,n
Acute_HR,0 (imputation is a no-op),missforest,1,931
Acute_HR,1-9,missforest,0.9840364609377352,516
Acute_HR,>=10,missforest,0.9455282050508672,453
Acute_HRvLR,0 (imputation is a no-op),missforest,0.999981485923428,931
Acute_HRvLR,1-9,missforest,0.9854764164271617,516
Acute_HRvLR,>=10,missforest,0.918705642506333,453
Acute_Interaction,0 (imputation is a no-op),missforest,1,931
Acute_Interaction,1-9,missforest,0.983508814988953,516
Acute_Interaction,>=10,missforest,0.9093781662739737,453
Acute_LR,0 (imputation is a no-op),missforest,1,931
Acute_LR,1-9,missforest,0.9872899428026898,516
Acute_LR,>=10,missforest,0.917746100392585,453
Baseline_HRvLR,0 (imputation is a no-op),missforest,0.9999875977993085,931
Baseline_HRvLR,1-9,missforest,0.9765050377916255,516
Baseline_HRvLR,>=10,missforest,0.8860119806921044,453
Trained_HRvLR,0 (imputation is a no-op),missforest,0.9999810249303567,931
Trained_HRvLR,1-9,missforest,0.9879812716695351,516
Trained_HRvLR,>=10,missforest,0.9492467375421978,453
Training_HR,0 (imputation is a no-op),missforest,0.9999780507815098,931
Training_HR,1-9,missforest,0.9800659710288221,516
Training_HR,>=10,missforest,0.9179029027660246,453
Training_Interaction,0 (imputation is a no-op),missforest,0.9999812033792875,931
Training_Interaction,1-9,missforest,0.9727666212622711,516
Training_Interaction,>=10,missforest,0.8907779319369455,453
Training_LR,0 (imputation is a no-op),missforest,1,931
Training_LR,1-9,missforest,0.9881735161213261,516
Training_LR,>=10,missforest,0.933021442165601,453
Acute_HR,0 (imputation is a no-op),imp4p,1,931
Acute_HR,1-9,imp4p,0.9434170687044635,516
Acute_HR,>=10,imp4p,0.8772483392160263,453
Acute_HRvLR,0 (imputation is a no-op),imp4p,0.9998930198659761,931
Acute_HRvLR,1-9,imp4p,0.9422074397117991,516
Acute_HRvLR,>=10,imp4p,0.8730655825229233,453
Acute_Interaction,0 (imputation is a no-op),imp4p,1,931
Acute_Interaction,1-9,imp4p,0.9336539154412647,516
Acute_Interaction,>=10,imp4p,0.8563656720444612,453
Acute_LR,0 (imputation is a no-op),imp4p,1,931
Acute_LR,1-9,imp4p,0.9456093192703443,516
Acute_LR,>=10,imp4p,0.8700697936883803,453
Baseline_HRvLR,0 (imputation is a no-op),imp4p,0.9999187016412694,931
Baseline_HRvLR,1-9,imp4p,0.9054235906913856,516
Baseline_HRvLR,>=10,imp4p,0.8339888357094019,453
Trained_HRvLR,0 (imputation is a no-op),imp4p,0.999860438065358,931
Trained_HRvLR,1-9,imp4p,0.9209264767601263,516
Trained_HRvLR,>=10,imp4p,0.8913199489609023,453
Training_HR,0 (imputation is a no-op),imp4p,0.9998640962684396,931
Training_HR,1-9,imp4p,0.9028457157481046,516
Training_HR,>=10,imp4p,0.8585350078285332,453
Training_Interaction,0 (imputation is a no-op),imp4p,0.9998802607674228,931
Training_Interaction,1-9,imp4p,0.89755370900339,516
Training_Interaction,>=10,imp4p,0.8442337029505863,453
Training_LR,0 (imputation is a no-op),imp4p,1,931
Training_LR,1-9,imp4p,0.921003077570767,516
Training_LR,>=10,imp4p,0.8443778588262805,453
Acute_HR,0 (imputation is a no-op),mscoreutils,1,931
Acute_HR,1-9,mscoreutils,0.9735899271244167,516
Acute_HR,>=10,mscoreutils,0.5807647249552542,453
Acute_HRvLR,0 (imputation is a no-op),mscoreutils,0.9999605776570342,931
Acute_HRvLR,1-9,mscoreutils,0.977645140848976,516
Acute_HRvLR,>=10,mscoreutils,0.6361862393328334,453
Acute_Interaction,0 (imputation is a no-op),mscoreutils,1,931
Acute_Interaction,1-9,mscoreutils,0.9747909963913767,516
Acute_Interaction,>=10,mscoreutils,0.6197289219830092,453
Acute_LR,0 (imputation is a no-op),mscoreutils,1,931
Acute_LR,1-9,mscoreutils,0.9836952947275146,516
Acute_LR,>=10,mscoreutils,0.5753467061737118,453
