contrast,type,sig.PVal,sig.FDR,pval_thresh,lfc_thresh,p_adj_method,sig.Pi,sig.FDR.05,sig.FDR.10
Training_HR,up,133,0,0.1,0,BH,20,0,0
Training_HR,down,131,0,0.1,0,BH,39,0,0
Training_HR,nonsig,1663,1927,0.1,0,BH,1884,1927,1927
Training_LR,up,98,0,0.1,0,BH,17,0,0
Training_LR,down,77,0,0.1,0,BH,14,0,0
Training_LR,nonsig,1754,1929,0.1,0,BH,1912,1929,1929
Acute_HR,up,165,5,0.1,0,BH,62,4,5
Acute_HR,down,171,0,0.1,0,BH,30,0,0
Acute_HR,nonsig,1597,1928,0.1,0,BH,1851,1929,1928
Acute_LR,up,163,31,0.1,0,BH,82,21,31
Acute_LR,down,125,2,0.1,0,BH,15,1,2
Acute_LR,nonsig,1636,1891,0.1,0,BH,1846,1902,1891
Baseline_HRvLR,up,74,0,0.1,0,BH,20,0,0
Baseline_HRvLR,down,66,0,0.1,0,BH,9,0,0
Baseline_HRvLR,nonsig,1785,1925,0.1,0,BH,1914,1925,1925
Trained_HRvLR,up,85,0,0.1,0,BH,22,0,0
Trained_HRvLR,down,59,0,0.1,0,BH,13,0,0
Trained_HRvLR,nonsig,1789,1933,0.1,0,BH,1908,1933,1933
Acute_HRvLR,up,127,0,0.1,0,BH,23,0,0
Acute_HRvLR,down,134,0,0.1,0,BH,35,0,0
Acute_HRvLR,nonsig,1666,1927,0.1,0,BH,1885,1927,1927
Training_Interaction,up,56,0,0.1,0,BH,20,0,0
Training_Interaction,down,73,0,0.1,0,BH,38,0,0
Training_Interaction,nonsig,1790,1919,0.1,0,BH,1885,1919,1919
Acute_Interaction,up,128,0,0.1,0,BH,47,0,0
Acute_Interaction,down,129,0,0.1,0,BH,50,0,0
Acute_Interaction,nonsig,1661,1918,0.1,0,BH,1846,1918,1918
