uniprot_id,protein,gene,description,logFC,P.Value,adj.P.Val,t,B,pi_score,sig_pi,contrast
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,0.36397969088383775,0.08411467228433814,0.7709083467252382,1.7671978289041848,-4.136898936596657,0.40613942959676663,0,Acute_HRvLR
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,0.13256724924484686,0.623380915524535,0.9552365564375793,0.49453813171473504,-5.177344776126922,0.9392712653800073,0,Acute_HRvLR
A5D6W6,FITM1_HUMAN,FITM1,Fat storage-inducing transmembrane protein 1,0.5684138460051571,0.10416171575380716,0.781533527622883,1.6592496651624746,-4.267129469698982,0.2764723458017078,0,Acute_HRvLR
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,0.3984847547356054,0.06923868599178512,0.7317272566730073,1.8622507575472287,-4.04894582739684,0.34506164061853695,0,Acute_HRvLR
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,0.214913537645522,0.2861765580920909,0.9160478622288841,1.079629693031046,-4.831425510829605,0.7642286287341825,0,Acute_HRvLR
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,-0.18014936101834067,0.28573952476333303,0.9160478622288841,-1.0806222438513766,-5.0107760065195075,0.7979825609719158,0,Acute_HRvLR
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,0.15007255689460663,0.545205558833749,0.9552365564375793,0.6096753430997115,-5.329791552542075,0.9129877005474567,0,Acute_HRvLR
A8MU46,SMTL1_HUMAN,SMTNL1,Smoothelin-like protein 1,0.011316591230233541,0.9594332859613568,0.9914703658820319,0.05115466001899635,-5.537146670736314,0.9995314615099041,0,Acute_HRvLR
A8MXV4,NUD19_HUMAN,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,-0.2241549673817662,0.3494743288299933,0.9301761930365439,-0.9456610167293628,-4.975884386390896,0.7900494350678209,0,Acute_HRvLR
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",0.11321807526435634,0.4391416561042938,0.9515374698910672,0.7807137412186305,-5.186340487984792,0.9110377747991212,0,Acute_HRvLR
