group_id,sample_id,ME
black,S03_T1,-0.13069193049130526
blue,S03_T1,-0.17409600578985773
brown,S03_T1,-0.2621569546776794
green,S03_T1,0.07351759424862832
greenyellow,S03_T1,0.2413113019893819
magenta,S03_T1,0.32025718711173284
pink,S03_T1,-0.03884938395016243
purple,S03_T1,-0.22887030349483725
red,S03_T1,-0.4656355385121713
turquoise,S03_T1,0.32117431454237344
yellow,S03_T1,0.10708458249283667
black,S10_T1,0.11129730364383306
blue,S10_T1,-0.04294706214977018
brown,S10_T1,-0.011781217615425055
green,S10_T1,-0.08864094887446694
greenyellow,S10_T1,0.10487481285708766
magenta,S10_T1,0.2242547028235088
pink,S10_T1,0.1311460752501834
purple,S10_T1,0.11070059334120408
red,S10_T1,-0.01939887209081803
turquoise,S10_T1,-0.06877363442724282
yellow,S10_T1,-0.06353863086421807
black,S16_T1,-0.07215717018280182
blue,S16_T1,0.06582592033531265
brown,S16_T1,0.05874482692126223
green,S16_T1,-0.0720116737857811
greenyellow,S16_T1,-0.09843511175150194
magenta,S16_T1,-0.07651435790872646
pink,S16_T1,-0.07309808374001903
purple,S16_T1,0.05411010175063391
red,S16_T1,0.05420544493687091
turquoise,S16_T1,-0.00848129784234622
yellow,S16_T1,-0.06214608572345137
black,S22_T1,-0.388624502092238
blue,S22_T1,-0.04037165415737018
brown,S22_T1,-0.3733011483251655
green,S22_T1,0.3586972640585477
greenyellow,S22_T1,-0.21643515473076338
magenta,S22_T1,-0.11668816125929746
pink,S22_T1,0.010683114327623755
purple,S22_T1,-0.3720139753542092
red,S22_T1,-0.34450012445828904
turquoise,S22_T1,0.3623343591945962
yellow,S22_T1,0.026126013766643114
black,S24_T1,-0.0600582854041748
blue,S24_T1,-0.0157016898139538
brown,S24_T1,0.15613675781156836
green,S24_T1,0.00531966618318316
greenyellow,S24_T1,-0.23333342891503195
magenta,S24_T1,-0.1614171816483193
pink,S24_T1,-0.12801018545884496
purple,S24_T1,0.08560679918324252
red,S24_T1,0.1761729452197639
turquoise,S24_T1,-0.047704805838241056
yellow,S24_T1,-0.010948446368673122
black,S27_T1,-0.2789831674359165
blue,S27_T1,-0.03780225185056123
brown,S27_T1,0.09203064913103068
green,S27_T1,0.29763568032340143
greenyellow,S27_T1,-0.25775507294016625
magenta,S27_T1,-0.18474733520435627
pink,S27_T1,-0.25087816876516184
purple,S27_T1,-0.22405399264819986
red,S27_T1,0.20089308286711183
turquoise,S27_T1,-0.008408227801527798
yellow,S27_T1,0.14171264634816821
black,S28_T1,0.07686890824229721
blue,S28_T1,0.00899481886451998
brown,S28_T1,0.009152497426241107
green,S28_T1,-0.03308412416937041
greenyellow,S28_T1,0.026892680517066402
magenta,S28_T1,0.35433090009148144
pink,S28_T1,0.14159901329583732
purple,S28_T1,0.06396242489850262
red,S28_T1,0.0562852877446179
turquoise,S28_T1,-0.12685275496401743
yellow,S28_T1,-0.024669627321747996
black,S04_T1,0.03438192252207841
blue,S04_T1,0.03917992838964577
brown,S04_T1,-0.03031570475849476
green,S04_T1,-0.05880823685355832
greenyellow,S04_T1,0.029849948138807637
magenta,S04_T1,0.028294188258603185
pink,S04_T1,0.12759497111221066
purple,S04_T1,0.12937655556073646
red,S04_T1,0.012904800849161036
turquoise,S04_T1,-0.07434920924847627
yellow,S04_T1,-0.1477682851848616
black,S05_T1,0.07271442243015798
blue,S05_T1,-0.11797480447546418
brown,S05_T1,0.04870016475135757
green,S05_T1,-0.047511946644619295
greenyellow,S05_T1,0.03988800083976606
magenta,S05_T1,0.11042608682234453
pink,S05_T1,0.042142518473400954
purple,S05_T1,0.062810069166429075
red,S05_T1,0.05999119075809463
turquoise,S05_T1,-0.12191831748687172
yellow,S05_T1,0.01375857476277209
black,S06_T1,0.1121466901960392
blue,S06_T1,-0.06647764568391513
brown,S06_T1,0.06831605109762921
green,S06_T1,-0.10838999607830427
greenyellow,S06_T1,0.18176357048525596
magenta,S06_T1,-0.004055669880548736
pink,S06_T1,0.07790954838070493
purple,S06_T1,0.16062714122371022
red,S06_T1,0.01128839167595275
turquoise,S06_T1,-0.06545994422780109
yellow,S06_T1,-0.04828643429185649
black,S12_T1,0.12839342435649098
blue,S12_T1,-0.14708018877072737
brown,S12_T1,0.011854584716338263
green,S12_T1,-0.18233255923615688
greenyellow,S12_T1,0.1412981265384271
magenta,S12_T1,0.1947472989549384
pink,S12_T1,-0.00940861983991044
purple,S12_T1,0.03763657021885994
red,S12_T1,-0.0448834419065554
turquoise,S12_T1,0.07578945132490063
yellow,S12_T1,0.028242930394017544
black,S14_T1,-0.18901428578222
blue,S14_T1,-0.01670179469641811
brown,S14_T1,0.16856099911924438
green,S14_T1,0.3929762493901021
greenyellow,S14_T1,-0.13136577395870952
magenta,S14_T1,-0.10227554732471182
pink,S14_T1,-0.281930723339629
purple,S14_T1,-0.2066091751739263
red,S14_T1,0.15628805169716553
turquoise,S14_T1,-0.11456753684379978
yellow,S14_T1,0.30350019245828763
black,S17_T1,-0.2039677574956671
blue,S17_T1,-0.18360737729328336
brown,S17_T1,-0.19703160705266104
green,S17_T1,0.21250799567699474
greenyellow,S17_T1,0.14114676580323837
magenta,S17_T1,-0.06311270371061879
pink,S17_T1,-0.056708925171776545
purple,S17_T1,-0.3135834607271234
red,S17_T1,-0.3980723454780167
turquoise,S17_T1,0.22047690062098965
yellow,S17_T1,0.2822644201790751
black,S21_T1,-0.11282617914554952
blue,S21_T1,0.01492887292031658
brown,S21_T1,-0.10153520465515048
green,S21_T1,-0.039568878027202554
greenyellow,S21_T1,-0.18425888056190662
