Col_ID,Subject_ID,Group,Timepoint,pct_missing,prefix,delta_missing,miss_flag,mahal_dist,pca_flag,sample_median,mad_flag,median_cor,cor_flag,n_flags,consensus_outlier,status
S03_T1,HR_S03,HR,T1,29.644879053010808,S03,23.520329387545033,TRUE,6.1697566376258415,FALSE,21.33736547141318,FALSE,0.9321824786142348,TRUE,2,FALSE,Flagged
S10_T1,HR_S10,HR,T1,17.85898095728255,S10,12.96963458569223,FALSE,0.8276033591546038,FALSE,20.924333101999146,FALSE,0.9653034480396925,FALSE,0,FALSE,Clean
S16_T1,HR_S16,HR,T1,19.30005146680391,S16,13.793103448275861,FALSE,0.10009479073273807,FALSE,20.889341770491637,FALSE,0.9615887763687903,FALSE,0,FALSE,Clean
S22_T1,HR_S22,HR,T1,13.998970663921769,S22,9.315491507977352,FALSE,10.787531987900206,FALSE,20.461620328594883,FALSE,0.9347565362168117,TRUE,1,FALSE,Flagged
S24_T1,HR_S24,HR,T1,13.484302624806999,S24,1.6984045290787453,FALSE,0.1628026764216075,FALSE,20.653860585536293,FALSE,0.9673074132600432,FALSE,0,FALSE,Clean
S27_T1,HR_S27,HR,T1,13.896037056098818,S27,7.668553782810089,FALSE,0.8645823748185312,FALSE,20.57446510550351,FALSE,0.9585897754447018,FALSE,0,FALSE,Clean
S28_T1,HR_S28,HR,T1,8.903757076685539,S28,54.55481214616572,TRUE,0.6209214918793977,FALSE,20.58049504648663,FALSE,0.961195823530591,FALSE,1,FALSE,Flagged
S29_T1,HR_S29,HR,T1,36.8502316006176,S29,28.049408131755015,TRUE,14.574254528162818,TRUE,22.003578644413334,TRUE,0.925299802606979,TRUE,4,TRUE,Consensus outlier
S04_T1,LR_S04,LR,T1,6.330416881111684,S04,4.220277920741121,FALSE,0.5450089858880905,FALSE,20.427666024626383,FALSE,0.9726484837263931,FALSE,0,FALSE,Clean
S05_T1,LR_S05,LR,T1,7.97735460627895,S05,10.60216160576428,FALSE,0.745766347120913,FALSE,20.4364662273234,FALSE,0.968776738226715,FALSE,0,FALSE,Clean
S06_T1,LR_S06,LR,T1,25.270200720535257,S06,20.586721564590842,FALSE,1.4161415235833879,FALSE,21.06883007249869,FALSE,0.9694812753040256,FALSE,0,FALSE,Clean
S12_T1,LR_S12,LR,T1,11.0138960370561,S12,4.374678332475552,FALSE,1.1878865981952844,FALSE,20.574095482474746,FALSE,0.9681704043100254,FALSE,0,FALSE,Clean
S14_T1,LR_S14,LR,T1,10.499227997941327,S14,0.823468862583633,FALSE,0.6808371734104398,FALSE,20.362304513731132,FALSE,0.9557224017452182,FALSE,0,FALSE,Clean
S17_T1,LR_S17,LR,T1,19.094184251158,S17,11.682964487905299,FALSE,5.292283761964114,FALSE,20.844030537187635,FALSE,0.9468603926331222,FALSE,0,FALSE,Clean
