Col_ID,Group_Time,is_outlier,status,n
S03_T1,HR_T1,FALSE,Missing,576
S10_T1,HR_T1,FALSE,Missing,347
S16_T1,HR_T1,FALSE,Missing,375
S22_T1,HR_T1,FALSE,Missing,272
S24_T1,HR_T1,FALSE,Missing,262
S27_T1,HR_T1,FALSE,Missing,270
S28_T1,HR_T1,FALSE,Missing,173
S29_T1,HR_T1,TRUE,Missing,716
S04_T1,LR_T1,FALSE,Missing,123
S05_T1,LR_T1,FALSE,Missing,155
S06_T1,LR_T1,FALSE,Missing,491
S12_T1,LR_T1,FALSE,Missing,214
S14_T1,LR_T1,FALSE,Missing,204
S17_T1,LR_T1,FALSE,Missing,371
S21_T1,LR_T1,FALSE,Missing,307
S30_T1,LR_T1,FALSE,Missing,144
S03_T2,HR_T2,FALSE,Missing,224
S10_T2,HR_T2,FALSE,Missing,599
S16_T2,HR_T2,FALSE,Missing,107
S22_T2,HR_T2,FALSE,Missing,91
S24_T2,HR_T2,FALSE,Missing,295
S27_T2,HR_T2,FALSE,Missing,121
S28_T2,HR_T2,TRUE,Missing,996
S29_T2,HR_T2,FALSE,Missing,171
S04_T2,LR_T2,FALSE,Missing,99
S05_T2,LR_T2,FALSE,Missing,97
S06_T2,LR_T2,FALSE,Missing,91
S12_T2,LR_T2,FALSE,Missing,179
S14_T2,LR_T2,FALSE,Missing,204
S17_T2,LR_T2,FALSE,Missing,394
S21_T2,LR_T2,FALSE,Missing,152
S30_T2,LR_T2,FALSE,Missing,95
S03_T3,HR_T3,FALSE,Missing,119
S10_T3,HR_T3,FALSE,Missing,303
S16_T3,HR_T3,FALSE,Missing,135
S22_T3,HR_T3,FALSE,Missing,185
S24_T3,HR_T3,FALSE,Missing,244
S27_T3,HR_T3,FALSE,Missing,295
S28_T3,HR_T3,TRUE,Missing,1233
S29_T3,HR_T3,FALSE,Missing,305
S04_T3,LR_T3,FALSE,Missing,205
S05_T3,LR_T3,FALSE,Missing,361
S06_T3,LR_T3,FALSE,Missing,172
S12_T3,LR_T3,FALSE,Missing,299
S14_T3,LR_T3,FALSE,Missing,188
S17_T3,LR_T3,FALSE,Missing,144
S21_T3,LR_T3,FALSE,Missing,416
S30_T3,LR_T3,FALSE,Missing,278
