"sample","PC1","PC2","Group","Timepoint"
"S03_T1",-22.6691099297709,-29.4558325341979,"HR","T1"
"S10_T1",11.0615978845445,-2.82278859868359,"HR","T1"
"S16_T1",2.42132248548667,4.59679010491036,"HR","T1"
"S22_T1",-46.8869147357292,-3.74487882237435,"HR","T1"
"S24_T1",2.38348040773562,7.85941599812327,"HR","T1"
"S27_T1",-9.88013648268998,9.06249399328972,"HR","T1"
"S28_T1",13.6830180049208,2.69275942012025,"HR","T1"
"S04_T1",8.98872929537154,6.352599421329,"LR","T1"
"S05_T1",13.8541877495779,-2.63229603869556,"LR","T1"
"S06_T1",12.7874922047573,-4.46064125995682,"LR","T1"
"S12_T1",7.2028112255951,-17.1428398397349,"LR","T1"
"S14_T1",-4.94090821873038,11.3060906134487,"LR","T1"
"S17_T1",-26.1021227596664,-24.7087092700181,"LR","T1"
"S21_T1",-7.2697119699488,1.14034607470454,"LR","T1"
"S30_T1",-11.6731679980967,-16.9496740729107,"LR","T1"
"S03_T2",15.03908560179,-5.23448991447255,"HR","T2"
"S10_T2",6.07302410814493,-5.22415547428864,"HR","T2"
"S16_T2",10.9598141523083,3.03230708737013,"HR","T2"
"S22_T2",-0.871133936943551,9.00598170852075,"HR","T2"
"S24_T2",-5.27956166899884,-12.1972181911581,"HR","T2"
"S27_T2",8.95767495663095,5.00950283878969,"HR","T2"
"S29_T2",10.0516815434016,5.429647356467,"HR","T2"
"S04_T2",24.0546502584439,-4.62754956540892,"LR","T2"
"S05_T2",3.50167643804372,-12.1605770174704,"LR","T2"
"S06_T2",-3.80274445845184,-11.3147834510822,"LR","T2"
"S12_T2",8.3422779838128,-18.1773384092853,"LR","T2"
"S14_T2",-20.3667516297498,29.1114915629051,"LR","T2"
"S17_T2",-25.6126000346662,-30.5210135221174,"LR","T2"
"S21_T2",9.22302004706101,1.7471701047183,"LR","T2"
"S30_T2",9.42686627066298,-4.5662105791712,"LR","T2"
"S03_T3",6.49464920089042,16.2733596004818,"HR","T3"
"S10_T3",-3.02328700328178,36.4955528079921,"HR","T3"
"S16_T3",11.1335983001204,-1.08553483154668,"HR","T3"
"S22_T3",-12.8858735847304,19.0754754022981,"HR","T3"
"S24_T3",-56.9413059727704,16.0489341101906,"HR","T3"
"S27_T3",14.3020709175375,-2.45315009315156,"HR","T3"
"S29_T3",5.22623720137963,-6.01910572103623,"HR","T3"
"S04_T3",3.15062434333881,-7.30424053358684,"LR","T3"
"S05_T3",16.6241639899723,-0.907479380389764,"LR","T3"
"S06_T3",2.36272817929795,-10.4020689589798,"LR","T3"
"S12_T3",20.2739348426254,-2.05570716241197,"LR","T3"
"S14_T3",-0.519126327885306,30.2988799312847,"LR","T3"
"S17_T3",7.47263334311369,8.96380030463036,"LR","T3"
"S21_T3",4.6909890066678,3.14413482885608,"LR","T3"
"S30_T3",-11.0195832311233,9.52154997169894,"LR","T3"
