"subject","phase","Group","magnitude"
"S03","Training (T2 - T1)","HR",41.8546918934663
"S10","Training (T2 - T1)","HR",29.9065756413821
"S16","Training (T2 - T1)","HR",27.7691421180444
"S22","Training (T2 - T1)","HR",38.3729713628156
"S24","Training (T2 - T1)","HR",30.2358203010794
"S27","Training (T2 - T1)","HR",32.2502971813078
"S04","Training (T2 - T1)","LR",36.150567318922
"S05","Training (T2 - T1)","LR",23.6654301840949
"S06","Training (T2 - T1)","LR",27.2157243885323
"S12","Training (T2 - T1)","LR",23.6193542706735
"S14","Training (T2 - T1)","LR",40.9205773395183
"S17","Training (T2 - T1)","LR",34.2497894048003
"S21","Training (T2 - T1)","LR",30.0009941288717
"S30","Training (T2 - T1)","LR",28.1995158923097
"S03","Acute (T3 - T2)","HR",27.4024473730648
"S10","Acute (T3 - T2)","HR",37.6595436547368
"S16","Acute (T3 - T2)","HR",20.7171400822327
"S22","Acute (T3 - T2)","HR",32.320304851076
"S24","Acute (T3 - T2)","HR",44.3979162942754
"S27","Acute (T3 - T2)","HR",25.28930909423
"S29","Acute (T3 - T2)","HR",27.4726821935657
"S04","Acute (T3 - T2)","LR",39.1963567771116
"S05","Acute (T3 - T2)","LR",25.0121674865106
"S06","Acute (T3 - T2)","LR",22.5807024614658
"S12","Acute (T3 - T2)","LR",27.7884295535992
"S14","Acute (T3 - T2)","LR",35.827975361616
"S17","Acute (T3 - T2)","LR",43.1053155202104
"S21","Acute (T3 - T2)","LR",23.2882565170043
"S30","Acute (T3 - T2)","LR",32.8516310554072
