"uniprot_id","gene","timepoint","cv_HR","cv_LR"
"A0FGR8","ESYT2","T1",19.0180495156544,8.2878497051279
"A1L0T0","ILVBL","T1",8.68012365267649,15.2469017564663
"A5D6W6","FITM1","T1",23.2746291696136,48.8757933874086
"A5YM72","CARNS1","T1",57.4807888823583,30.715874734752
"A6NCE7","MAP1LC3B2","T1",31.2324896884098,31.6620790569892
"A6NDG6","PGP","T1",23.0463792989703,13.5841299005521
"A6NNS2","DHRS7C","T1",36.9739488536931,30.2454222977144
"A8MU46","SMTNL1","T1",48.6935410961232,31.1213637973985
"A8MXV4","NUDT19","T1",27.6340090747823,8.32892492999041
"E9PAV3","NACA","T1",14.8575814331274,15.2685765010631
"L0R6Q1","SLC35A4","T1",16.0682752929767,30.1313390858459
"O00151","PDLIM1","T1",54.1664241865045,33.1873708670653
"O00159","MYO1C","T1",30.4425931806049,32.3145573531507
"O00168","FXYD1","T1",28.8544866469971,50.9808351564308
"O00186","STXBP3","T1",22.2056926296898,36.1028023931744
"O00217","NDUFS8","T1",30.2978260169253,21.2324545372302
"O00231","PSMD11","T1",15.7557127663326,17.0218906675983
"O00232","PSMD12","T1",24.5205564009777,14.0898426898568
"O00233","PSMD9","T1",40.6229185295525,32.7737047777902
"O00264","PGRMC1","T1",41.3893459419653,23.037698814514
"O00299","CLIC1","T1",30.5822199024096,27.9587854936372
"O00303","EIF3F","T1",26.8152660737843,25.7899582733719
"O00330","PDHX","T1",28.8496396980469,23.4033897999061
"O00410","IPO5","T1",23.2695975750424,20.9085233084202
"O00423","EML1","T1",35.2155564394795,32.9117776060209
"O00429","DNM1L","T1",41.8561522755232,18.1446207357971
"O00442","RTCA","T1",55.2844069666218,27.8533988867984
"O00483","NDUFA4","T1",24.6391942253312,39.1462234508458
"O00487","PSMD14","T1",10.6111272168758,25.6568234248801
"O00499","BIN1","T1",16.6103978863486,16.3412993184062
"O00505","KPNA3","T1",46.6314412677396,18.5953399177224
"O00571","DDX3X","T1",52.655332232238,48.5613803362091
"O00629","KPNA4","T1",14.2301972367615,24.376468143249
"O00748","CES2","T1",30.8504830742052,27.3190094621872
"O00757","FBP2","T1",17.5501935295326,30.8821188438229
"O00763","ACACB","T1",6.60652692093499,12.3754171479878
"O00764","PDXK","T1",36.1682257805269,32.54744990693
"O14521","SDHD","T1",44.1030677677644,29.527633193788
"O14556","GAPDHS","T1",49.7488647970094,71.3970974613647
"O14558","HSPB6","T1",36.8362537145413,52.9277494202387
"O14561","NDUFAB1","T1",17.0212714323393,40.3293904041764
"O14618","CCS","T1",59.4543031588103,47.6746445598597
"O14653","GOSR2","T1",95.9765782760575,70.1324081926351
"O14732","IMPA2","T1",34.1848222577262,33.095414610908
"O14737","PDCD5","T1",40.5531785227354,34.3540863619209
"O14744","PRMT5","T1",23.858379847282,25.9810582076223
"O14818","PSMA7","T1",28.6508359367679,24.8633738896604
"O14841","OPLAH","T1",50.6273151049442,35.1172734890369
"O14874","BCKDK","T1",76.3081727233984,45.0798090301911
"O14880","MGST3","T1",30.7266409843926,35.7716773019331
"O14949","UQCRQ","T1",32.4440008623241,18.5552383410961
"O14950","MYL12B","T1",23.2601640748295,42.5018385779547
"O14957","UQCR11","T1",149.550998566308,62.3172494289269
"O14958","CASQ2","T1",34.522201578861,29.968811752186
"O14979","HNRNPDL","T1",45.8258582127559,36.9511491858836
"O14980","XPO1","T1",44.8843914643768,39.1322874528566
"O14983","ATP2A1","T1",28.0317753293879,20.500995931813
"O15061","SYNM","T1",94.7689766147464,38.7975614934701
