"timepoint","Group","dist_centroid"
"T1","HR",31.303754567215
"T1","HR",19.509769353425
"T1","HR",22.921927493675
"T1","HR",32.598558336525
"T1","HR",19.6708403931323
"T1","HR",23.1710389805294
"T1","HR",24.4220236382731
"T1","LR",18.597243303495
"T1","LR",20.1375062702537
"T1","LR",16.7902754229395
"T1","LR",19.4823177234815
"T1","LR",27.0197161067773
"T1","LR",28.015888050886
"T1","LR",21.9149924555218
"T1","LR",27.0071901113489
"T2","HR",18.9330554167805
"T2","HR",22.1233019869851
"T2","HR",18.2186137958589
"T2","HR",19.2796484384361
"T2","HR",22.9705384028548
"T2","HR",22.8972346800034
"T2","HR",17.5034186286669
"T2","LR",34.3018738602484
"T2","LR",17.5575693469638
"T2","LR",17.9158831012825
"T2","LR",20.54065961241
"T2","LR",33.0944612933282
"T2","LR",33.5540003331853
"T2","LR",19.2897276686922
"T2","LR",18.1889312118227
"T3","HR",16.8371390066305
"T3","HR",27.2267641489918
"T3","HR",17.3227525570107
"T3","HR",25.0329135920143
"T3","HR",39.3332836785612
"T3","HR",18.4985993886576
"T3","HR",19.3645733236917
"T3","LR",19.7981807548949
"T3","LR",17.9702282044359
"T3","LR",18.6787323107048
"T3","LR",18.8662632577475
"T3","LR",22.5212450385523
"T3","LR",19.873092195661
"T3","LR",16.9074217426966
"T3","LR",27.0036735985019
