"contrast","key","direction","threshold","n","pct","signed"
"Acute_LR","Down p","Down","p",50,2.6525198938992,-2.6525198938992
"Acute_LR","Up p","Up","p",92,4.88063660477454,4.88063660477454
"Acute_LR","Down Pi","Down","Pi",15,0.795755968169761,-0.795755968169761
"Acute_LR","Up Pi","Up","Pi",61,3.23607427055703,3.23607427055703
"Acute_HR","Down p","Down","p",91,4.82758620689655,-4.82758620689655
"Acute_HR","Up p","Up","p",99,5.25198938992042,5.25198938992042
"Acute_HR","Down Pi","Down","Pi",30,1.59151193633952,-1.59151193633952
"Acute_HR","Up Pi","Up","Pi",54,2.86472148541114,2.86472148541114
"Training_LR","Down p","Down","p",35,1.85676392572944,-1.85676392572944
"Training_LR","Up p","Up","p",52,2.75862068965517,2.75862068965517
"Training_LR","Down Pi","Down","Pi",8,0.424403183023873,-0.424403183023873
"Training_LR","Up Pi","Up","Pi",17,0.90185676392573,0.90185676392573
"Training_HR","Down p","Down","p",64,3.39522546419098,-3.39522546419098
"Training_HR","Up p","Up","p",60,3.18302387267904,3.18302387267904
"Training_HR","Down Pi","Down","Pi",35,1.85676392572944,-1.85676392572944
"Training_HR","Up Pi","Up","Pi",20,1.06100795755968,1.06100795755968
"Baseline_HRvLR","Down p","Down","p",26,1.37931034482759,-1.37931034482759
"Baseline_HRvLR","Up p","Up","p",35,1.85676392572944,1.85676392572944
"Baseline_HRvLR","Down Pi","Down","Pi",10,0.530503978779841,-0.530503978779841
"Baseline_HRvLR","Up Pi","Up","Pi",19,1.0079575596817,1.0079575596817
