"contrast","ontology","n_terms"
"Baseline_HRvLR","BP",48
"Baseline_HRvLR","CC",35
"Baseline_HRvLR","MF",45
"Training_HR","BP",55
"Training_HR","CC",25
"Training_HR","MF",29
"Training_LR","BP",0
"Training_LR","CC",12
"Training_LR","MF",0
"Training_Interaction","BP",22
"Training_Interaction","CC",40
"Training_Interaction","MF",28
"Acute_HR","BP",200
"Acute_HR","CC",82
"Acute_HR","MF",68
"Acute_LR","BP",1
"Acute_LR","CC",18
"Acute_LR","MF",2
"Acute_Interaction","BP",78
"Acute_Interaction","CC",39
"Acute_Interaction","MF",10
