"engine","module","trait","model","beta_std","p","p_bh"
"wgcna","blue","comp_hypertrophy","acute",0.742768918048676,0.00151250471295019,0.142931695373793
"wgcna","blue","comp_hypertrophy","baseline",-0.332220607210421,0.226356416771777,0.731821780571905
"wgcna","blue","comp_hypertrophy","tracks",0.0029971599297831,0.983177989882753,0.998961668261752
"wgcna","blue","d_1rm_ext","acute",0.146639616487465,0.616906902093435,0.998961668261752
"wgcna","blue","d_1rm_ext","baseline",-0.494772045018319,0.0720722699388636,0.585796459092599
"wgcna","blue","d_1rm_ext","tracks",-0.0143450490002547,0.923256511951788,0.998961668261752
"wgcna","blue","d_1rm_legpress","acute",-0.112592922434392,0.689514469208574,0.998961668261752
"wgcna","blue","d_1rm_legpress","baseline",-0.00896271416758678,0.974710299337698,0.998961668261752
"wgcna","blue","d_1rm_legpress","tracks",0.00572178906314451,0.967910561489086,0.998961668261752
"wgcna","blue","d_fcsa_I","acute",0.474230934548324,0.0741040618994097,0.585796459092599
"wgcna","blue","d_fcsa_I","baseline",-0.0455199996791664,0.872025913840442,0.998961668261752
"wgcna","blue","d_fcsa_I","tracks",0.00191625137618879,0.989242877844825,0.998961668261752
"wgcna","blue","d_fcsa_II","acute",0.48238926907446,0.0685873902218474,0.585796459092599
"wgcna","blue","d_fcsa_II","baseline",-0.120094267242146,0.669874332470166,0.998961668261752
"wgcna","blue","d_fcsa_II","tracks",0.00285932199714439,0.983951201208328,0.998961668261752
"wgcna","blue","d_mcsa","acute",0.430114567781195,0.109540216512144,0.592213702791083
"wgcna","blue","d_mcsa","baseline",-0.458970363589622,0.0852658040885004,0.585796459092599
"wgcna","blue","d_mcsa","tracks",-0.000657966452028246,0.996306028538009,0.998961668261752
"wgcna","blue","d_myovision_fcsa_I","acute",-0.50785262226149,0.0532743139632649,0.585796459092599
"wgcna","blue","d_myovision_fcsa_I","baseline",0.210846493794931,0.450667279706721,0.998961668261752
"wgcna","blue","d_myovision_fcsa_I","tracks",-0.00475870221174988,0.973303019029428,0.998961668261752
"wgcna","brown","comp_hypertrophy","acute",0.299615674120939,0.277962877640081,0.820859123030865
"wgcna","brown","comp_hypertrophy","baseline",-0.0999064256067963,0.723147210896189,0.998961668261752
"wgcna","brown","comp_hypertrophy","tracks",-0.00562880628601747,0.970229017309597,0.998961668261752
"wgcna","brown","d_1rm_ext","acute",0.0297445222632585,0.919599253437974,0.998961668261752
"wgcna","brown","d_1rm_ext","baseline",-0.489563390468096,0.0755953185700665,0.585796459092599
"wgcna","brown","d_1rm_ext","tracks",0.0158662589218586,0.921249304020968,0.998961668261752
"wgcna","brown","d_1rm_legpress","acute",0.121271012070978,0.666810917987943,0.998961668261752
"wgcna","brown","d_1rm_legpress","baseline",0.19404740632572,0.48832534687623,0.998961668261752
"wgcna","brown","d_1rm_legpress","tracks",-0.0107457870118472,0.943232079447845,0.998961668261752
"wgcna","brown","d_fcsa_I","acute",0.238483490246941,0.392018056270529,0.992672932613471
"wgcna","brown","d_fcsa_I","baseline",-0.0174273839860119,0.950846039853397,0.998961668261752
"wgcna","brown","d_fcsa_I","tracks",-0.00359880955457078,0.980960723437702,0.998961668261752
"wgcna","brown","d_fcsa_II","acute",0.243705798183544,0.381416078974953,0.987501903099537
"wgcna","brown","d_fcsa_II","baseline",-0.0164984387569733,0.953463443093787,0.998961668261752
"wgcna","brown","d_fcsa_II","tracks",-0.00536994021284638,0.971597030451281,0.998961668261752
"wgcna","brown","d_mcsa","acute",0.214292950124686,0.443125166934491,0.998961668261752
"wgcna","brown","d_mcsa","baseline",-0.0304704419171792,0.914156401639212,0.998961668261752
"wgcna","brown","d_mcsa","tracks",0.00123569171746984,0.993461596568761,0.998961668261752
"wgcna","brown","d_myovision_fcsa_I","acute",0.35377402330158,0.195797514618451,0.656219671099026
"wgcna","brown","d_myovision_fcsa_I","baseline",0.278047867995741,0.315657811628791,0.914899815315483
"wgcna","brown","d_myovision_fcsa_I","tracks",0.00893706493824688,0.952763570377752,0.998961668261752
"wgcna","green","comp_hypertrophy","acute",-0.608476459591923,0.0160833726198876,0.506626237526459
"wgcna","green","comp_hypertrophy","baseline",0.314778777128121,0.253155429738852,0.784366823289231
"wgcna","green","comp_hypertrophy","tracks",-0.0060998824498101,0.960650318722923,0.998961668261752
