"engine","group","group_label","pathway","database","padj","pval","overlap","size","odds_ratio"
"wgcna","blue","wgcna blue","REACTOME_RRNA_PROCESSING","Reactome",0.00455837173795635,0.000428347121157998,9,15,7.17
"wgcna","blue","wgcna blue","REACTOME_CELLULAR_RESPONSE_TO_STARVATION","Reactome",0.00455837173795635,0.00082879486144661,9,16,6.12
"wgcna","blue","wgcna blue","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","Reactome",0.0100458756291087,0.00456630710414031,8,16,4.64705882352941
"wgcna","blue","wgcna blue","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL","Reactome",0.0100458756291087,0.00456630710414031,8,16,4.64705882352941
"wgcna","blue","wgcna blue","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","Reactome",0.0298111431780792,0.0162606235516796,8,19,3.33689839572193
"wgcna","blue","wgcna blue","GOBP_STRIATED_MUSCLE_CONTRACTION","GO:BP",0.0425903122484286,0.00224159538149624,10,21,4.34137291280148
"wgcna","green","wgcna green","GOBP_MITOCHONDRION_ORGANIZATION","GO:BP",0.0382694097496239,0.00201417946050652,8,26,4.92753623188406
"wgcna","turquoise","wgcna turquoise","HALLMARK_HEME_METABOLISM","Hallmark",3.44095064435811e-08,1.72047532217906e-08,15,17,28.9830508474576
"mfuzz","c1","mfuzz c1","HALLMARK_HEME_METABOLISM","Hallmark",1.71373926251119e-05,8.56869631255593e-06,14,17,12.2869198312236
"mfuzz","c4","mfuzz c4","REACTOME_RRNA_PROCESSING","Reactome",0.00144050906483816,0.000267597661009901,11,15,7.84666666666667
"mfuzz","c4","mfuzz c4","REACTOME_CELLULAR_RESPONSE_TO_STARVATION","Reactome",0.00144050906483816,0.000654776847653709,11,16,6.248
"mfuzz","c4","mfuzz c4","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","Reactome",0.00144050906483816,0.000654776847653709,11,16,6.248
"mfuzz","c4","mfuzz c4","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL","Reactome",0.00144050906483816,0.000654776847653709,11,16,6.248
"mfuzz","c4","mfuzz c4","REACTOME_TRANSLATION","Reactome",0.0122430349258589,0.00667801905046848,15,30,2.85915492957746
"mfuzz","c4","mfuzz c4","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","Reactome",0.0287988733342324,0.0183265557581479,10,19,3.05555555555556
"mfuzz","c4","mfuzz c4","GOBP_MYOTUBE_DIFFERENTIATION","GO:BP",0.0367314098825506,0.00354843182151796,10,16,4.64912280701754
"mfuzz","c4","mfuzz c4","GOBP_CYTOPLASMIC_TRANSLATION","GO:BP",0.0367314098825506,0.00386646419816322,12,21,3.76576576576577
