pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.870379956465809e-18,2.931122446863799,151,VDAC2;SLC25A4;TIMM13;PDHX;CPT1A;COX5A;IDH3A;ATP5F1A;NNT;SLC25A6;UQCRC2;CS;ATP5MG;HCCS;COX5B;HSD17B10;GOT2;FXN;NDUFA7;IDH3B;COX6B1;DLAT;NDUFB8;MFN2;DLST;NDUFS8;MDH2;ATP5PO;SLC25A11;IDH2;VDAC3;AIFM1;NDUFS7;UQCR10;PDHA1;VDAC1;BCKDHA;NDUFA2;LRPPRC;ECH1;ATP5F1B;NDUFS4;GLUD1;NDUFB4;ETFB;NDUFA6;ATP5F1E;AFG3L2;NDUFV2;SUCLG1;TIMM9;NDUFB5;UQCRC1;TIMM50;FH;SUCLA2;NDUFS3;SDHD;MRPS22;HSPA9;COX7A2;MAOB;SLC25A12;HTRA2;NDUFB6;COX4I1;ACAA1;ETFA;DECR1;IDH3G;CYB5R3;NDUFS1;NDUFV1;NDUFA3;ACAA2;SDHB;PHB2;NDUFB7;ACADM;SDHA;PDHB;UQCRFS1;NQO2;ACADVL;TIMM10;SURF1;UQCRH;IMMT;NDUFC2;ATP5ME;ATP6V1G1;NDUFB3;NDUFA8;PRDX3;COX6C;HADHB;ATP5PB,Hallmark,5.231342595559408e-21,0.5913795404735764,1.1866509527928102,Training_HR
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,1.1646947912365748e-10,2.363550398282151,224,TRAP1;SLC25A4;HMGCL;PDPR;PDHX;COX5A;IDH3A;ATP5F1A;LYRM7;NDUFB10;PNPT1;NNT;NDUFB9;UQCRC2;CS;ATP5MG;HCCS;HK1;COX5B;FXN;NDUFA7;SLC25A13;PPP1R3A;IDH3B;COX6B1;DLAT;NDUFB8;MFN2;DLST;NDUFS8;ADHFE1;MDH2;MT-ATP6;ATP5PO;MT-CO2;IDH2;FDXR;MT-ND3;NDUFS7;UQCR10;ALDOC;PDHA1;MTCH2;NDUFA2;ATP5F1B;NDUFS4;COMT;NDUFB4;ETFB;NDUFA6;NDUFA12;ATP5F1E;PYGB;NDUFV2;SUCLG1;GAPDHS;H6PD;NDUFB5;GHITM;UQCRC1;FH;SUCLA2;NDUFS3;SDHD;PDK2;GYS1;PGLS;NDUFA11;PFKFB1;NDUFS5;PFKL;COX7A2;SUCLG2;PHKG1;STOML2;NDUFB6;COX4I1;ETFA;PFKM;ATG3;IDH3G;SHMT2;NDUFS1;NDUFV1;NDUFA3;ALDH1L1;SDHB;TALDO1;PFKFB2;MT-ND1;PYGM;EPM2A;NDUFB7;ACADM;SDHA;PDHB;UQCRFS1;PPIF;ALDOA;ACADVL;PKM;SURF1;UQCRH,GO:BP,2.5020296267165944e-13,0.45044173826945577,0.932595211336209,Training_HR
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,3.5281137318735562e-9,2.6289641957357746,85,SLC25A4;COX5A;ATP5F1A;LETM1;NDUFB10;NNT;ATP1A1;NDUFB9;ATP5MG;COX5B;NDUFA7;SLC25A13;COX6B1;NDUFB8;NDUFS8;MT-ATP6;ATP5PO;MT-CO2;MT-ND3;NDUFS7;UQCR10;NDUFA2;ATP5F1B;NDUFS4;ATP1A2;NDUFB4;NDUFA6;NDUFA12;ATP5F1E;NDUFV2;NDUFB5;GHITM;UQCRC1;NDUFS3;SLC16A1;NDUFS5;SLC25A12;NDUFB6;COX4I1;NDUFS1;NDUFV1;NDUFA3;MT-ND1;PHB2;NDUFB7;UQCRFS1;SURF1;UQCRH;DMAC2L;NDUFC2;ATP5ME;ATP6V1G1;NDUFB3;NDUFA8,GO:BP,1.515838338076716e-11,0.5827823873011021,0.8634153916066928,Training_HR
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,5.406442550985018e-7,2.5365175519644043,59,ATP5F1A;NDUFB10;NDUFB9;ATP5MG;NDUFA7;NDUFB8;NDUFS8;MT-ATP6;ATP5PO;MT-ND3;NDUFS7;NDUFA2;ATP5F1B;NDUFS4;NDUFB4;NDUFA6;NDUFA12;ATP5F1E;NDUFV2;NDUFB5;NDUFS3;SDHD;NDUFA11;NDUFS5;STOML2;NDUFB6;NDUFS1;NDUFV1;NDUFA3;SDHB;MT-ND1;NDUFB7;SDHA;NDUFC2;ATP5ME;NDUFB3;NDUFA8;ATP5PB;MT-ND5,GO:BP,2.9035674280263256e-9,0.6009803280163257,0.7749390301364363,Training_HR
GOBP_OXIDATIVE_PHOSPHORYLATION,1.4894113366487717e-6,2.3530482760343028,98,COX5A;ATP5F1A;NDUFB10;NDUFB9;UQCRC2;ATP5MG;COX5B;FXN;NDUFA7;COX6B1;NDUFB8;NDUFS8;MT-ATP6;ATP5PO;MT-CO2;MT-ND3;NDUFS7;UQCR10;MTCH2;NDUFA2;ATP5F1B;NDUFS4;NDUFB4;NDUFA6;NDUFA12;ATP5F1E;NDUFV2;NDUFB5;GHITM;UQCRC1;NDUFS3;SDHD;NDUFA11;NDUFS5;COX7A2;STOML2;NDUFB6;COX4I1;SHMT2;NDUFS1;NDUFV1;NDUFA3;SDHB;MT-ND1;NDUFB7;SDHA;UQCRFS1;PPIF;UQCRH;NDUFC2;ATP5ME;NDUFB3;NDUFA8;COX6C;ATP5PB;MT-ND5,GO:BP,9.59878412448188e-9,0.5083451629207785,0.7477396631498854,Training_HR
GOBP_MITOCHONDRION_ORGANIZATION,1.0982190899745926e-5,2.104754169250068,140,MTX1;VDAC2;TOMM40;SLC25A4;LONP1;TIMM13;HMGCL;LYRM7;LETM1;APOO;PNPT1;SLIRP;SLC25A6;COX19;SAMM50;HSD17B10;FXN;ENDOG;TFAM;MFN2;ATPAF1;NDUFS8;COA3;AIFM1;NDUFS7;MTCH2;NDUFS4;NDUFA6;AFG3L2;TACO1;TIMM9;TIMM8A;GHITM;TIMM50;CLUH;TMEM11;FAM162A;NDUFS3;SLC25A46;HSPA9;NDUFS5;CHCHD10;STOML2;HTRA2;COA6;TFRC;HSPD1;ATG3;NDUFS1;ACAA2;MT-ND1;PHB2;EPM2A;VAT1;APOOL;UQCRFS1;PPIF;TIMM10;SURF1;IMMT,GO:BP,1.0616511073868242e-7,0.4286071733519783,0.7049757151672383,Training_HR
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,9.037445328299878e-5,2.0203675280655906,126,PDPR;PDHX;ATP5F1A;NDUFB10;NDUFB9;ATP5MG;GCDH;AK2;NDUFA7;SLC25A13;DLAT;ADK;NDUFB8;DLST;NDUFS8;MT-ATP6;ATP5PO;IDH2;MT-ND3;NDUFS7;ACACA;SHMT1;PDHA1;NDUFA2;ATP5F1B;NDUFS4;NDUFB4;NDUFA6;NDUFA12;ATP5F1E;NDUFV2;NDUFB5;ADSS2;PAICS;NDUFS3;SDHD;PDK2;NDUFA11;NDUFS5;STOML2;NDUFB6;PPCS;ACSL1;MMUT;NDUFS1;NDUFV1;NDUFA3;SDHB;CBR4;MT-ND1;NDUFB7;SDHA;PDHB;ALDOA;NME1;PRPS1;DMAC2L;NDUFC2;ATP5ME;NDUFB3;NDUFA8,GO:BP,1.0677969775649694e-6,0.41800437727760403,0.6435518361507222,Training_HR
GOBP_MUSCLE_CONTRACTION,4.2890711598255187e-4,-1.8872225426311724,148,MYH6;HRC;RPL32;MYH4;ANKRD2;MYH3;MAP2K1;GNAS;TMOD4;MYH13;SYNM;ACTA1;CACNA2D1;TNNC2;RPL6;PRKACA;TNNT3;TNNI1;MYH8;BIN1;MYBPH;TPM1;CAV1;FLNA;MB;EEF2;PPP1R12B;TTN;DES;GSTM2;TMEM38A;FKBP1A;CASQ2;CSRP3;MYLK2;TMOD1;MYL4;RPL9;DMD;SLMAP;TNNC1;RPL18A;ATP2B4;GAA;CA3;CRYAB;MYL1;TCAP;RPLP1;MAP2K3;JSRP1;TPM3;MYL6B;RPL27;TNNT1,GO:BP,5.989035991163452e-6,-0.3841683521891625,0.610526878385931,Training_HR
GOBP_SKELETAL_MUSCLE_CONTRACTION,7.016155782740542e-4,-2.2556849341927356,29,MYH3;GNAS;SYNM;TNNC2;TNNT3;TNNI1;MYH8;MB;EEF2;TTN;GSTM2;FKBP1A;DMD;TNNC1;GAA;CA3;TCAP;JSRP1;TNNT1,GO:BP,1.0550610199609839e-5,-0.6327132394377635,0.5933254763964051,Training_HR
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,7.940336618791556e-4,2.131802809468841,47,MTX1;VDAC2;TOMM40;SLC25A4;TIMM13;LETM1;APOO;SLC25A6;SAMM50;MFN2;MTCH2;AFG3L2;TIMM9;TIMM8A;GHITM;TIMM50;TMEM11;SLC25A46;HSPA9;CHCHD10,GO:BP,1.2793238376141067e-5,0.5309658234767831,0.5933254763964051,Training_HR
GOBP_MUSCLE_CELL_DEVELOPMENT,0.0010836747300206125,-2.0001387985551595,72,MYH6;CFL2;MYH3;SYNPO2L;TMOD4;ACTA1;PDLIM5;TNNT3;BIN1;MYBPH;MYOM3;TPM1;MYOZ1;PAK1;TOMM70;TTN;ACTN4;ALPK3;NEB;CSRP3;PLEC;ACTN2;TMOD1;PPP3CA;DCAF8;DMD;FLNC;MYBPC1;TCAP;TNNT1;GSK3A;PRKAR1A;BIN3;MYL2;MYPN;MYOM2,GO:BP,2.09518207737605e-5,-0.46091449408204715,0.5756102610711286,Training_HR
GOBP_MYOFIBRIL_ASSEMBLY,0.0013165919194647845,-2.149697346119096,41,MYH6;CFL2;MYH3;SYNPO2L;TMOD4;ACTA1;TNNT3;MYBPH;MYOM3;TPM1;MYOZ1;TTN;NEB;CSRP3;PLEC;ACTN2;TMOD1;FLNC;MYBPC1;TCAP;TNNT1;PRKAR1A;MYL2;MYPN;MYOM2;ADPRHL1;LMOD3,GO:BP,2.686922284622009e-5,-0.5562106977820321,0.5756102610711286,Training_HR
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,0.0018219191054815388,2.1080791771722542,42,NDUFB10;NDUFB9;NDUFA7;NDUFB8;NDUFS8;MT-ND3;NDUFS7;NDUFA2;NDUFS4;NDUFB4;NDUFA6;NDUFV2;NDUFB5;NDUFS3;NDUFA11;NDUFS5;NDUFB6;NDUFS1;NDUFV1;NDUFA3;MT-ND1;NDUFB7;NDUFC2;NDUFB3;NDUFA8,GO:BP,4.109591967251591e-5,0.5399465744556351,0.557332238758646,Training_HR
GOBP_MUSCLE_ORGAN_DEVELOPMENT,0.0019840518506690987,-1.9392709341571708,85,MYH6;ANKRD2;CFL2;MYH3;GPC1;ACTA1;FHL1;TNNI1;FLNB;MUSTN1;TPM1;CAV1;MYOZ1;ASS1;EEF2;TTN;DES;NEB;FKBP1A;CSRP3;PLEC;MYLK2;FXR1;PPP3CA;SMYD1;DMD;TNNC1;COL6A3;CRYAB;TRIM72;TCAP;MYL6B;SPEG;ERO1A;BIN3;MYL2;SMTNL1;MYL6;YBX3;LMOD3;JPH1;MYL3,GO:BP,4.688414684717526e-5,-0.43341975080264766,0.557332238758646,Training_HR
GOBP_TRICARBOXYLIC_ACID_CYCLE,0.0036265578166236132,2.1184412297628934,26,IDH3A;NNT;CS;IDH3B;DLAT;DLST;MDH2;IDH2;PDHA1;SUCLG1;FH;SUCLA2;SDHD;SUCLG2;IDH3G;SDHB;SDHA;PDHB,GO:BP,9.348806401607597e-5,0.609542204581593,0.5384340963099162,Training_HR
GOBP_AMINO_ACID_METABOLIC_PROCESS,0.008586083821732156,1.7900684628995551,97,HMGCL;AIMP2;HIBADH;ALDH4A1;GCDH;ACAD8;HSD17B10;GOT2;YARS1;DLST;BCAT2;FARSB;SHMT1;BCKDHA;ALDH7A1;GLUD1;ETFB;DARS1;ADSS2;LRRC47;FH;DDAH1;TARS1;CARNS1;BLMH;GLUL;KYAT3;ASPA;IARS2;GCSH;ETFA;ALDH5A1;IARS1;HIBCH;SHMT2;MMUT;AARS1,GO:BP,2.490056532618348e-4,0.3872215680004678,0.49849310876659025,Training_HR
GOBP_AMINO_ACID_CATABOLIC_PROCESS,0.010154653531927155,1.992997891447487,44,HMGCL;HIBADH;ALDH4A1;GCDH;ACAD8;HSD17B10;GOT2;DLST;BCAT2;SHMT1;BCKDHA;ALDH7A1;GLUD1;ETFB;DDAH1;CARNS1;BLMH;GLUL;KYAT3;GCSH;ETFA;ALDH5A1;HIBCH,GO:BP,3.054031137421701e-4,0.5031344807069243,0.49849310876659025,Training_HR
GOBP_NEUROMUSCULAR_PROCESS,0.011260978979197731,-1.9648785629443544,37,MYH3;GNAS;SYNM;TNNC2;TNNT3;TNNI1;MYH8;MB;EEF2;TTN;GSTM2;FKBP1A;DMD;TNNC1;GAA;OPA3;CA3;TCAP;JSRP1;TNNT1;PAFAH1B1,GO:BP,3.507716330791989e-4,-0.5206302776682092,0.49849310876659025,Training_HR
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,0.011627636909122432,-1.800242754196477,60,MAP2K1;GNAS;NCL;PTPN1;RAB10;PRKACA;CFL1;BLVRB;YWHAG;CAV1;PRKAR2A;ASS1;PAK1;MAPK1;CSRP3;ACTN2;GRB2;PPP3CA;GSTP1;CA2;GOT1;RAB8A;CA3;TRIM72;PXN;GSK3A;AKT2;PRKAR1A;RAC1,GO:BP,3.752760557720524e-4,-0.4319294772125641,0.49849310876659025,Training_HR
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,0.011659349723898026,1.7715018604742196,91,ACAD10;HMGCL;CPT1A;HIBADH;ALDH4A1;GCDH;ACAD8;CRAT;HSD17B10;GOT2;DLAT;DLST;BCAT2;SHMT1;BCKDHA;ECI2;ECH1;ALDH7A1;GLUD1;ETFB;SLC16A1;DDAH1;CARNS1;TST;BLMH;GLUL;KYAT3;GCSH;ACAA1;ETFA;ALDH5A1;DECR1;HIBCH;ALDH1L1;ACAA2,GO:BP,4.0075101091808466e-4,0.3883451323776878,0.49849310876659025,Training_HR
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,0.012980346877275336,1.949266725251734,43,LYRM7;COX19;FXN;TFAM;ATPAF1;NDUFS8;COA3;AIFM1;NDUFS7;NDUFS4;NDUFA6;TACO1;NDUFS3;NDUFS5;COA6;NDUFS1;MT-ND1;UQCRFS1;SURF1;NDUFC2;ATPAF2;MT-ND5;TIMM21;NUBPL;MT-ND4,GO:BP,4.6009822443618273e-4,0.4959824559406368,0.49849310876659025,Training_HR
