pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1e-10,2.9374349289996573,151,VDAC2;SLC25A4;TIMM13;PDHX;CPT1A;COX5A;IDH3A;ATP5F1A;NNT;SLC25A6;UQCRC2;CS;ATP5MG;HCCS;COX5B;HSD17B10;GOT2;FXN;NDUFA7;IDH3B;COX6B1;DLAT;NDUFB8;MFN2;DLST;NDUFS8;MDH2;ATP5PO;SLC25A11;IDH2;VDAC3;AIFM1;NDUFS7;UQCR10;PDHA1;VDAC1;BCKDHA;NDUFA2;LRPPRC;ECH1;ATP5F1B;NDUFS4;GLUD1;NDUFB4;ETFB;NDUFA6;ATP5F1E;AFG3L2;NDUFV2;SUCLG1;TIMM9;NDUFB5;UQCRC1;TIMM50;FH;SUCLA2;NDUFS3;SDHD;MRPS22;HSPA9;COX7A2;MAOB;SLC25A12;HTRA2;NDUFB6;COX4I1;ACAA1;ETFA;DECR1;IDH3G;CYB5R3;NDUFS1;NDUFV1;NDUFA3;ACAA2;SDHB;PHB2;NDUFB7;ACADM;SDHA;PDHB;UQCRFS1;NQO2;ACADVL;TIMM10;SURF1;UQCRH;IMMT;NDUFC2;ATP5ME;ATP6V1G1;NDUFB3;NDUFA8;PRDX3;COX6C;HADHB;ATP5PB,Hallmark,2.2418063529144544e-21,0.5913795404735764,1.1953444825884847,Training_HR,1,4,30.166666666666668,17.083333333333336,0.06981317007977318,0.5265076576849561,0.29816041388236464,OXPHOS
HALLMARK_FATTY_ACID_METABOLISM,2e-10,1.8014509009125184,86,HMGCL;RDH11;CPT1A;GCDH;HCCS;CRAT;HSD17B10;IDH3B;DLST;MDH2;PDHA1;OSTC;ECI2;ECH1;MGLL;SUCLG1;GAPDHS;EPHX1;HSDL2;FH;SUCLA2;SDHD;ERP29;SUCLG2;GLUL;ACAA1;DECR1;ACSL1;IDH3G;HSP90AA1;HIBCH;HSPH1;ACAA2;IDI1;ACADM;SDHA;PDHB;CRYZ;ALDOA;ACADVL,Hallmark,3.7589356288647466e-4,0.3978801964635528,0.49849310876659025,Training_HR,2,33.16666666666667,59.333333333333336,46.25,0.5788675352447861,1.035562022849969,0.8072147790473774,"Fatty Acid
Metabolism"
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,3e-10,2.358416795002197,224,TRAP1;SLC25A4;HMGCL;PDPR;PDHX;COX5A;IDH3A;ATP5F1A;LYRM7;NDUFB10;PNPT1;NNT;NDUFB9;UQCRC2;CS;ATP5MG;HCCS;HK1;COX5B;FXN;NDUFA7;SLC25A13;PPP1R3A;IDH3B;COX6B1;DLAT;NDUFB8;MFN2;DLST;NDUFS8;ADHFE1;MDH2;MT-ATP6;ATP5PO;MT-CO2;IDH2;FDXR;MT-ND3;NDUFS7;UQCR10;ALDOC;PDHA1;MTCH2;NDUFA2;ATP5F1B;NDUFS4;COMT;NDUFB4;ETFB;NDUFA6;NDUFA12;ATP5F1E;PYGB;NDUFV2;SUCLG1;GAPDHS;H6PD;NDUFB5;GHITM;UQCRC1;FH;SUCLA2;NDUFS3;SDHD;PDK2;GYS1;PGLS;NDUFA11;PFKFB1;NDUFS5;PFKL;COX7A2;SUCLG2;PHKG1;STOML2;NDUFB6;COX4I1;ETFA;PFKM;ATG3;IDH3G;SHMT2;NDUFS1;NDUFV1;NDUFA3;ALDH1L1;SDHB;TALDO1;PFKFB2;MT-ND1;PYGM;EPM2A;NDUFB7;ACADM;SDHA;PDHB;UQCRFS1;PPIF;ALDOA;ACADVL;PKM;SURF1;UQCRH,GO:BP,1.502751059709835e-13,0.45044173826945577,0.9436322252328375,Training_HR,3,62.333333333333336,88.5,75.41666666666667,1.0879219004097986,1.5446163880149817,1.3162691442123902,"Generation
Of Precursor
Metabolites And
Energy"
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,4e-10,2.630299381475298,85,SLC25A4;COX5A;ATP5F1A;LETM1;NDUFB10;NNT;ATP1A1;NDUFB9;ATP5MG;COX5B;NDUFA7;SLC25A13;COX6B1;NDUFB8;NDUFS8;MT-ATP6;ATP5PO;MT-CO2;MT-ND3;NDUFS7;UQCR10;NDUFA2;ATP5F1B;NDUFS4;ATP1A2;NDUFB4;NDUFA6;NDUFA12;ATP5F1E;NDUFV2;NDUFB5;GHITM;UQCRC1;NDUFS3;SLC16A1;NDUFS5;SLC25A12;NDUFB6;COX4I1;NDUFS1;NDUFV1;NDUFA3;MT-ND1;PHB2;NDUFB7;UQCRFS1;SURF1;UQCRH;DMAC2L;NDUFC2;ATP5ME;ATP6V1G1;NDUFB3;NDUFA8,GO:BP,5.768433050461183e-12,0.5827823873011021,0.8870749883998732,Training_HR,4,91.5,117.66666666666667,104.58333333333334,1.5969762655748114,2.0536707531799943,1.8253235093774032,"Proton
Transmembrane
Transport"
GOBP_OXIDATIVE_PHOSPHORYLATION,5e-10,2.350599809956749,98,COX5A;ATP5F1A;NDUFB10;NDUFB9;UQCRC2;ATP5MG;COX5B;FXN;NDUFA7;COX6B1;NDUFB8;NDUFS8;MT-ATP6;ATP5PO;MT-CO2;MT-ND3;NDUFS7;UQCR10;MTCH2;NDUFA2;ATP5F1B;NDUFS4;NDUFB4;NDUFA6;NDUFA12;ATP5F1E;NDUFV2;NDUFB5;GHITM;UQCRC1;NDUFS3;SDHD;NDUFA11;NDUFS5;COX7A2;STOML2;NDUFB6;COX4I1;SHMT2;NDUFS1;NDUFV1;NDUFA3;SDHB;MT-ND1;NDUFB7;SDHA;UQCRFS1;PPIF;UQCRH;NDUFC2;ATP5ME;NDUFB3;NDUFA8;COX6C;ATP5PB;MT-ND5,GO:BP,3.084470688174085e-9,0.5083451629207785,0.7749390301364363,Training_HR,5,120.66666666666667,146.83333333333334,133.75,2.1060306307398244,2.562725118345007,2.3343778745424157,OXPHOS
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,6e-10,2.5195251651824866,59,ATP5F1A;NDUFB10;NDUFB9;ATP5MG;NDUFA7;NDUFB8;NDUFS8;MT-ATP6;ATP5PO;MT-ND3;NDUFS7;NDUFA2;ATP5F1B;NDUFS4;NDUFB4;NDUFA6;NDUFA12;ATP5F1E;NDUFV2;NDUFB5;NDUFS3;SDHD;NDUFA11;NDUFS5;STOML2;NDUFB6;NDUFS1;NDUFV1;NDUFA3;SDHB;MT-ND1;NDUFB7;SDHA;NDUFC2;ATP5ME;NDUFB3;NDUFA8;ATP5PB;MT-ND5,GO:BP,2.8527235930163548e-9,0.6009803280163257,0.7749390301364363,Training_HR,6,149.83333333333334,176,162.91666666666669,2.6150849959048372,3.07177948351002,2.843432239707429,"Proton Motive
Force Driven ATP
Synthesis"
HALLMARK_MYOGENESIS,7.000000000000001e-10,-1.646372686850995,94,HRC;MYH4;ANKRD2;COL6A2;MYH3;SYNGR2;SH3BGR;ACTA1;TNNC2;FHL1;TNNT3;FABP3;TNNI1;MYH8;BIN1;MYBPH;MYOZ1;MB;DES;CD36;CASQ2;CSRP3;ACTN2;MYL4;DMD;TNNC1;COL6A3;EIF4A2;GAA;CRYAB;COL4A2;MYL1;TCAP;TPM3;MYL6B;TNNT1;SPEG;AKT2;MYL2;MYOM2;FDPS;PDLIM7;PVALB,Hallmark,0.001247631862628179,-0.3617693191539355,0.45505986738722953,Training_HR,7,184,210.16666666666666,197.08333333333331,3.211405823669566,3.668100311274749,3.4397530674721573,Myogenesis
GOBP_MUSCLE_CONTRACTION,8e-10,-1.8805827380896254,148,MYH6;HRC;RPL32;MYH4;ANKRD2;MYH3;MAP2K1;GNAS;TMOD4;MYH13;SYNM;ACTA1;CACNA2D1;TNNC2;RPL6;PRKACA;TNNT3;TNNI1;MYH8;BIN1;MYBPH;TPM1;CAV1;FLNA;MB;EEF2;PPP1R12B;TTN;DES;GSTM2;TMEM38A;FKBP1A;CASQ2;CSRP3;MYLK2;TMOD1;MYL4;RPL9;DMD;SLMAP;TNNC1;RPL18A;ATP2B4;GAA;CA3;CRYAB;MYL1;TCAP;RPLP1;MAP2K3;JSRP1;TPM3;MYL6B;RPL27;TNNT1,GO:BP,6.20741101482095e-6,-0.3841683521891625,0.610526878385931,Training_HR,8,213.16666666666666,239.33333333333331,226.25,3.720460188834579,4.177154676439762,3.94880743263717,Muscle Contraction
GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT,9e-10,-2.2212540933887213,31,MYH3;GNAS;SYNM;TNNC2;TNNT3;TNNI1;MYH8;MB;EEF2;TTN;GSTM2;FKBP1A;DMD;TNNC1;GAA;CA3;TCAP;JSRP1;TNNT1,GO:BP,7.116621024168423e-6,-0.6159117521540026,0.610526878385931,Training_HR,9,242.33333333333331,268.5,255.41666666666666,4.229514553999592,4.686209041604775,4.457861797802183,"Multicellular
Organismal
Movement"
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,1e-9,-2.1233975618337357,46,MYH6;CFL2;MYH3;GPC1;SYNPO2L;TMOD4;ACTA1;TNNT3;MYBPH;MYOM3;TPM1;MYOZ1;TTN;NEB;TPPP;CSRP3;PLEC;ACTN2;TMOD1;FLNC;MYBPC1;TCAP;TNNT1;PAFAH1B1;PRKAR1A;MYL2;MYPN;MYOM2;ADPRHL1;LMOD3,GO:BP,2.465040407694165e-5,-0.5358214998198559,0.5756102610711286,Training_HR,10,271.5,297.6666666666667,284.58333333333337,4.738568919164605,5.195263406769788,4.9669161629671965,"Cellular Component
Assembly Involved
In Morphogenesis"
