pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
HALLMARK_MITOTIC_SPINDLE,1e-10,2.0727899328562205,35,DYNC1H1;BIN1;STK38L;SEPTIN9;TUBA4A;CLIP2;SPTAN1;CLIP1;MAPRE1;MARCKS;EPB41L2;FSCN1;PAFAH1B1;EZR;GSN;FLNA;ARHGDIA;YWHAE,Hallmark,1.8166918269003595e-4,0.5670460332714831,0.5188480777437918,Acute_HRvLR,1,4,30.166666666666668,17.083333333333336,0.06981317007977318,0.5265076576849561,0.29816041388236464,Mitotic Spindle
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,2e-10,2.013599637439268,34,EIF4A2;EEF2;PAIP1;LSM4;HSP90B1;FUS;TUBB2A;EIF2S1;IARS1;RPS14;EIF4A1;HSPA5;HYOU1;DNAJA4;BAG3;KIF5B;SPCS1;DCTN1;NPM1,Hallmark,3.0358149854365436e-4,0.5537707715023542,0.49849310876659025,Acute_HRvLR,2,33.16666666666667,59.333333333333336,46.25,0.5788675352447861,1.035562022849969,0.8072147790473774,"Unfolded Protein
Response"
GOBP_CYTOPLASMIC_TRANSLATION,3e-10,2.3467210384614567,102,RWDD1;RPS20;EIF4A2;RPL27;RPL13A;EIF2S3;EEF1D;EIF3G;RPL12;RPL7A;RPL14;RPL17;RPL7;EEF2;RPLP2;EIF3C;EIF3E;RPL6;PAIP1;MCTS1;ETF1;RPS25;RPS5;EIF3F;RPS3;RPS14;EIF3B;RPS15A;EIF4A1;RPL15;RPL31;RPL18A;RPL4;RPLP1;RPS26;RPL10A;EIF4H;RPL36;EIF3M;RPL23A;RPL18;RPL23;RPS19;RPL22;RPS7;RPL24;RPLP0;RPS21;SARS1;RPL38;HNRNPD;RPL30;RPS17,GO:BP,2.211483672394854e-9,0.5188195209784914,0.7749390301364363,Acute_HRvLR,3,62.333333333333336,88.5,75.41666666666667,1.0879219004097986,1.5446163880149817,1.3162691442123902,"Cytoplasmic
Translation"
GOBP_RESPONSE_TO_HEAT,4e-10,2.2940889131680966,32,MAPT;PRKACA;EEF1D;HSPB2;CRYAB;AKT1;CHORDC1;CASQ1;HSPB1;VCP;STUB1;HSP90AA1;EIF2S1;RBBP7;HSP90AB1;HSPA2;PDCD6;DNAJA2;YWHAE;DNAJA4,GO:BP,3.9700626937329965e-6,0.638375065616853,0.610526878385931,Acute_HRvLR,4,91.5,117.66666666666667,104.58333333333334,1.5969762655748114,2.0536707531799943,1.8253235093774032,Resp. to Heat
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,5e-10,2.042065814503315,89,DDX1;PRKRA;RPL27;RPL13A;EIF2S3;RUVBL1;EIF3G;RPL7A;RPL14;RPL7;EIF3C;EIF3E;MCTS1;LSM4;RPS25;HSP90AA1;RPS5;EIF3F;EIF5B;CUL4B;RPS14;HSP90AB1;SNRPB;PA2G4;EIF3B;DDX3X;RPS15A;EIF4H;EIF3M;RPS19;RPS7;RPL24;RPLP0;SNRPD3;XRCC5;RPS21;SBDS;RPL38;RPS17;EIF1AX;NPM1;RPS9;RPS3A;DDX39B;EIF3D;EIF2A;XPO1;RPS6;NUDT16;RPS4X;RPSA;EIF3J,GO:BP,5.648520992196003e-6,0.4617107545995621,0.610526878385931,Acute_HRvLR,5,120.66666666666667,146.83333333333334,133.75,2.1060306307398244,2.562725118345007,2.3343778745424157,"Ribonucleoprotein
Complex Biogenesis"
GOBP_TRANSLATIONAL_INITIATION,6e-10,2.1001539484689395,52,EIF4A2;DDX1;RPL13A;EIF2S3;EIF3G;EIF3C;EIF3E;HSPB1;PAIP1;MCTS1;RPS5;EIF3F;EIF5B;RPS3;EIF2S1;EIF3B;DDX3X;EIF4A1;EIF4H;ABCE1;PPP1CA;EIF3M,GO:BP,1.9399926299742176e-5,0.5281597850019453,0.5756102610711286,Acute_HRvLR,6,149.83333333333334,176,162.91666666666669,2.6150849959048372,3.07177948351002,2.843432239707429,"Translational
Initiation"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.000000000000001e-10,-2.4684162516074926,153,BDH2;DLST;SLC25A6;AIFM1;UQCRB;ECI1;ACADSB;HCCS;COX6B1;MDH2;DLAT;ACADVL;SDHA;SUCLG1;PDK4;GOT2;SDHB;ACAT1;PDHX;OGDH;TIMM10;FXN;MAOB;IDH1;CS;SUCLA2;AFG3L2;SLC25A11;CPT1A;PDHA1;ATP5MG;NDUFB4;IDH2;GPX4;PDHB;SURF1;ATP5PO;NDUFB7;IDH3G;IMMT;NDUFV1;VDAC1;SLC25A3;NDUFV2;NDUFB3;PHB2;SLC25A12;NDUFA6;NDUFC2;HADHB;ATP6V1G1;TIMM13;NDUFA7;ACADM;CYCS;NDUFS6;UQCRQ;NDUFB1;COX6C;NDUFS4;ETFDH;SDHD;ATP5PF;COX5A;COX5B;UQCR10;ATP5F1E;LRPPRC;IDH3A;VDAC3;TIMM9;NNT;NDUFS3;NDUFS8;NDUFB6;NDUFS1;MFN2;VDAC2;NDUFB8;UQCRC1;UQCRC2;ACAA2;NDUFA8;DECR1;NDUFA2;ATP5F1A,Hallmark,3.734581712410687e-13,-0.5129947361566566,0.932595211336209,Acute_HRvLR,7,184,210.16666666666666,197.08333333333331,3.211405823669566,3.668100311274749,3.4397530674721573,OXPHOS
HALLMARK_HEME_METABOLISM,8e-10,-2.685651484287724,53,GLRX5;ANK1;SNCA;BPGM;BSG;BLVRA;EPB41;SPTB;PRDX2;HEBP1;USP15;GYPC;SLC2A1;CAT;UBAC1;ALDH1L1;ALAD;BLVRB;RNF123;SELENBP1;MPP1;GCLM;GCLC;NEK7,Hallmark,1.1386703466171994e-10,-0.673443744511044,0.8390889356212738,Acute_HRvLR,8,213.16666666666666,239.33333333333331,226.25,3.720460188834579,4.177154676439762,3.94880743263717,Heme Metabolism
GOBP_AEROBIC_RESPIRATION,9e-10,-2.4376920800308697,127,PPIF;SNCA;DLST;SUCLG2;UQCRB;COX6B1;MDH2;DLAT;CAT;SDHA;SUCLG1;NDUFB11;COX7A1;SDHB;OGDH;FXN;COA6;NDUFA11;IDH1;CS;NDUFB9;CHCHD10;SUCLA2;PDHA1;MT-ND1;IDE;ATP5MG;NDUFS5;NDUFB4;IDH2;PDHB;NDUFB10;SURF1;ATP5PO;NDUFB7;MT-ND3;IDH3G;NDUFV1;NDUFV2;NDUFB3;NDUFA6;NDUFC2;NDUFA7;CYCS;NDUFS6;UQCRQ;NDUFB1;COX6C;MT-ND2;SHMT2;NDUFS4;SDHD;ATP5PF;COX5A;COX5B;UQCR10;ATP5F1E;NIPSNAP2;IDH3A;CHCHD2;NNT;NDUFS3;NDUFS8;NDUFB6;NDUFS1;MFN2;MT-ATP6;NDUFA12;NDUFA13;NDUFB8;UQCRC1;UQCRC2;NDUFA8;MT-CO2,GO:BP,2.8081165083565432e-11,-0.5211058547264901,0.8634153916066928,Acute_HRvLR,9,242.33333333333331,268.5,255.41666666666666,4.229514553999592,4.686209041604775,4.457861797802183,"Aerobic
Respiration"
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,1e-9,-2.2091740070817583,223,PPIF;SNCA;BPGM;DLST;HMGCL;PFKFB1;PGAM2;SUCLG2;UQCRB;HCCS;COX6B1;MDH2;DLAT;CAT;PHKG1;ACADVL;SDHA;SUCLG1;NDUFB11;ALDH1L1;COX7A1;ENO3;SDHB;ACAT1;PPP1R2;OGDH;FXN;COA6;NDUFA11;IDH1;CS;NDUFB9;CHCHD10;ATG3;SUCLA2;EPM2A;PDHA1;MT-ND1;IDE;ATP5MG;PHKB;NDUFS5;NDUFB4;IDH2;ALDOC;PKM;PDHB;NDUFB10;SURF1;ENO2;PHKA1;ATP5PO;NDUFB7;MT-ND3;GAPDHS;IDH3G;AGL;RPIA;H6PD;ALDOA;NDUFV1;NDUFV2;PHKA2;NDUFB3;NDUFA6;NDUFC2;SLC25A13;NDUFA7;ACADM;PGAM1;CYCS;NDUFS6;UQCRQ;TKT;NDUFB1;COX6C;MT-ND2;SHMT2;NDUFS4;ETFDH;ADHFE1;SDHD;ATP5PF;COX5A;COX5B;UQCR10;ATP5F1E;NIPSNAP2;GSK3A;IDH3A;TALDO1;CHCHD2;NNT;NDUFS3;NDUFS8;NDUFB6;NDUFS1;MFN2;LYRM7;MT-ATP6;NDUFA12;NDUFA13;NDUFB8;UQCRC1;COQ10A;UQCRC2;NDUFA8;MT-CO2;GYS1;PPP1CB;NDUFA2;ATP5F1A;ENO1;GNPDA1;GAPDH;ACTN3;COMT;NDUFS7;PGD;COX4I1;MTCH2;ETFA;ADIPOQ;FBP1,GO:BP,2.352045676524107e-11,-0.4370990969709403,0.8634153916066928,Acute_HRvLR,10,271.5,297.6666666666667,284.58333333333337,4.738568919164605,5.195263406769788,4.9669161629671965,"Generation
Of Precursor
Metabolites And
Energy"
