gene,logFC,neg_log10_p,pi_score,adj_pval,direction
PNP,2.1453,4.3143,0,0.012936,Up
CAT,1.606,4.322,0,0.012936,Up
BPGM,1.6506,4.1598,0,0.015621,Up
SPTB,1.8065,4.6452,0,0.010896,Up
LCP1,2.3374,4.6503,0,0.010896,Up
ANK1,2.0984,4.5349,0,0.010896,Up
STOM,1.7849,3.7441,0,0.030593,Up
SNCA,2.9187,4.9221,0,0.010896,Up
HBG2,2.7574,2.6162,0,0.176085,Up
SYNE2,3.1405,3.9357,0,0.021649,Up
HEBP1,1.9014,3.4027,0,0.056821,Up
SEPTIN6,2.2436,2.5013,2e-6,0.183929,Up
SLC2A1,1.8296,2.927,4e-6,0.138045,Up
EPB41,1.7833,2.8421,9e-6,0.149192,Up
BLVRB,0.9864,4.5439,3.3e-5,0.010896,Up
PNPT1,-1.0692,4.1232,3.9e-5,0.015621,Down
ALAD,1.2222,3.5378,4.7e-5,0.045097,Up
ARHGAP19,1.4878,2.7978,6.9e-5,0.156524,Up
TCAP,1.2169,3.1161,1.61e-4,0.102073,Up
ADD1,1.5557,2.288,2.76e-4,0.24453,Up
TKT,1.4865,2.2177,5.05e-4,0.257035,Up
SEPTIN9,-1.1729,2.6104,8.67e-4,0.176085,Down
GCLC,1.2215,2.4669,9.7e-4,0.191212,Up
LXN,1.6104,1.8671,9.84e-4,0.390046,Up
CCS,1.1796,2.5435,0.001,0.183929,Up
MPP1,1.1913,2.515,0.001009,0.183929,Up
NANS,1.2891,2.2887,0.001121,0.24453,Up
MRPL49,-1.159,2.4582,0.001416,0.191212,Down
HNRNPA2B1,1.0413,2.6808,0.001616,0.17569,Up
FLOT1,1.0386,2.551,0.002241,0.183929,Up
YARS1,1.2536,2.0519,0.002678,0.301249,Up
CAP1,0.9771,2.5258,0.003404,0.183929,Up
NUBP1,-0.9579,2.5506,0.003605,0.183929,Down
HNRNPA1,0.8984,2.6521,0.004143,0.17569,Up
ARPC4,0.8793,2.6998,0.004228,0.17569,Up
HLA-B,1.2007,1.9708,0.004303,0.33845,Up
APMAP,0.9728,2.4196,0.004427,0.202972,Up
HNRNPC,1.2454,1.887,0.004466,0.384382,Up
ARHGDIB,1.4418,1.6239,0.004558,0.503303,Up
UBE2O,-1.0726,2.1312,0.005176,0.287568,Down
DDI2,1.3625,1.6131,0.006341,0.503303,Up
RRAD,1.2135,1.7965,0.006606,0.426159,Up
TFRC,1.0324,2.0245,0.008126,0.315098,Up
PITPNA,0.995,2.0921,0.008286,0.294539,Up
PGD,0.7001,2.8709,0.009773,0.147837,Up
HNRNPR,0.6496,3.031,0.010742,0.115882,Up
ANXA3,0.8384,2.2595,0.012757,0.250545,Up
HPRT1,0.8589,2.1888,0.013183,0.257442,Up
CLIC1,0.8219,2.2202,0.014968,0.257035,Up
CHORDC1,-1.1865,1.5286,0.015357,0.525773,Down
LSM2,1.0587,1.647,0.01804,0.495118,Up
DDX6,0.8336,2.0582,0.019244,0.301249,Up
FLOT2,0.7518,2.2808,0.019286,0.24453,Up
SH3BGRL,1.0979,1.5547,0.019642,0.525773,Up
TMOD1,0.9525,1.7849,0.019948,0.431027,Up
FERMT3,1.6497,1.0295,0.020033,0.714894,Up
CSNK1A1,0.8569,1.8991,0.023583,0.379901,Up
STOML2,-0.6084,2.6462,0.024545,0.17569,Down
UBE2D1,-0.9208,1.6787,0.028468,0.474129,Down
COBL,-0.7348,2.086,0.02932,0.294539,Down
