gene,logFC,neg_log10_p,pi_score,adj_pval,direction
DCAF8,-5.229,1.5422,0,0.966219,Down
PRPSAP2,-1.5622,2.9447,2.5e-5,0.601197,Down
MRPL44,-2.3116,1.8916,4.2e-5,0.966219,Down
PITPNA,-1.2688,2.654,4.29e-4,0.61128,Down
NMT1,-1.2264,2.7282,4.51e-4,0.601197,Down
AKT2,0.9207,3.1827,0.001174,0.601197,Up
CA14,1.4021,2.0159,0.001491,0.966219,Up
COX20,0.9804,2.8637,0.001557,0.601197,Up
COMTD1,-1.6164,1.518,0.003519,0.966219,Down
APOL1,-2.0974,1.1587,0.003713,0.99973,Down
RPS15,-1.7257,1.3069,0.005556,0.99973,Down
ADIPOQ,-0.9539,2.2907,0.006531,0.765934,Down
PFKFB2,1.0994,1.883,0.008509,0.966219,Up
UBE2O,1.1944,1.6506,0.010679,0.966219,Up
HLA-DRA,1.1607,1.6224,0.013088,0.966219,Up
ARCN1,0.715,2.5819,0.01425,0.631449,Up
APOD,-1.0362,1.7637,0.014876,0.966219,Down
LAMTOR2,0.7886,2.254,0.016692,0.767799,Up
TIMM8A,0.7536,2.1905,0.022347,0.826879,Up
NPC2,-0.8289,1.9059,0.026317,0.966219,Down
MTX1,0.6649,2.3463,0.027545,0.765934,Up
MRPL49,0.8515,1.8201,0.028189,0.966219,Up
SNX5,0.5914,2.4881,0.033777,0.696596,Up
SOD3,-0.9088,1.6046,0.03482,0.966219,Down
CACNB3,-0.5266,2.7606,0.035184,0.601197,Down
TSFM,0.5981,2.4252,0.035432,0.724607,Up
S100A13,0.9639,1.5017,0.035687,0.966219,Up
LYPLA2,0.5217,2.7342,0.037463,0.601197,Up
KLKB1,-1.2841,1.0889,0.039973,0.99973,Down
POLDIP2,0.9128,1.5288,0.040219,0.966219,Up
OXSM,0.6932,1.9283,0.046045,0.966219,Up
BDH2,0.6004,2.1638,0.05021,0.826879,NS
LSM2,-0.9697,1.3127,0.053338000000000003,0.99973,NS
GPC1,-1.1449,1.084,0.057412,0.99973,NS
SNCA,-1.0823,1.1307,0.059734,0.99973,NS
BTD,-0.977,1.2489,0.060237,0.99973,NS
PPP1R3A,0.7614,1.4732,0.075566,0.99813,NS
PARVA,0.7132,1.5726,0.075571,0.966219,NS
SEC23A,0.6841,1.6378,0.075801,0.966219,NS
GAA,0.7372,1.5009,0.078269,0.966219,NS
GLUL,0.554,1.9169,0.086712,0.966219,NS
EIF4EBP1,0.989,1.0587,0.089726,0.99973,NS
C6orf136,0.8158,1.2745,0.091262,0.99973,NS
CLASP2,0.6221,1.6392,0.095549,0.966219,NS
RAB1A,-0.7315,1.3803,0.097798,0.99973,NS
HECTD1,-0.6583,1.511,0.101228,0.966219,NS
IFITM1,0.9814,1.0005,0.104254,0.99973,NS
BLVRB,-0.5314,1.8476,0.104295,0.966219,NS
MCCC1,-0.6213,1.5582,0.107605,0.966219,NS
ALPK3,0.7916,1.1845,0.115432,0.99973,NS
TRAP1,0.4097,2.2872,0.115577,0.765934,NS
CCDC43,-0.6993,1.3396,0.115663,0.99973,NS
EIF2A,-0.5804,1.5804,0.120999,0.966219,NS
SUMO2,0.5477,1.6658,0.12237,0.966219,NS
OSTC,0.5858,1.5519,0.123287,0.966219,NS
PALMD,-0.5793,1.5604,0.124761,0.966219,NS
CD81,0.6566,1.3709,0.125854,0.99973,NS
ABCB7,-0.6511,1.3794,0.126429,0.99973,NS
TTC38,0.6883,1.2942,0.128605,0.99973,NS
TPPP,-0.8099,1.0923,0.130412,0.99973,NS
MRPL22,0.5577,1.586,0.13045,0.966219,NS
PPP3R1,-0.4741,1.8647,0.130596,0.966219,NS
LIMS3,0.6149,1.4151,0.134849,0.99973,NS
CIRBP,-0.5121,1.669,0.139714,0.966219,NS
NHLRC2,0.5483,1.537,0.143623,0.966219,NS
TMED9,0.9582,0.8762,0.144669,0.99973,NS
PLN,0.7367,1.1076,0.152773,0.99973,NS
UQCRH,0.5207,1.5554,0.154917,0.966219,NS
EIF3L,-0.4936,1.6258,0.157569,0.966219,NS
MGST2,-0.6115,1.3084,0.158471,0.99973,NS
