gene,logFC,neg_log10_p,pi_score,adj_pval,direction
CP,1.8379,3.8517,0,0.016921,Up
PNP,2.1378,4.3036,0,0.00863,Up
APOE,1.9125,3.7462,0,0.020304,Up
TTR,1.4918,4.6404,0,0.005985,Up
LTF,4.541,1.472,0,0.473265,Up
CAT,1.5954,4.269,0,0.00863,Up
S100A8,5.0678,9.7493,0,0,Up
SERPING1,1.7858,4.4068,0,0.007541,Up
S100A9,5.6525,9.5408,0,0,Up
BPGM,1.6431,4.1394,0,0.010079,Up
CLU,1.9579,5.3374,0,0.002949,Up
SPTB,1.8,4.604,0,0.005985,Up
LCP1,2.3295,4.6308,0,0.005985,Up
ANK1,2.0896,4.5082,0,0.006635,Up
STOM,1.7761,3.7145,0,0.020628,Up
SNCA,2.912,4.8897,0,0.005985,Up
DEFA3,2.9376,3.0751,0,0.066649,Up
LYZ,3.4571,2.8302,0,0.089445,Up
HBG2,2.7515,2.596,0,0.125071,Up
SYNE2,3.1172,3.8834,0,0.016775,Up
HEBP1,1.8916,3.3876,0,0.035824,Up
SERPINF2,1.616,3.3941,3e-6,0.035824,Up
SEPTIN6,2.233,2.499,3e-6,0.133007,Up
RBP4,1.7215,3.1444,4e-6,0.059985,Up
SLC2A1,1.8231,2.926,5e-6,0.081474,Up
APOD,1.4597,3.4719,9e-6,0.032453,Up
EPB41,1.7721,2.8466,9e-6,0.089445,Up
BLVRB,0.9824,4.6061,3e-5,0.005985,Up
PNPT1,-1.0753,4.1347,3.6e-5,0.010079,Down
ARHGAP19,1.4877,2.8522,5.7e-5,0.089445,Up
ALAD,1.2143,3.4866,5.8e-5,0.032453,Up
TCAP,1.2058,3.0625,2.03e-4,0.066649,Up
ADD1,1.5459,2.3083,2.7e-4,0.181925,Up
APOL1,2.2615,1.482,4.45e-4,0.473252,Up
TKT,1.4711,2.1867,6.07e-4,0.212132,Up
SEPTIN9,-1.1921,2.6481,6.97e-4,0.119939,Down
LXN,1.606,1.8606,0.001028,0.322668,Up
MPP1,1.1857,2.5004,0.001085,0.133007,Up
CCS,1.1697,2.5333,0.001089,0.133007,Up
GCLC,1.2044,2.4051,0.001269,0.15772,Up
NANS,1.2724,2.2654,0.001311,0.19339,Up
MRPL49,-1.1654,2.4399,0.001434,0.148673,Down
HNRNPA2B1,1.0301,2.637,0.001921,0.119939,Up
NPC2,0.905,2.9792,0.002013,0.074758,Up
FLOT1,1.0368,2.541,0.002319,0.133007,Up
KLKB1,1.5192,1.6825,0.00278,0.399693,Up
YARS1,1.247,2.0283,0.002956,0.262645,Up
LRG1,1.319,1.8868,0.003245,0.316034,Up
NUBP1,-0.9618,2.5564,0.003477,0.133007,Down
ADIPOQ,0.9807,2.4976,0.003553,0.133007,Up
CAP1,0.9684,2.522,0.003612,0.133007,Up
HLA-B,1.2119,2.0114,0.003651,0.267729,Up
UBE2O,-1.0917,2.1508,0.004488,0.218577,Down
ARHGDIB,1.4383,1.6285,0.004547,0.408636,Up
ARPC4,0.8724,2.6785,0.004605,0.115237,Up
HNRNPA1,0.8924,2.6124,0.004664,0.123609,Up
PPBP,1.4438,1.5971,0.004944,0.423055,Up
HNRNPC,1.2344,1.8621,0.005028,0.322668,Up
DDI2,1.3798,1.6574,0.005166,0.408636,Up
APMAP,0.9551,2.375,0.005392,0.16559,Up
RRAD,1.2082,1.7799,0.007072,0.35093,Up
PITPNA,0.9952,2.1157,0.007842,0.23033,Up
FN1,1.0083,2.0472,0.008626,0.25759,Up
TFRC,1.0231,1.9794,0.009439,0.27472800000000003,Up
PGD,0.6911,2.8194,0.01126,0.089445,Up
HNRNPR,0.6424,2.9999,0.011823,0.074009,Up
ANXA3,0.8334,2.251,0.013304,0.196263,Up
HPRT1,0.8501,2.1689,0.014327,0.213807,Up
CHORDC1,-1.1978,1.5374,0.014404,0.450143,Down
CLIC1,0.815,2.2109,0.015777,0.2077,Up
STOML2,-0.6269,2.8141,0.017209,0.089445,Down
