gene,logFC,neg_log10_p,pi_score,adj_pval,direction
SNCA,-2.6418,2.4199,0,0.757992,Down
PM20D2,1.9795,2.713,4e-6,0.757992,Up
RO60,2.8996,1.6798,1.3e-5,0.757992,Up
RPS20,1.3455,3.3961,2.7e-5,0.747961,Up
SH3BGRL,-2.0622,2.163,3.5e-5,0.757992,Down
ANK1,-1.8316,2.1083,1.38e-4,0.757992,Down
PPP2R5D,1.9378,1.9145,1.95e-4,0.757992,Up
YARS1,-1.6607,2.062,3.76e-4,0.757992,Down
EPB41,-1.9206,1.7786,3.84e-4,0.757992,Down
BPGM,-1.5627,2.1733,4.02e-4,0.757992,Down
TPRKB,-1.6342,1.906,7.68e-4,0.757992,Down
PTPN1,1.8023,1.6552,0.00104,0.757992,Up
FLOT2,-1.2324,2.3774,0.001175,0.757992,Down
RTN3,1.2643,2.2586,0.001395,0.757992,Up
PNP,-1.5986,1.6272,0.002505,0.757992,Down
RPL14,1.202,2.0721,0.003231,0.757992,Up
FSCN1,1.3495,1.8433,0.003254,0.757992,Up
CHORDC1,1.7584,1.4103,0.003313,0.757992,Up
SSB,1.6787,1.4728,0.00337,0.757992,Up
MAP1LC3B2,0.9233,2.5783,0.004163,0.757992,Up
FXYD1,1.6359,1.4519,0.004216,0.757992,Up
LAMTOR1,1.1904,1.9628,0.004609,0.757992,Up
XRCC6,-0.9642,2.27,0.006476,0.757992,Down
ARL1,1.8159,1.1986,0.00666,0.757992,Up
ARHGAP1,1.1833,1.8204,0.007014,0.757992,Up
S100A13,1.4154,1.5186,0.007087,0.757992,Up
SEPTIN6,-1.9545,1.0889,0.007442,0.757992,Down
SPTB,-1.3062,1.6279,0.007475,0.757992,Down
SLC2A1,-1.5518,1.3394,0.008345,0.757992,Down
ISCU,1.1421,1.8066,0.008645,0.757992,Up
RPL6,1.1352,1.8027,0.008984,0.757992,Up
VARS1,0.9377,2.1241,0.010194,0.757992,Up
RWDD1,1.1536,1.704,0.010822,0.757992,Up
CRIP2,1.4071,1.3769,0.011548,0.757992,Up
HBG2,-1.8882,1.0153,0.012103,0.757992,Down
TMEM43,1.0237,1.8291,0.013414,0.757992,Up
RPL13A,1.2365,1.5117,0.013511,0.757992,Up
ILF3,1.0149,1.8263,0.014014,0.757992,Up
JPT2,0.9937,1.8578,0.014252,0.757992,Up
UBE2O,1.4793,1.2369,0.014798,0.757992,Up
GAA,1.1433,1.5927,0.015102,0.757992,Up
TST,-1.0233,1.7687,0.015492,0.757992,Down
ACAD10,-1.0428,1.7276,0.015795,0.757992,Down
ALAD,-1.0737,1.6484,0.016989,0.757992,Down
ADSS2,-1.1342,1.5586,0.017068,0.757992,Down
MYO18A,1.0481,1.6791,0.017386,0.757992,Up
PRKRA,1.2375,1.4142,0.017779,0.757992,Up
MICOS13,-1.0315,1.6909,0.018022,0.757992,Down
ARHGAP19,-1.3526,1.2827,0.018409,0.757992,Down
PBXIP1,0.7729,2.2423,0.018487,0.757992,Up
PDLIM3,0.8314,2.0635,0.019248,0.757992,Up
SEPTIN9,1.1228,1.519,0.0197,0.757992,Up
MYPN,0.9955,1.6778,0.021367,0.757992,Up
FTL,1.4476,1.1535,0.021393,0.757992,Up
PEA15,1.6864,0.98740000000000006,0.021619,0.757992,Up
CCS,-1.2412,1.3379,0.02185,0.757992,Down
PHKG1,-0.9766,1.6673,0.023536,0.757992,Down
RUVBL1,0.7864,2.0668,0.023695,0.757992,Up
TIMMDC1,1.3874,1.1611,0.024498,0.757992,Up
NUBP1,1.0231,1.5384,0.026673,0.757992,Up
MLEC,-0.8368,1.8729,0.027087,0.757992,Down
TARDBP,-1.2474,1.254,0.027277,0.757992,Down
ALDOC,-0.8874,1.753,0.027826,0.757992,Down
ATG3,-1.5141,1.0187,0.028687,0.757992,Down
GMPPB,-1.056,1.4553,0.029055,0.757992,Down
TPPP3,1.5824,0.9529,0.031051,0.767448,Up
CAT,-1.0862,1.3701,0.032492,0.757992,Down
