gene,logFC,neg_log10_p,pi_score,adj_pval,direction
DHCR24,-1.5359,2.2271,3.8e-4,0.999762,Down
XRCC6,0.9934,3.2204,6.32e-4,0.676952,Up
TPRKB,1.4255,2.2423,6.36e-4,0.999762,Up
ACAD10,0.9928,2.9658,0.001136,0.676952,Up
TNPO3,1.3577,1.9232,0.002449,0.999762,Up
SH3BGRL,1.4332,1.7343,0.003269,0.999762,Up
FXYD1,-1.3861,1.7038,0.004349,0.999762,Down
YARS1,1.1721,1.9886,0.004669,0.999762,Up
ARMT1,0.7967,2.8012,0.005866,0.74163,Up
EIF3G,0.9072,2.3133,0.007968,0.999762,Up
NDRG2,0.64,3.0871,0.010574,0.676952,Up
CLYBL,1.1714,1.6623000000000001,0.011295,0.999762,Up
LPCAT3,0.98,1.9781,0.011521,0.999762,Up
TFRC,1.0828,1.7639,0.012304,0.999762,Up
PRPSAP2,1.1468,1.6072,0.014348,0.999762,Up
DCTN3,-0.916,1.9603,0.016009,0.999762,Down
TPD52L1,0.9815,1.7228,0.020378,0.999762,Up
MFAP4,1.0312,1.5536,0.024995,0.999762,Up
TMCO1,1.1929,1.3423,0.02505,0.999762,Up
ASS1,-0.979,1.587,0.027941,0.999762,Down
SELENOW,-1.148,1.3508,0.028136,0.999762,Down
CHCHD7,-0.7479,2.0045,0.031685,0.999762,Down
BOLA2,-0.7702,1.9309,0.032564,0.999762,Down
NDUFA3,-0.7981,1.8545,0.03311,0.999762,Down
RTN4IP1,0.9816,1.497,0.033925,0.999762,Up
ISCU,-0.8468,1.7221,0.034816,0.999762,Down
GAA,-0.9075,1.5778,0.036994,0.999762,Down
ALDH16A1,-1.4445,0.9768,0.038819,0.999762,Down
TST,0.7807,1.7554,0.042609,0.999762,Up
RO60,-1.5516,0.8763,0.043692,0.999762,Down
AHCYL2,0.6594,2.0597,0.043842,0.999762,Up
PSMD7,0.7421,1.8078,0.045548,0.999762,Up
MAP1LC3B2,-0.6286,2.0897,0.048573,0.999762,Down
CNIH4,0.7467,1.7281,0.051235,0.999762,NS
PITPNA,0.8644,1.4786,0.052705,0.999762,NS
PRXL2A,0.7306,1.7002,0.057248,0.999762,NS
NDUFAB1,0.6476,1.8896,0.059743,0.999762,NS
NDUFB11,-0.6758,1.8062,0.060177,0.999762,NS
RAB8A,-0.8763,1.3701,0.063008,0.999762,NS
CACNG1,0.7076,1.6634,0.06651,0.999762,NS
AMPD1,-0.7535,1.519,0.071688,0.999762,NS
MAP2K2,0.5774,1.9776,0.072118,0.999762,NS
FSCN1,-0.8462,1.3403,0.073435,0.999762,NS
S100A1,0.9507,1.176,0.076208,0.999762,NS
ROMO1,-0.7774,1.4306,0.07725,0.999762,NS
MRPL22,-0.7301,1.5164,0.078133,0.999762,NS
AMPD3,-0.7215,1.5237,0.07956,0.999762,NS
DARS2,0.774,1.3914,0.083775,0.999762,NS
STT3B,0.6286,1.6614,0.090293,0.999762,NS
CORO6,-0.9326,1.1139,0.091463,0.999762,NS
HLA-DRA,-0.8757,1.1751,0.093551,0.999762,NS
ECHDC2,-0.6997,1.4612,0.094989,0.999762,NS
TIMMDC1,-0.9686,1.0469,0.096824,0.999762,NS
TSFM,-0.5607,1.8056,0.097198,0.999762,NS
RBKS,-1.1105,0.9072,0.098296,0.999762,NS
ACAD9,0.6861,1.4534,0.100654,0.999762,NS
CACNB3,0.4868,2.0066,0.10547,0.999762,NS
CTPS1,-1.2094,0.7874,0.111589,0.999762,NS
CCDC43,0.7418,1.2627,0.115691,0.999762,NS
RAP2B,-1.2438,0.747,0.117737,0.999762,NS
JPT2,-0.6519,1.4213,0.118414,0.999762,NS
CAMK2A,0.6596,1.4036,0.118644,0.999762,NS
ATP2A3,0.5644,1.6396,0.118735,0.999762,NS
ATP5MF,0.6271,1.4682,0.120017,0.999762,NS
FITM2,0.6961,1.3206,0.120405,0.999762,NS
UBA3,0.5244,1.7462,0.121436,0.999762,NS
RPL37A,-0.8556,1.066,0.122454,0.999762,NS
MYH4,-1.0808,0.832,0.126115,0.999762,NS
STOML2,-0.519,1.6988,0.13132,0.999762,NS
CHDH,0.769,1.1369,0.13357,0.999762,NS
SSB,-0.931,0.9281,0.136757,0.999762,NS
DDX6,0.6685,1.2801,0.139397,0.999762,NS
CD59,-0.6615,1.2924,0.139675,0.999762,NS
MYPN,-0.6687,1.2759,0.140232,0.999762,NS
NDUFAF4,-0.6937,1.2272,0.140827,0.999762,NS
ESYT1,0.6953,1.2243,0.140852,0.999762,NS
EIF3L,0.5613,1.5023,0.143492,0.999762,NS
ABCF3,0.6391,1.3165,0.144082,0.999762,NS
COPB1,-0.668,1.2537,0.145391,0.999762,NS
TGM2,-0.6032,1.388,0.145473,0.999762,NS
TYMP,-0.9784,0.8487,0.147804,0.999762,NS
NDUFAF5,0.7053,1.1667,0.150373,0.999762,NS
RAB1A,0.6256,1.2988,0.153983,0.999762,NS
NUBP1,-0.6706,1.2014,0.156441,0.999762,NS
POLDIP2,-0.7703,1.0233,0.16283,0.999762,NS
ENDOD1,0.53,1.4682,0.166659,0.999762,NS
INPP1,-0.8686,0.8951,0.166925,0.999762,NS
ANK3,0.5677,1.357,0.169685,0.999762,NS
DNAJB4,-0.6675,1.1376,0.174028,0.999762,NS
ALPK3,-0.7642,0.9863,0.176336,0.999762,NS
RAB12,0.5712,1.2849,0.18454,0.999762,NS
PGLS,0.5134,1.4083,0.189248,0.999762,NS
PCYT2,-0.6822,1.0411,0.194855,0.999762,NS
TXN2,-0.5801,1.2166,0.196928,0.999762,NS
PDCD6,0.5028,1.3969,0.198457,0.999762,NS
EIF4E,-0.439,1.5957,0.199273,0.999762,NS
TSPO,-0.7062,0.9916,0.199372,0.999762,NS
COMTD1,0.9253,0.7522,0.201373,0.999762,NS
GSK3A,-0.7112,0.9689,0.204607,0.999762,NS
MYH6,-0.8301,0.8133,0.211294,0.999762,NS
JUP,0.6357,1.056,0.213137,0.999762,NS
COPA,0.9259,0.7182,0.21627,0.999762,NS
KCTD12,0.6816,0.9745,0.216642,0.999762,NS
HDHD2,0.5403,1.225,0.217816,0.999762,NS
ISYNA1,0.7335,0.8945,0.220742,0.999762,NS
MRPS16,-0.7336,0.8937,0.220993,0.999762,NS
LMAN2,0.5862,1.1143,0.222243,0.999762,NS
COX6C,-0.5548,1.1645,0.225935,0.999762,NS
TMLHE,0.5078,1.2695,0.226663,0.999762,NS
UCHL1,0.7035,0.9155,0.226946,0.999762,NS
DCAF8,1.5799,0.4057,0.228567,0.999762,NS
CAND1,0.5246,1.2178,0.229658,0.999762,NS
PPM1B,-0.5674,1.1252,0.229922,0.999762,NS
SPTAN1,0.6056,1.0533,0.230239,0.999762,NS
ARHGAP1,-0.5884,1.0827,0.230654,0.999762,NS
S100A6,0.8903,0.6931,0.241495,0.999762,NS
PTPN11,0.4971,1.2364,0.242897,0.999762,NS
THTPA,-0.4513,1.3589,0.243628,0.999762,NS
COQ10B,0.6756,0.9046,0.244798,0.999762,NS
MPC1,-1.1656,0.5232,0.245543,0.999762,NS
PDK4,-0.8691,0.6992,0.246779,0.999762,NS
PSMB3,0.5156,1.1786,0.246799,0.999762,NS
RPL32,-0.7899,0.7624,0.24989,0.999762,NS
PLN,-0.7004,0.8537,0.252399,0.999762,NS
RPS20,-0.5121,1.1608,0.254456,0.999762,NS
RDH13,-0.6132,0.9684,0.254764,0.999762,NS
KRT10,0.8139,0.7286,0.255248,0.999762,NS
RPS28,0.6444,0.9201,0.255341,0.999762,NS
PAFAH1B3,0.6913,0.8554,0.256262,0.999762,NS
SOD2,0.463,1.2769,0.256301,0.999762,NS
RAB6A,0.4945,1.1747,0.262444,0.999762,NS
TSNAX,0.8189,0.7079,0.26323,0.999762,NS
PAFAH1B2,0.4994,1.1591,0.26372,0.999762,NS
MRPL47,0.4893,1.1669,0.268514,0.999762,NS
