pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
HALLMARK_MITOTIC_SPINDLE,1e-10,2.023187541856418,34,DYNC1H1;BIN1;SEPTIN9;STK38L;TUBA4A;CLIP2;CLIP1;SPTAN1;MAPRE1;MARCKS;EPB41L2;PAFAH1B1;FSCN1;EZR;FLNA;ARHGDIA;YWHAE;FLNB,Hallmark,1.722677954361171e-4,0.5611481355674943,0.5188480777437918,Acute_HRvLR,1,4,30.166666666666668,17.083333333333336,0.06981317007977318,0.5265076576849561,0.29816041388236464,Mitotic Spindle
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,2e-10,1.931749315565478,34,EIF4A2;EEF2;PAIP1;HSP90B1;LSM4;FUS;EIF2S1;TUBB2A;IARS1;RPS14;EIF4A1;HSPA5;HYOU1;DNAJA4;BAG3;KIF5B;NPM1;SPCS1;DCTN1,Hallmark,5.60332408744e-4,0.535786971987138,0.47727081536286214,Acute_HRvLR,2,33.16666666666667,59.333333333333336,46.25,0.5788675352447861,1.035562022849969,0.8072147790473774,"Unfolded Protein
Response"
GOBP_CYTOPLASMIC_TRANSLATION,3e-10,2.224066204886323,104,RWDD1;RPS20;EIF4A2;EEF1D;RPL13A;RPL27;EIF2S3;RPL12;EIF3G;RPL7A;RPL14;EEF2;RPL17;RPL7;RPLP2;EIF3E;EIF3C;RPL6;PAIP1;MCTS1;ETF1;RPS25;RPS5;EIF3F;RPS3;RPS14;RPS15A;EIF3B;EIF4A1;RPL15;RPL18A;RPL4;RPL31;RPLP1;RPS26;RPL10A;RPL36;RPL23;EIF3M;RPL18;RPS19;RPL23A;RPL22;RPLP0;RPS7;RPL24;EPRS1;SARS1;RPL38;RPS21,GO:BP,3.3438093939934374e-8,0.49370952990351474,0.7195128263389107,Acute_HRvLR,3,62.333333333333336,88.5,75.41666666666667,1.0879219004097986,1.5446163880149817,1.3162691442123902,"Cytoplasmic
Translation"
GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,4e-10,2.3642247395909717,35,RPL13A;RPL27;CAPN2;RPL12;RPL7A;RPL14;RPL17;RPL7;RPLP2;RPL6;EHD2;RPL15;RPL18A;RPL4;RPL31;RPLP1;EHD1;RPL10A;RPL36;RPL23;RPL18;RPL23A;RPLP0;RPL24;RPL38,GO:BP,5.320969258399198e-7,0.6508912244647913,0.6594443980379349,Acute_HRvLR,4,91.5,117.66666666666667,104.58333333333334,1.5969762655748114,2.0536707531799943,1.8253235093774032,"Reg. of Syncytium
Formation By
Plasma Membrane
Fusion"
GOBP_RESPONSE_TO_HEAT,5e-10,2.168142374523339,31,EEF1D;PRKACA;HSPB2;CRYAB;AKT1;CHORDC1;CASQ1;HSPB1;VCP;HSP90AA1;STUB1;EIF2S1;RBBP7;HSP90AB1;HSPA2;PDCD6;DNAJA2;YWHAE;DNAJA4;BAG3;HSPB6,GO:BP,3.439052521260487e-5,0.6152014630567821,0.557332238758646,Acute_HRvLR,5,120.66666666666667,146.83333333333334,133.75,2.1060306307398244,2.562725118345007,2.3343778745424157,Resp. to Heat
GOBP_ENDOSOMAL_TRANSPORT,6e-10,1.9698583716190377,62,MAP2K2;LAMTOR1;VPS35;UBE2O;DYNC1LI1;VCP;ARHGAP1;ARL1;EHD2;MAP2K1;SNX3;LMAN1;TOM1;RAB12;EHBP1L1;CORO1A;UBXN6;EZR;RAB21;ALDH7A1;CLTC;EHD1;ARL8B;TSG101;SNX2;RNF126;RAB11B,GO:BP,6.234116145500277e-5,0.48056810035712727,0.5384340963099162,Acute_HRvLR,6,149.83333333333334,176,162.91666666666669,2.6150849959048372,3.07177948351002,2.843432239707429,"Endosomal
Transport"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.000000000000001e-10,-2.4995155115719108,152,BDH2;DLST;SLC25A6;UQCRB;AIFM1;HCCS;ECI1;ACADSB;MDH2;COX6B1;DLAT;ACADVL;PDK4;SUCLG1;SDHA;GOT2;SDHB;ACAT1;TIMM10;FXN;PDHX;IDH1;MAOB;OGDH;CS;AFG3L2;CPT1A;SLC25A11;SUCLA2;GPX4;PDHA1;ATP5MG;IDH2;NDUFB4;PDHB;SURF1;NDUFB7;ATP5PO;IDH3G;VDAC1;NDUFC2;TIMM13;NDUFA7;IMMT;NDUFV1;NDUFV2;SLC25A3;ATP6V1G1;PHB2;SLC25A12;NDUFA6;NDUFB3;CYCS;NDUFB1;HADHB;ETFDH;ACADM;NDUFS6;NDUFS4;UQCRQ;SDHD;COX6C;ATP5F1E;LRPPRC;ATP5PF;COX5B;COX5A;UQCR10;NDUFS8;TIMM9;NDUFB6;VDAC3;IDH3A;NNT;NDUFS3;MFN2;NDUFS1;VDAC2;NDUFB8;NDUFA8;ATP5F1A;UQCRC2;UQCRC1;TIMM50;ACAA2,Hallmark,1.0859907001380567e-13,-0.5166966673496767,0.9545416307257243,Acute_HRvLR,7,184,210.16666666666666,197.08333333333331,3.211405823669566,3.668100311274749,3.4397530674721573,OXPHOS
HALLMARK_HEME_METABOLISM,8e-10,-2.74338366280741,51,GLRX5;ANK1;BSG;SNCA;BPGM;BLVRA;EPB41;SPTB;PRDX2;HEBP1;USP15;GYPC;SLC2A1;UBAC1;CAT;ALDH1L1;ALAD;BLVRB;RNF123;MPP1;SELENBP1;GCLM;GCLC;NEK7,Hallmark,1.867785908750046e-12,-0.6899767247271404,0.8986712320616942,Acute_HRvLR,8,213.16666666666666,239.33333333333331,226.25,3.720460188834579,4.177154676439762,3.94880743263717,Heme Metabolism
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,9e-10,-2.2872675062804855,225,PPIF;SNCA;BPGM;DLST;HMGCL;PFKFB1;PGAM2;BLVRA;SUCLG2;UQCRB;HCCS;MDH2;COX6B1;DLAT;ENO3;PHKG1;CAT;ALDH1L1;NDUFB11;ACADVL;PDK4;COX7A1;SUCLG1;SDHA;SDHB;ACAT1;PPP1R2;FXN;PDHX;IDH1;NDUFA11;OGDH;NDUFB9;CS;ATG3;EPM2A;PDK2;NDUFS5;PKM;MT-ND1;IDE;PHKB;SUCLA2;PDHA1;ATP5MG;IDH2;ALDOA;NDUFB4;ALDOC;NDUFB10;PDHB;SURF1;ENO2;NDUFB7;PHKA1;ATP5PO;MT-ND3;GAPDHS;RPIA;H6PD;PHKA2;IDH3G;NDUFC2;PGAM1;AGL;NDUFA7;NDUFV1;NDUFV2;NDUFA6;NDUFB3;CYCS;NDUFB1;SHMT2;SLC25A13;TKT;ETFDH;ACADM;NDUFS6;NDUFS4;MT-ND2;UQCRQ;SDHD;COX6C;GSK3A;ADHFE1;GAPDH;ENO1;ATP5F1E;ATP5PF;COX5B;COX5A;UQCR10;NDUFS8;CHCHD2;TALDO1;NDUFB6;IDH3A;NNT;COQ10A;PPP1CB;NDUFS3;MFN2;LYRM7;GNPDA1;MT-ATP6;NDUFS1;NDUFA12;NDUFB8;NDUFA8;MT-CO2;NDUFA13;ATP5F1A;UQCRC2;COMT;UQCRC1,GO:BP,2.2229494181400248e-12,-0.44958767319775655,0.8986712320616942,Acute_HRvLR,9,242.33333333333331,268.5,255.41666666666666,4.229514553999592,4.686209041604775,4.457861797802183,"Generation
Of Precursor
Metabolites And
Energy"
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,1e-9,-2.154096224195067,128,AMPD1;SNCA;DLST;ACSL1;ACSS2;PNP;DLAT;NDUFB11;PDK4;SDHA;SDHB;ADSS2;ACAT1;ADSS1;PDHX;NDUFA11;OGDH;NDUFB9;PDK2;NDUFS5;MT-ND1;PDHA1;ATP5MG;IDH2;ALDOA;NDUFB4;PANK4;NDUFB10;PDHB;NDUFB7;NME1;AK2;PAICS;ATP5PO;NAPRT;MT-ND3;ACACA;NDUFC2;NDUFA7;NDUFV1;NDUFV2;SHMT1;NDUFA6;NDUFB3;NDUFB1;SLC25A13;NDUFS6;NDUFS4;MT-ND2;SDHD;GART;CBR4;ADK;ENO1;ATP5F1E;ATP5PF;MMUT;NDUFS8;PPCS;NDUFB6;AMPD3;NDUFS3;MT-ATP6;NDUFS1;AK3;NDUFA12;NDUFB8;NDUFA8;NDUFA13;ATP5F1A,GO:BP,5.280678206151253e-8,-0.4567010105754525,0.7195128263389107,Acute_HRvLR,10,271.5,297.6666666666667,284.58333333333337,4.738568919164605,5.195263406769788,4.9669161629671965,"Purine Containing
Compound
Biosynthesis"
HALLMARK_FATTY_ACID_METABOLISM,1.1000000000000001e-9,-2.3306061443390496,86,GLUL;DLST;HMGCL;BLVRA;ACSL1;SUCLG2;CPT2;HCCS;ECI1;AUH;MDH2;MAOA;HSDL2;ENO3;ACADVL;SUCLG1;SDHA;ALAD;IDH1;RDH11;CPT1A;SUCLA2;PDHA1;IDI1;ALDOA;MGLL;PDHB;ECI2;ENO2;ALDH1A1;GAPDHS;IDH3G;CD36;ERP29;HADHB;ETFDH;ACADM;SDHD;HADH;CRAT;PCBD1,Hallmark,3.991850347404038e-9,-0.5289042911343658,0.7614608014455848,Acute_HRvLR,11,300.6666666666667,326.83333333333337,313.75,5.2476232843296176,5.704317771934801,5.475970528132208,"Fatty Acid
Metabolism"
GOBP_MITOCHONDRION_ORGANIZATION,1.2e-9,-2.0211435421817034,140,PPIF;SNCA;GPX1;CHCHD7;HMGCL;LETM1;SLC25A6;MICOS13;POLDIP2;TMEM11;AIFM1;COX19;NDUFAF3;COX7A1;TIMM10;NDUFAF4;COA6;FXN;ATPAF2;SAMM50;DNAJA3;GCLM;CHCHD10;ATAD3A;AFG3L2;ATG3;EPM2A;APOO;GCLC;NDUFS5;MT-ND1;TFAM;ENDOG;SURF1;MTX1;APOOL;NDUFC2;TACO1;TIMM21;TIMM13;IMMT;CHCHD3;PHB2;NDUFA6;COA3;NDUFS6;NDUFS4;MT-ND2;GSK3A;SLIRP;NDUFS8;CHCHD2;TIMM9;NIPSNAP2;FAM162A;NDUFS3;MFN2;LYRM7;HUWE1;NUBPL;NDUFS1;VDAC2;MTM1;NDUFA13;TIMM50;LONP1;MCU;ACAA2;TMEM126A;OPA3;BCS1L;MTCH2;NDUFS7;GGCT;COX20;VPS13C,GO:BP,3.6764385189172634e-7,-0.4235902296187196,0.674962860011025,Acute_HRvLR,12,329.83333333333337,356.00000000000006,342.91666666666674,5.756677649494631,6.213372137099814,5.985024893297222,Mitochondrion Org.
