pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1e-10,1.8148693657725108,151,CPT1A;MFN2;VDAC2;SLC25A11;SLC25A4;UQCR10;SDHD;TIMM9;ACAA1;NDUFS4;ATP5F1E;HTRA2;ATP5MG;VDAC3;NDUFS7;VDAC1;COX5B;NDUFV2;TIMM13;GPX4;HCCS;ABCB7;NDUFS8;PDHX;DLST;NDUFB8;SLC25A12;NDUFA2;SLC25A6;HADHB;BCKDHA;FXN;ATP5F1A;NNT;NDUFS3;IDH3A;HSD17B10;ALDH6A1;PDP1;GOT2;COX5A;COX4I1;NDUFA7;UQCRC2;ATP5ME;NDUFB6;SLC25A20;NDUFA6;HSPA9;NQO2;MAOB;ACADVL;NDUFS1;COX6B1;ACADM;NDUFB4;CYB5R3;NDUFAB1;ACAA2;ATP5MF;NDUFA8,Hallmark,1.7437279576202286e-5,0.3746278265067997,0.5756102610711286,Training_Interaction,1,-3.9545454545454533,24.863636363636363,10.454545454545455,-0.06901983860159391,0.43395231856404465,0.18246623998122535,OXPHOS
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,2e-10,1.955209408160546,85,SLC25A4;UQCR10;MT-ND3;SLC25A13;NDUFS4;ATP5F1E;NDUFB9;ATP1A1;ATP5MG;MT-ATP6;MT-CO2;MT-ND1;NDUFS7;COX5B;NDUFV2;NDUFS8;NDUFB8;SLC25A12;NDUFA2;NDUFA12;ATP5F1A;NNT;SLC16A1;NDUFB10;NDUFS3;MT-CYB;COX5A;COX4I1;NDUFA7;ATP5ME;NDUFB6;ATP1A2;NDUFA6;NDUFS1;LETM1;COX6B1;NDUFB4;GHITM;ATP5MF;NDUFA8;MT-ATP8;NDUFB5,GO:BP,4.467732523159457e-5,0.43977111597316115,0.557332238758646,Training_Interaction,2,27.863636363636363,56.68181818181818,42.27272727272727,0.48631219612387455,0.9892843532895131,0.7377982747066939,"Proton
Transmembrane
Transport"
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,3e-10,1.8771644169735415,72,UQCR10;MT-ND3;SDHD;NDUFS4;NDUFA11;SNCA;NDUFB9;MT-CO2;MT-ND1;NDUFS7;COX5B;NDUFV2;NDUFS8;NDUFB8;NDUFA2;NDUFA12;NDUFB10;NDUFS3;MT-CYB;COX5A;COX4I1;NDUFA7;UQCRC2;NDUFB6;NDUFA6;NDUFS1;COX6B1;NDUFB4;GHITM;NDUFAB1;NDUFA8;MTCH2;NDUFB5;SDHB;MT-ND2;MT-ND4;UQCRQ,GO:BP,9.364202966598521e-5,0.43694212936020166,0.5384340963099162,Training_Interaction,3,59.68181818181818,88.5,74.0909090909091,1.041644230849343,1.5446163880149817,1.2931303094321625,"ATP Synthesis
Coupled Electron
Transport"
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,4e-10,1.933287708311907,59,MT-ND3;SDHD;NDUFS4;ATP5F1E;NDUFA11;NDUFB9;ATP5MG;MT-ATP6;MT-ND1;NDUFS7;NDUFV2;NDUFS8;NDUFB8;NDUFA2;NDUFA12;ATP5F1A;NDUFB10;NDUFS3;NDUFA7;ATP5ME;NDUFB6;NDUFA6;NDUFS1;NDUFB4;NDUFAB1;ATP5MF;NDUFA8;MT-ATP8;NDUFB5;SDHB;MT-ND2;ATP5PB;MT-ND4,GO:BP,1.4373208374370567e-4,0.46916718168994154,0.5188480777437918,Training_Interaction,4,91.5,120.31818181818181,105.9090909090909,1.5969762655748114,2.0999484227404497,1.8484623441576307,"Proton Motive
Force Driven ATP
Synthesis"
GOBP_CELLULAR_RESPIRATION,5e-10,1.5619787688721174,175,PDPR;MFN2;ALDOC;UQCR10;MT-ND3;LYRM7;SLC25A13;SDHD;NDUFS4;ATP5F1E;NDUFA11;SNCA;BPGM;NDUFB9;ATP5MG;MT-ATP6;MT-CO2;GAPDHS;PFKL;MT-ND1;NDUFS7;COX5B;NDUFV2;MPC2;HCCS;PFKM;NDUFS8;PDHX;DLST;ALDOA;NDUFB8;NDUFA2;NDUFA12;SHMT2;FXN;ATP5F1A;NNT;NDUFB10;CAT;NDUFS3;IDH3A;MT-CYB;PDP1;COX5A;COX4I1;NDUFA7;UQCRC2;ATP5ME;NDUFB6;SOD2;BCL2L13;NDUFA6,GO:BP,5.654167035941378e-4,0.31575652638300117,0.47727081536286214,Training_Interaction,5,123.31818181818181,152.13636363636363,137.72727272727275,2.15230830030028,2.6552804574659183,2.4037943788830995,"Cellular
Respiration"
GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT,6e-10,-2.2254379796186474,31,GAA;MB;GNAS;DMD;TNNI1;SYNM;VPS35;MYH3;MYH8;EEF2;CA3;TTN;TNNT3;TNNC2;MYH14;TNNT1;JSRP1;TNNC1;TNNI2,GO:BP,5.707048587094555e-6,-0.6496665769179882,0.610526878385931,Training_Interaction,6,155.13636363636363,183.95454545454544,169.54545454545456,2.7076403350257485,3.210612492191387,2.959126413608568,"Multicellular
Organismal
Movement"
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,7.000000000000001e-10,-1.9705807428473312,22,MAPRE2;LAMTOR2;SLK;RAC1;CUL5;PLEC;LAMC1;ACTN2;CFL1;TNS1;RHOA;THY1;TLN1;ARF6,GO:BP,3.753233533727736e-4,-0.6262314971408038,0.49849310876659025,Training_Interaction,7,191.95454545454544,220.77272727272725,206.36363636363637,3.350238832350933,3.8532109895165716,3.6017249109337532,"Cell Substrate
Junction Org."
GOBP_MYOFIBRIL_ASSEMBLY,8e-10,-1.9400610790601671,41,MYH6;SYNPO2L;CFL2;MYPN;CSRP3;ACTA1;MYH3;LMOD3;MYOM3;PLEC;TTN;TNNT3;NEB;TMOD1;ACTN2;TMOD4;PRKAR1A;TNNT1;MYOZ1;OBSCN;MYBPH;TPM1,GO:BP,3.4830813105336225e-4,-0.5326814022564506,0.49849310876659025,Training_Interaction,8,223.77272727272725,252.59090909090912,238.1818181818182,3.9055708670764013,4.408543024242041,4.157056945659221,Myofibril Assembly
GOBP_NEUROMUSCULAR_PROCESS,9e-10,-1.9586566680904904,37,GAA;MB;GNAS;DMD;TNNI1;SYNM;VPS35;MYH3;MYH8;EEF2;CA3;TTN;TNNT3;TNNC2;MYH14;TNNT1;JSRP1;TNNC1;TNNI2,GO:BP,4.4498824807319084e-4,-0.548859402999966,0.49849310876659025,Training_Interaction,9,255.59090909090912,284.40909090909093,270.00000000000006,4.460902901801871,4.963875058967509,4.712388980384691,"Neuromuscular
Process"
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,1e-9,-1.8713075638782974,45,CFL2;ASS1;CSRP3;ACTA1;DMD;DES;SMYD1;EEF2;LMOD3;YBX3;PLEC;CAV1;DDX17;MYH14;FLNB;BIN3;FXR1;RHOA;MYOZ1;MYL6;MYL6B,GO:BP,4.4174073682879767e-4,-0.5027978101602566,0.49849310876659025,Training_Interaction,10,287.40909090909093,316.22727272727275,301.8181818181818,5.016234936527339,5.5192070936929785,5.267721015110158,"Skeletal Muscle
Organ Development"
