group_id,sample_id,ME
black,S03_T1,0.33195841915326024
blue,S03_T1,-0.2032921864942826
brown,S03_T1,0.06394665957851307
green,S03_T1,-0.13407612358411114
greenyellow,S03_T1,0.25775121862661693
magenta,S03_T1,-0.3387762936830108
pink,S03_T1,-0.1684694442023503
purple,S03_T1,0.009069921627764517
red,S03_T1,0.07025305877003911
salmon,S03_T1,-0.11076290364353074
tan,S03_T1,-0.2588834047494654
turquoise,S03_T1,0.3253260893733457
yellow,S03_T1,-0.39646521237030946
black,S10_T1,0.22635145473775264
blue,S10_T1,0.028154760686135982
brown,S10_T1,-0.04652666702269104
green,S10_T1,-0.05273093145993668
greenyellow,S10_T1,0.12266358439414982
magenta,S10_T1,0.08210809522231088
pink,S10_T1,0.09348157523822254
purple,S10_T1,0.14420662975146928
red,S10_T1,-0.09816468024281322
salmon,S10_T1,0.035846038914089995
tan,S10_T1,-0.0075950482880305925
turquoise,S10_T1,-0.07179274446589645
yellow,S10_T1,1.660957518883066e-4
black,S16_T1,-0.0779599072551329
blue,S16_T1,-0.01939425580800891
brown,S16_T1,-0.044310550447107855
green,S16_T1,0.08143029733340562
greenyellow,S16_T1,-0.08359523726685812
magenta,S16_T1,0.16729562134423887
pink,S16_T1,-0.037734630604323416
purple,S16_T1,-0.08830969837861313
red,S16_T1,-0.07521129225646839
salmon,S16_T1,0.12334303611131908
tan,S16_T1,-0.06428194800969697
turquoise,S16_T1,-0.011311993523095448
yellow,S16_T1,0.08571640291630797
black,S22_T1,-0.10691285263601329
blue,S22_T1,-0.4078454878477319
brown,S22_T1,0.024478511431969385
green,S22_T1,-0.03448906773497481
greenyellow,S22_T1,-0.21421232342069732
magenta,S22_T1,-0.09570494075346056
pink,S22_T1,-0.32519673506243235
purple,S22_T1,-0.001293570755066864
red,S22_T1,0.3433737568991457
salmon,S22_T1,-0.02478612227593366
tan,S22_T1,0.24405934516985697
turquoise,S22_T1,0.35473166756671837
yellow,S22_T1,-0.36434043159353585
black,S24_T1,-0.15784932401668667
blue,S24_T1,0.05414203499553541
brown,S24_T1,-0.017054674201003355
green,S24_T1,-0.03464562205136155
greenyellow,S24_T1,-0.23793932985942076
magenta,S24_T1,0.21446485419694364
pink,S24_T1,0.008022452811984108
purple,S24_T1,-0.19763828160858302
red,S24_T1,0.018507683455860555
salmon,S24_T1,0.09300967730371303
tan,S24_T1,0.014063783009920389
turquoise,S24_T1,-0.050441407790960235
yellow,S24_T1,0.15378952678260574
black,S27_T1,-0.17864885623267376
blue,S27_T1,-0.08914674272021438
brown,S27_T1,0.1636932562388586
green,S27_T1,-0.03943613383625474
greenyellow,S27_T1,-0.24678590785163249
magenta,S27_T1,0.08455753921289529
pink,S27_T1,-0.1847713532110471
purple,S27_T1,-0.2702436762326619
red,S27_T1,0.3020495396417845
salmon,S27_T1,-0.022814376578255965
tan,S27_T1,0.018278860312061655
turquoise,S27_T1,-0.011969067489103442
yellow,S27_T1,0.04723127565062045
black,S28_T1,0.3539970893709587
blue,S28_T1,0.028757289718786397
brown,S28_T1,-0.01509687367339363
green,S28_T1,-0.005712095307122685
greenyellow,S28_T1,0.036744142451019
magenta,S28_T1,0.09989386473775647
pink,S28_T1,0.1207712526139729
purple,S28_T1,0.13116536146196064
red,S28_T1,-0.043789757282237614
salmon,S28_T1,0.19531396314562874
tan,S28_T1,0.04499166912106669
turquoise,S28_T1,-0.12806452161957177
yellow,S28_T1,0.019211937753275638
black,S04_T1,0.020840163056875433
blue,S04_T1,-0.022630220770827537
brown,S04_T1,-0.12802497651029124
green,S04_T1,-0.00451344236557132
greenyellow,S04_T1,0.04271529693987467
magenta,S04_T1,0.11308185947469064
pink,S04_T1,0.15533066334695886
purple,S04_T1,0.11733633214531403
red,S04_T1,-0.05920775592409205
salmon,S04_T1,0.2704791759970373
tan,S04_T1,0.05104331404482057
turquoise,S04_T1,-0.07736895113199269
yellow,S04_T1,0.04759784414939451
black,S05_T1,0.10717188191984564
blue,S05_T1,0.036408125422388804
brown,S05_T1,0.04610097278823549
green,S05_T1,-0.1325188990353086
greenyellow,S05_T1,0.034702667548441875
magenta,S05_T1,0.2266772128967082
pink,S05_T1,0.10837984977415734
purple,S05_T1,0.05467810058534983
red,S05_T1,-0.05014173916084302
salmon,S05_T1,-0.053204156852961225
tan,S05_T1,-0.03927965192070049
turquoise,S05_T1,-0.11934059332429314
yellow,S05_T1,0.030886453869346818
black,S06_T1,-0.011181543393439113
blue,S06_T1,0.10972188920657103
brown,S06_T1,-0.04916437918252869
green,S06_T1,-0.05450564448676034
greenyellow,S06_T1,0.1805931485074043
magenta,S06_T1,0.06480313262763239
pink,S06_T1,0.09255928329746416
purple,S06_T1,0.08814173775722382
red,S06_T1,-0.11935230540947984
salmon,S06_T1,0.02965061368610392
tan,S06_T1,-0.1914941306798919
turquoise,S06_T1,-0.06240795182323156
yellow,S06_T1,0.03759870010621199
black,S12_T1,0.19900046703753657
blue,S12_T1,0.0909607732777296
brown,S12_T1,0.015086709402105103
green,S12_T1,-0.1463974213599257
greenyellow,S12_T1,0.13034081158105246
magenta,S12_T1,-0.15944259961408086
pink,S12_T1,0.05951553612653782
purple,S12_T1,0.02576509380463606
red,S12_T1,-0.18195085118943066
salmon,S12_T1,-0.11640724300691695
tan,S12_T1,-0.15320796155095245
turquoise,S12_T1,0.08055150456915572
yellow,S12_T1,-0.03264757802976357
black,S14_T1,-0.0948398587667345
blue,S14_T1,0.021712809777358948
brown,S14_T1,0.34783394852783434
green,S14_T1,-0.008070574512637393
greenyellow,S14_T1,-0.13474431897419886
magenta,S14_T1,0.037801462510581224
pink,S14_T1,-0.24957965802454068
purple,S14_T1,-0.28426449502489837
red,S14_T1,0.40514032638065894
salmon,S14_T1,-0.1816107679583264
tan,S14_T1,0.021935512444797484
turquoise,S14_T1,-0.11547758837159873
yellow,S14_T1,0.030601296140111936
black,S17_T1,-0.06015887969326075
blue,S17_T1,-0.21976869364264942
brown,S17_T1,0.2665176776095885
green,S17_T1,-0.14161057874732177
greenyellow,S17_T1,0.14388391140302706
magenta,S17_T1,-0.20665868240853466
pink,S17_T1,-0.25275503766471435
purple,S17_T1,0.002469041478375558
red,S17_T1,0.20140506671384809
salmon,S17_T1,-0.044531089857040594
tan,S17_T1,-0.10213422346633101
turquoise,S17_T1,0.22045919601112865
yellow,S17_T1,-0.3969597058397498
black,S21_T1,0.05693291897942759
blue,S21_T1,-0.11537309305835733
brown,S21_T1,-0.04928092920214071
green,S21_T1,0.03451388064576942
greenyellow,S21_T1,-0.18063334224134306
magenta,S21_T1,-0.1765364679781082
pink,S21_T1,-0.01871482938159127
purple,S21_T1,-0.10644547084808505
red,S21_T1,-0.041550338474369196
salmon,S21_T1,0.014291163737338545
tan,S21_T1,-0.09309020375057883
turquoise,S21_T1,0.14059916368184852
yellow,S21_T1,0.08600325645622298
black,S30_T1,-0.27370282643586286
blue,S30_T1,0.07157944208227075
brown,S30_T1,0.1056097839701367
green,S30_T1,-0.11946425928852022
greenyellow,S30_T1,0.09640329280522639
magenta,S30_T1,-0.1551293675179773
pink,S30_T1,-0.20834306669428432
purple,S30_T1,-0.22331339622296076
red,S30_T1,-0.09160288517297395
salmon,S30_T1,0.01231587321890917
tan,S30_T1,-0.019334052150042476
turquoise,S30_T1,0.15773240466131158
yellow,S30_T1,-0.1709749091935237
black,S03_T2,-0.06870452031727824
blue,S03_T2,0.19625241693457662
brown,S03_T2,-0.02850114803475923
green,S03_T2,-0.08336254220154597
greenyellow,S03_T2,0.10330055285556188
magenta,S03_T2,0.18561118104808141
pink,S03_T2,0.0926068036792715
purple,S03_T2,-0.017497419764959075
red,S03_T2,-0.17818707295931657
salmon,S03_T2,-0.006674456873471394
tan,S03_T2,-0.1049438981420663
turquoise,S03_T2,-0.09374119576112018
yellow,S03_T2,0.08541710681665599
black,S10_T2,-0.046742114353396785
blue,S10_T2,0.12741969384803892
brown,S10_T2,0.1273738532666247
green,S10_T2,-0.042647270239558804
greenyellow,S10_T2,0.1964296394636234
magenta,S10_T2,-0.1682327425642548
pink,S10_T2,0.010057408882680512
