pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,Regulation Of Protein Serine Threonine Kin...,GO:BP,-1.732,-2.005,0.1259,0.08456,NS,16
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,Mitochondrial RNA Metabolic Process,GO:BP,1.663,1.784,0.2,0.3022,NS,15
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,1.705,1.666,0.1632,0.3444,NS,16
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY,Regulation Of Transferase Activity,GO:BP,-1.622,-1.602,0.1223,0.334,NS,47
GOBP_ACYL_COA_METABOLIC_PROCESS,Acyl Coa Metabolic Process,GO:BP,1.693,1.491,0.1159,0.3574,NS,36
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,Regulation Of Endothelial Cell Migration,GO:BP,1.543,1.615,0.2691,0.3444,NS,24
GOBP_RESPONSE_TO_UV,Response To Uv,GO:BP,-1.375,-1.763,0.4506,0.3199,NS,24
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL,Calcium Ion Transmembrane Import Into Cytosol,GO:BP,-1.491,-1.643,0.2691,0.334,NS,38
GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,Cytochrome Complex Assembly,GO:BP,1.847,1.286,0.07443,0.7035,NS,16
GOBP_REGULATION_OF_MUSCLE_CONTRACTION,Regulation Of Muscle Contraction,GO:BP,-1.593,-1.539,0.1515,0.3444,NS,49
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,Endoplasmic Reticulum Organization,GO:BP,-1.413,-1.701,0.3925,0.334,NS,24
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION,Negative Regulation Of Cytokine Production,GO:BP,-1.519,-1.579,0.2823,0.3444,NS,27
GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE,Protein Transmembrane Import Into Intracel...,GO:BP,1.422,1.665,0.446,0.3444,NS,15
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,Regulation Of Muscle System Process,GO:BP,-1.601,-1.475,0.1159,0.3444,NS,64
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,Dicarboxylic Acid Metabolic Process,GO:BP,1.64,1.432,0.1626,0.4322,NS,40
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,-1.359,-1.705,0.3869,0.1184,NS,25
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,Monocarboxylic Acid Catabolic Process,GO:BP,1.638,1.396,0.13,0.4398,NS,49
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,1.218,1.813,0.5799,0.1261,NS,51
GOBP_FATTY_ACID_BETA_OXIDATION,Fatty Acid Beta Oxidation,GO:BP,1.721,1.307,0.112,0.6285,NS,36
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,Regulation Of Monoatomic Ion Transmembrane...,GO:BP,-1.571,-1.454,0.1376,0.3444,NS,67
GOBP_FATTY_ACID_CATABOLIC_PROCESS,Fatty Acid Catabolic Process,GO:BP,1.68,1.343,0.1159,0.5886,NS,41
GOBP_REGULATION_OF_KINASE_ACTIVITY,Regulation Of Kinase Activity,GO:BP,-1.586,-1.43,0.1632,0.4398,NS,36
GOBP_CALCIUM_MEDIATED_SIGNALING,Calcium Mediated Signaling,GO:BP,-1.493,-1.512,0.2676,0.3535,NS,38
GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,Positive Regulation Of Monoatomic Ion Tran...,GO:BP,-1.456,-1.536,0.3387,0.3574,NS,27
GOBP_REGULATION_OF_BLOOD_CIRCULATION,Regulation Of Blood Circulation,GO:BP,-1.637,-1.341,0.1086,0.5612,NS,53
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Regulation Of Calcium Ion Transmembrane Tr...,GO:BP,-1.464,-1.51,0.2691,0.3444,NS,44
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Proteasome Mediated Ubiquitin Dependent Pr...,GO:BP,-1.303,-1.668,0.3821,0.1519,NS,95
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,Regulation Of Calcium Mediated Signaling,GO:BP,-1.567,-1.398,0.2691,0.6138,NS,17
GOBP_CARDIAC_MUSCLE_CONTRACTION,Cardiac Muscle Contraction,GO:BP,-1.699,-1.247,0.08413,0.6743,NS,48
GOBP_HEART_PROCESS,Heart Process,GO:BP,-1.723,-1.223,0.06446,0.6843,NS,65
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,Mitochondrial Gene Expression,GO:BP,1.138,1.804,0.6868,0.1381,NS,44
