gene,logFC,neg_log10_p,pi_score,adj_pval,direction
PRPSAP2,-1.5536,2.8375,3.9e-5,0.51458,Down
NMT1,-1.2297,2.7712,3.91e-4,0.51458,Down
PITPNA,-1.2682,2.6247,4.69e-4,0.51458,Down
CA14,1.3918,2.1109,0.001154,0.800961,Up
AKT2,0.9177,3.006,0.001743,0.51458,Up
COX20,0.9824,2.7681,0.001908,0.51458,Up
CFI,-1.135,2.291,0.00251,0.754152,Down
APOL1,-2.0753,1.1554,0.004002,0.998942,Down
C1QC,-1.2572,1.7867,0.005672,0.998942,Down
ADIPOQ,-0.9553,2.2257,0.007479,0.754152,Down
UBE2O,1.199,1.6781,0.009726,0.998942,Up
PFKFB2,1.0881,1.7728,0.011777,0.998942,Up
ARCN1,0.7187,2.5113,0.015674,0.57342,Up
LAMTOR2,0.7856,2.2738,0.016354,0.754152,Up
APOD,-1.0332,1.7133,0.016976,0.998942,Down
PPP1R3A,0.7587,2.2082,0.02112,0.754152,Up
TSFM,0.5963,2.7987,0.021435,0.51458,Up
SNX5,0.5844,2.7628,0.024292,0.51458,Up
TIMM8A,0.7501,2.1174,0.025805,0.800961,Up
SOD3,-0.9121,1.6516,0.031154,0.998942,Down
MTX1,0.6523,2.2558,0.033763,0.754152,Up
S100A13,0.9638,1.4961,0.036138000000000003,0.998942,Up
MRPL49,0.8414,1.6681,0.039491,0.998942,Up
CACNB3,-0.5269,2.6041,0.042443,0.51458,Down
LYPLA2,0.5212,2.6113,0.043552,0.51458,Up
POLDIP2,0.8986,1.4929,0.045554,0.998942,Up
OXSM,0.6922,1.8857,0.049513,0.998942,Up
LSM2,-0.9821,1.2978,0.053139,0.998942,NS
SNCA,-1.0815,1.0839,0.067263,0.998942,NS
PARVA,0.7112,1.6052,0.072171,0.998942,NS
SEC23A,0.6817,1.6024,0.080833,0.998942,NS
GAA,0.7315,1.4701,0.084074,0.998942,NS
GLUL,0.5557,1.8654,0.09192,0.998942,NS
EIF4EBP1,0.9827,1.0186,0.099781,0.998942,NS
RAB1A,-0.7404,1.3382,0.102139,0.998942,NS
C6orf136,0.808,1.2183,0.103664,0.998942,NS
BLVRB,-0.5342,1.8291,0.105403,0.998942,NS
CLASP2,0.6218,1.5596,0.107197,0.998942,NS
ABCB7,-0.6694,1.4141,0.113066,0.998942,NS
EIF2A,-0.5999,1.5731,0.113833,0.998942,NS
PALMD,-0.5894,1.598,0.114303,0.998942,NS
MCCC1,-0.6215,1.4872,0.119054,0.998942,NS
ALPK3,0.7928,1.1389,0.125058,0.998942,NS
TTC38,0.6928,1.2967,0.12639,0.998942,NS
PLN,0.7363,1.2183,0.126768,0.998942,NS
TRAP1,0.4091,2.1882,0.127273,0.754152,NS
CD81,0.6552,1.3547,0.129532,0.998942,NS
SUMO2,0.5492,1.6082,0.130876,0.998942,NS
OSTC,0.5875,1.5004,0.131389,0.998942,NS
CIRBP,-0.5116,1.7192,0.131957,0.998942,NS
TPPP,-0.8138,1.0804,0.132068,0.998942,NS
PPP3R1,-0.4738,1.8514,0.132704,0.998942,NS
LIMS3,0.6043,1.3801,0.146551,0.998942,NS
NHLRC2,0.5488,1.5028,0.149727,0.998942,NS
EIF3L,-0.4934,1.6115,0.160295,0.998942,NS
STT3B,-0.521,1.509,0.16363,0.998942,NS
CAV2,-0.7872,0.9959,0.164432,0.998942,NS
MPST,-0.4251,1.8435,0.164538,0.998942,NS
GART,-0.5083,1.535,0.165876,0.998942,NS
MYLK2,-0.5646,1.3808,0.166124,0.998942,NS
RBP4,-0.7909,0.9767,0.168851,0.998942,NS
UQCRH,0.5174,1.4837,0.17075,0.998942,NS
MGST2,-0.6079,1.2509,0.173618,0.998942,NS
HSDL1,0.5105,1.4682,0.178059,0.998942,NS
PTBP1,-0.8124,0.922,0.178215,0.998942,NS
