gene,logFC,neg_log10_p,pi_score,adj_pval,direction
RTN4IP1,1.9172,2.6965,7e-6,0.913019,Up
CFI,1.985,2.5278,1e-5,0.913019,Up
CPT1A,1.6202,2.9653,1.6e-5,0.913019,Up
LMAN2,1.4943,2.7778,7.1e-5,0.913019,Up
ACAD10,1.415,2.933,7.1e-5,0.913019,Up
RAB8A,-1.9837,1.8261,2.39e-4,0.99862,Down
MRPL22,-1.4116,2.5606,2.43e-4,0.913019,Down
DRG1,-2.3376,1.4343,4.44e-4,0.99862,Down
DYNLT1,1.5031,2.0576,8.08e-4,0.99862,Up
TMED5,1.5847,1.9337,8.62e-4,0.99862,Up
TRMT112,-1.603,1.8707,0.001003,0.99862,Down
SND1,-1.8208,1.4991,0.001865,0.99862,Down
ADIPOQ,1.3012,1.9514,0.00289,0.99862,Up
HNRNPUL2,-1.5589,1.5679,0.003595,0.99862,Down
PALMD,1.2422,1.9364,0.003932,0.99862,Up
PRPSAP2,1.4708,1.5095,0.006022,0.99862,Up
POLDIP2,-1.4232,1.4519,0.008584,0.99862,Down
RBKS,-1.7313,1.1673,0.009528,0.99862,Down
ATP6V1H,-1.212,1.6578,0.009788,0.99862,Down
AKT2,-1.1541,1.7332,0.009995,0.99862,Down
PPP1CC,-1.2812,1.5597,0.010038,0.99862,Down
EIF3L,0.9444,2.1067,0.010243,0.99862,Up
CD9,2.0099,0.986,0.010427,0.99862,Up
PDPR,1.0849,1.7995,0.011162,0.99862,Up
MLIP,-1.2665,1.4918,0.012899,0.99862,Down
XRCC5,-1.0327,1.7754,0.014672,0.99862,Down
SYNPO2L,-1.6113,1.1314,0.015031,0.99862,Down
GAA,-1.1924,1.5011,0.01622,0.99862,Down
LAMP1,-1.9632,0.906,0.01665,0.99862,Down
CLTB,1.1484,1.5324,0.017386,0.99862,Up
PURA,-1.27,1.3476,0.019433,0.99862,Down
ALPK3,-1.4292,1.181,0.020518,0.99862,Down
MRC2,1.6403,1.0211,0.021141,0.99862,Up
UBE2O,-1.4945,1.1162,0.021474,0.99862,Down
JPT2,-1.0045,1.6364,0.022713,0.99862,Down
LTF,-3.1095,0.4999,0.027904,0.99862,Down
IGKV4-1,1.3704,1.1205,0.02914,0.99862,Up
MFN2,0.9264,1.6387,0.030335,0.99862,Up
SYNCRIP,-0.7089,2.0763,0.033739,0.99862,Down
ARHGAP1,-1.0505,1.3836,0.035199,0.99862,Down
TSFM,-0.7248,1.9911,0.036051,0.99862,Down
AKAP12,-1.5204,0.9342,0.037988,0.99862,Down
MT-ND3,1.1735,1.1925,0.039862,0.99862,Up
ATP2A3,0.7867,1.7633,0.041007,0.99862,Up
COPA,1.4969,0.902,0.044654,0.99862,Up
BCKDK,-1.573,0.8429,0.047218,0.99862,Down
CHORDC1,-1.5641,0.8406,0.048447,0.99862,Down
MLYCD,-0.8903,1.4757,0.048552,0.99862,Down
OTUB1,-0.627,2.0258,0.05368,0.99862,NS
ATP5F1E,1.0078,1.2471,0.055348,0.99862,NS
SLC25A11,0.7462,1.6772,0.056046,0.99862,NS
SMIM4,0.9713,1.2858,0.056371,0.99862,NS
DCUN1D1,-1.1781,1.026,0.06184,0.99862,NS
ANKRD2,-0.8197,1.4736,0.06197,0.99862,NS
TGM2,-0.7965,1.5098,0.062736,0.99862,NS
PGPEP1,-0.8798,1.3568,0.06402,0.99862,NS
KRT8,1.5278,0.7688,0.066912,0.99862,NS
MYH3,-1.2482,0.9339,0.068295,0.99862,NS
TPSB2,0.9028,1.2721,0.071055,0.99862,NS
TOMM40,0.9488,1.1984,0.072931,0.99862,NS
MAPKAPK2,-0.7378,1.5405,0.073034,0.99862,NS
B2M,-1.1025,1.0305,0.07308,0.99862,NS
STAT5B,0.9014,1.259,0.073304,0.99862,NS
JUP,0.998,1.1263,0.075155,0.99862,NS
TOMM70,-0.8335,1.3329,0.077438,0.99862,NS
STT3B,0.832,1.3294,0.078324,0.99862,NS
MRPL47,-0.8414,1.3141,0.078391,0.99862,NS
ABCF1,0.913,1.2059,0.079234,0.99862,NS
VAPA,0.8468,1.279,0.082588,0.99862,NS
TST,0.8569,1.2593,0.083367,0.99862,NS
APOO,0.7869,1.3623,0.084731,0.99862,NS
MAP2K1,-0.8031,1.3268,0.085995,0.99862,NS
GLOD4,-0.5911,1.7938,0.087038,0.99862,NS
COX20,-0.8866,1.1833,0.089302,0.99862,NS
COA3,0.8798,1.1886,0.09001,0.99862,NS
MAP1LC3B2,-0.697,1.4972,0.090465,0.99862,NS
EIF3B,0.7219,1.441,0.09114,0.99862,NS
NDUFS4,0.7634,1.3618,0.091288,0.99862,NS
UFL1,0.869,1.1927,0.091939,0.99862,NS
MIF,0.9892,1.035,0.094659,0.99862,NS
CACNG1,0.7842,1.2978,0.095988,0.99862,NS
LAMTOR3,-0.6139,1.6564,0.096179,0.99862,NS
RO60,-1.6947,0.5955,0.097897,0.99862,NS
MRPL9,-1.2799,0.7862,0.098588,0.99862,NS
MT-ATP6,1.1165,0.8986,0.099242,0.99862,NS
TMCO1,1.1455,0.8709,0.100549,0.99862,NS
SEPTIN6,1.5668,0.6341,0.101502,0.99862,NS
LYPLA2,-0.6094,1.6301,0.101532,0.99862,NS
HTRA2,0.9319,1.0582,0.103237,0.99862,NS
CPNE1,-0.8284,1.1655,0.108284,0.99862,NS
TMLHE,0.7127,1.353,0.108581,0.99862,NS
DHCR24,-1.1502,0.8289,0.111341,0.99862,NS
VBP1,-0.7366,1.2935,0.11149,0.99862,NS
RTN4,-0.6646,1.416,0.114552,0.99862,NS
NMT1,0.9228,1.0154,0.115604,0.99862,NS
NUBP2,-1.1635,0.7896,0.120579,0.99862,NS
PABPC4,0.6147,1.4934,0.120789,0.99862,NS
SDHD,0.8388,1.0894,0.121971,0.99862,NS
PAIP1,-0.7959,1.1393,0.123953,0.99862,NS
TKFC,0.7843,1.153,0.124642,0.99862,NS
