pathway,database,NES_Acute_HR,NES_Acute_LR,padj_Acute_HR,padj_Acute_LR,size_Acute_HR,size_Acute_LR,NES_int,padj_int,nx,ny,class
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,-2.64191940903096,-1.38627875588612,1.08861012823572e-12,0.22531921915061,152,152,-1.79656863820832,0.00184669407408586,-2.64191940903096,-1.38627875588612,Divergent
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,GO Slim,-2.44731500110038,-1.314984077634,7.95519602607436e-12,0.22531921915061,210,210,-1.78132921453891,7.56289984742506e-4,-2.44731500110038,-1.314984077634,Divergent
GOSLIM_CYTOPLASMIC_TRANSLATION,GO Slim,2.39430885396429,1.03194286555885,6.55186502026756e-8,0.774102167983727,116,114,1.97651904625135,4.23384323753896e-4,2.39430885396429,1.03194286555885,Divergent
HALLMARK_MYC_TARGETS_V1,Hallmark,2.16859294852808,1.72353198652061,3.90502442440568e-6,0.0188487443544521,119,118,1.31271856359066,0.240333319609216,2.16859294852808,1.72353198652061,Concordant
GOSLIM_MITOCHONDRION_ORGANIZATION,GO Slim,-2.08735501874135,-1.36599118715153,3.01491626871449e-5,0.268517408641591,121,121,-1.41946042744757,0.125493672219199,-2.08735501874135,-1.36599118715153,Concordant
HALLMARK_FATTY_ACID_METABOLISM,Hallmark,-2.08256921165693,-0.883876184213329,1.01192405406078e-4,0.930051971942047,86,86,-1.72156614998986,0.0217075621902825,-2.08256921165693,-0.883876184213329,Divergent
HALLMARK_G2M_CHECKPOINT,Hallmark,2.18211239079935,1.07111122570973,7.68598571261939e-4,0.7493246285457,24,24,1.96169764532732,0.0163263001228588,2.18211239079935,1.07111122570973,Divergent
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,2.07344739149428,-1.14022676033244,0.00108501226181753,0.682592895463496,34,34,2.19332132131449,8.36390579377527e-4,2.07344739149428,-1.14022676033244,Divergent
HALLMARK_ADIPOGENESIS,Hallmark,-1.85271116009184,0.718636740756061,0.00160391950221874,0.984655699876429,96,96,-1.6607370847861,0.0213939987657614,-1.85271116009184,0.718636740756061,Divergent
GOSLIM_MUSCLE_SYSTEM_PROCESS,GO Slim,1.70547854547437,0.815972334774101,0.00246517597516982,0.962834414831005,160,159,1.48913467823241,0.0511241182222982,1.70547854547437,0.815972334774101,Concordant
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,GO Slim,-1.79295626644218,-0.742499184154795,0.00302988698865935,0.985599719295896,95,95,-1.52114786522,0.0818217615927419,-1.79295626644218,-0.742499184154795,Concordant
HALLMARK_MITOTIC_SPINDLE,Hallmark,1.96639406332138,-0.657457595994658,0.00433250131773085,0.984655699876429,34,34,1.84928220970661,0.0260999759209072,1.96639406332138,-0.657457595994658,Divergent
HALLMARK_GLYCOLYSIS,Hallmark,-1.75786415765517,0.870741150315761,0.00659268550473937,0.92234018411869,58,59,-1.6588782066981,0.063160518444666,-1.75786415765517,0.870741150315761,Concordant
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,GO Slim,1.86287916388021,1.34397955844787,0.00825848948461284,0.493171217292378,35,34,1.24209111820238,0.423948084881602,1.86287916388021,1.34397955844787,Concordant
HALLMARK_E2F_TARGETS,Hallmark,1.89048001221269,1.86357093893315,0.0136274831396129,0.0534457629644241,28,28,1.04919942038061,0.632614339924106,1.89048001221269,1.86357093893315,Concordant
GOSLIM_TELOMERE_ORGANIZATION,GO Slim,1.79968172842305,1.92750584196536,0.0274659900696851,0.0188487443544521,32,32,-0.771157037547952,0.943887972524321,1.79968172842305,1.92750584196536,Concordant
GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT,GO Slim,1.66475508859922,1.26038361442424,0.0396850885409697,0.555333333333333,49,48,1.24623151325654,0.399490456919234,1.66475508859922,1.26038361442424,Concordant
GOSLIM_RIBOSOME_BIOGENESIS,GO Slim,1.65845906881826,1.18264903459536,0.0401363759114232,0.623430749164425,55,54,1.27789519278977,0.352193886508313,1.65845906881826,1.18264903459536,Concordant
GOSLIM_DNA_REPLICATION,GO Slim,1.72420134931199,-0.816956997038377,0.0478272454712245,0.93677521357662,31,31,1.45290195570589,0.231672056958047,1.72420134931199,-0.816956997038377,Concordant
GOSLIM_CHROMOSOME_SEGREGATION,GO Slim,1.35617101512803,-0.885623124499393,0.234069267108451,0.92234018411869,52,51,1.45925464443475,0.17843721053328,1.35617101512803,-0.885623124499393,Concordant
GOSLIM_CILIUM_ORGANIZATION,GO Slim,1.63947392191594,-1.42310023780759,0.0763075471251383,0.412741222971402,31,31,1.89291604417881,0.0233503758954893,1.63947392191594,-1.42310023780759,Divergent
GOSLIM_CYTOKINESIS,GO Slim,0.773514665246944,-1.02254078034303,0.961640452518683,0.782072463057853,37,37,1.1559421259173,0.512238723298248,0.773514665246944,-1.02254078034303,Concordant
GOSLIM_DETOXIFICATION,GO Slim,-1.01588172165433,1.18849375597096,0.698683342839756,0.623430749164425,52,52,-1.21761710271987,0.424598221016131,-1.01588172165433,1.18849375597096,Concordant
GOSLIM_DNA_RECOMBINATION,GO Slim,1.44066623221813,1.32680706400102,0.207653360499747,0.533656690918486,25,25,-0.975620550350306,0.712185603989675,1.44066623221813,1.32680706400102,Concordant
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,GO Slim,-0.956041024513766,0.684264915738308,0.790710107015458,0.964114739328415,20,19,0.663043056068234,0.959038365760471,-0.956041024513766,0.684264915738308,Concordant
GOSLIM_GLYCOPROTEIN_METABOLIC_PROCESS,GO Slim,1.0202307918096,1.2653604480233,0.717492767210008,0.604035882089707,23,21,0.928045261549467,0.776070264190182,1.0202307918096,1.2653604480233,Concordant
GOSLIM_KETONE_METABOLIC_PROCESS,GO Slim,-1.26613366892251,-1.1150033041887,0.325806735121358,0.683189655172414,54,54,-0.707392618470555,0.968192212983762,-1.26613366892251,-1.1150033041887,Concordant
GOSLIM_MICROTUBULE-BASED_MOVEMENT,GO Slim,1.08173079913342,1.08869005731506,0.601686702209614,0.725128963411316,53,53,-0.841455726770254,0.904029967472697,1.08173079913342,1.08869005731506,Concordant
GOSLIM_MITOTIC_NUCLEAR_DIVISION,GO Slim,1.01068042234074,-0.708384782674317,0.717492767210008,0.983133018699714,40,39,1.20475135042795,0.466686269956752,1.01068042234074,-0.708384782674317,Concordant
GOSLIM_PROTEIN_FOLDING,GO Slim,1.43628264989105,1.0275218093079,0.127937345633975,0.779475311432136,79,78,1.09611614708077,0.564893381862113,1.43628264989105,1.0275218093079,Concordant
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,GO Slim,-0.909700561081912,-0.822111043672389,0.849357322010295,0.943363120200934,55,55,-0.868763753561034,0.875220963433975,-0.909700561081912,-0.822111043672389,Concordant
GOSLIM_TRNA_METABOLIC_PROCESS,GO Slim,0.852831848962292,-1.02784687966746,0.908643458352429,0.777654690878774,41,41,1.06135663154912,0.61877589850782,0.852831848962292,-1.02784687966746,Concordant
GOSLIM_WOUND_HEALING,GO Slim,-0.637055757773549,0.702391007968074,0.999381801291692,0.981315354070152,53,52,0.511494971918785,0.998995378742214,-0.637055757773549,0.702391007968074,Concordant
HALLMARK_ALLOGRAFT_REJECTION,Hallmark,1.53699983191711,1.11354644807094,0.132913590282902,0.71845279241782,25,25,0.959097234762147,0.731307914950815,1.53699983191711,1.11354644807094,Concordant
HALLMARK_ANDROGEN_RESPONSE,Hallmark,0.787277850776137,0.714900077725657,0.937353828565263,0.955914847051006,22,21,0.649920913549177,0.960712262107122,0.787277850776137,0.714900077725657,Concordant
HALLMARK_APICAL_JUNCTION,Hallmark,1.59756421951254,1.23431567001724,0.0937598903465458,0.604035882089707,33,33,0.929241257671695,0.786480335378936,1.59756421951254,1.23431567001724,Concordant
HALLMARK_APOPTOSIS,Hallmark,0.830032430200623,-0.750946803363969,0.915353525662167,0.946703545521424,26,26,0.835441690783421,0.873466508103345,0.830032430200623,-0.750946803363969,Concordant
HALLMARK_BILE_ACID_METABOLISM,Hallmark,-1.05614870347413,1.12175045154113,0.670380599686535,0.715310973603006,20,20,-1.23697222576625,0.458576096558054,-1.05614870347413,1.12175045154113,Concordant
HALLMARK_COAGULATION,Hallmark,0.856537386916494,-1.39684680655625,0.878040218665885,0.482754765282833,17,17,1.3196997273072,0.393408582039769,0.856537386916494,-1.39684680655625,Concordant
HALLMARK_COMPLEMENT,Hallmark,0.639103135801828,1.00938725536718,0.999381801291692,0.795672400735692,29,29,0.799821311947883,0.913923093629398,0.639103135801828,1.00938725536718,Concordant
HALLMARK_DNA_REPAIR,Hallmark,0.725646142363703,1.672008505949,0.985372367036787,0.17969089057172,25,25,-1.36706435263431,0.31435709213487,0.725646142363703,1.672008505949,Concordant
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,-0.507643359184303,-0.661542384420198,0.999381801291692,0.984655699876429,36,36,-0.592418844609513,0.990095911647,-0.507643359184303,-0.661542384420198,Concordant
HALLMARK_ESTROGEN_RESPONSE_EARLY,Hallmark,-0.562481875361746,1.50219562004792,0.999381801291692,0.374147067140416,16,16,-1.41372501858961,0.304642388311999,-0.562481875361746,1.50219562004792,Concordant
HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,0.766591803941868,1.20562555599204,0.95286519354002,0.623430749164425,29,29,-0.821938847150749,0.898751525656915,0.766591803941868,1.20562555599204,Concordant
HALLMARK_HEME_METABOLISM,Hallmark,-0.974591480902824,2.73357573783263,0.770963516131434,6.45044409692128e-11,50,50,-2.74125145211139,4.11050394884078e-9,-0.974591480902824,2.73357573783263,Divergent
HALLMARK_HYPOXIA,Hallmark,0.904511977276435,0.895599962854785,0.849357322010295,0.900190658752719,44,45,-1.10712946514233,0.565859991690902,0.904511977276435,0.895599962854785,Concordant
HALLMARK_IL2_STAT5_SIGNALING,Hallmark,0.639096166071755,1.24397333397437,0.999381801291692,0.621281235551078,23,23,-1.1554731815456,0.522823247598603,0.639096166071755,1.24397333397437,Concordant
HALLMARK_INTERFERON_GAMMA_RESPONSE,Hallmark,0.989766568683817,1.65931276719078,0.749069463454643,0.203387011176503,18,18,-1.17090563198943,0.522331281671328,0.989766568683817,1.65931276719078,Concordant
HALLMARK_MTORC1_SIGNALING,Hallmark,0.896901861374857,1.56053970525504,0.885166462119884,0.150260704692684,83,83,-1.45548562260805,0.132270628387874,0.896901861374857,1.56053970525504,Concordant
HALLMARK_MYOGENESIS,Hallmark,0.922970886557071,-0.819888811366848,0.849357322010295,0.955914847051006,94,94,1.06400993825259,0.609033477578858,0.922970886557071,-0.819888811366848,Concordant
HALLMARK_P53_PATHWAY,Hallmark,-1.00214834819403,1.0311677618303,0.737219204720714,0.779670412468785,23,23,-1.06860748745236,0.621669588934346,-1.00214834819403,1.0311677618303,Concordant
HALLMARK_PEROXISOME,Hallmark,-1.3101731499734799,-0.863091478017312,0.299286314662036,0.92234018411869,36,36,-1.04840746810033,0.63219060521799,-1.3101731499734799,-0.863091478017312,Concordant
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Hallmark,1.04564169548341,1.04797612088043,0.665066633860706,0.769154753838184,36,36,-0.865562692742762,0.851279446875623,1.04564169548341,1.04797612088043,Concordant
HALLMARK_PROTEIN_SECRETION,Hallmark,1.2594162148707,-0.975513499291649,0.359300602635497,0.818930997959131,37,37,1.39558996575921,0.26891859491626,1.2594162148707,-0.975513499291649,Concordant
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,1.26303883782987,1.78670535588156,0.403163539503174,0.0946933755051836,22,22,-1.20825310320889,0.484047308794496,1.26303883782987,1.78670535588156,Concordant
HALLMARK_UV_RESPONSE_UP,Hallmark,1.04669464128161,0.818642122455803,0.665066633860706,0.93677521357662,36,36,0.811225119744969,0.922481496328961,1.04669464128161,0.818642122455803,Concordant
HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,0.903955216047169,1.62561089636289,0.849357322010295,0.147648300090597,53,53,-1.22897295956134,0.417089997074319,0.903955216047169,1.62561089636289,Concordant
