pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,Regulation Of Protein Serine Threonine Kin...,GO:BP,-2.005,1.438,0.08456,0.3371,NS,16
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION,Protein Localization To Cell Junction,GO:BP,1.905,-1.454,0.1769,0.3195,NS,17
GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,Negative Regulation Of Transferase Activity,GO:BP,-1.752,1.572,0.3199,0.1782,NS,26
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT,Organic Hydroxy Compound Transport,GO:BP,-1.525,1.786,0.3574,0.07739,NS,32
GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE,Protein Transmembrane Import Into Intracel...,GO:BP,1.665,-1.642,0.3444,0.1707,NS,15
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,Negative Regulation Of Protein Polymerization,GO:BP,-1.364,1.928,0.6285,0.06636,NS,21
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS,Hydrogen Peroxide Metabolic Process,GO:BP,-1.336,1.942,0.6619,0.05278,NS,19
GOBP_RENAL_SYSTEM_DEVELOPMENT,Renal System Development,GO:BP,-1.466,1.8,0.4778,0.07739,NS,22
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,-1.705,1.56,0.1184,0.08114,NS,25
GOBP_RESPONSE_TO_ETHANOL,Response To Ethanol,GO:BP,-1.492,1.762,0.43120000000000003,0.07739,NS,24
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,Inner Mitochondrial Membrane Organization,GO:BP,1.811,-1.435,0.2596,0.311,NS,26
GOBP_CELLULAR_OXIDANT_DETOXIFICATION,Cellular Oxidant Detoxification,GO:BP,-1.467,1.774,0.4,0.07739,NS,39
GOBP_RESPONSE_TO_NUTRIENT,Response To Nutrient,GO:BP,-1.471,1.768,0.4238,0.07739,NS,32
GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY,Negative Regulation Of Catalytic Activity,GO:BP,-1.685,1.549,0.319,0.1715,NS,39
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Ribonucleoside Monophosphate Metabolic Pro...,GO:BP,-1.589,1.644,0.3444,0.1452,NS,24
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION,Positive Regulation Of Synaptic Transmission,GO:BP,-1.519,1.686,0.4322,0.1372,NS,17
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM,Vascular Process In Circulatory System,GO:BP,-1.57,1.625,0.3444,0.1452,NS,29
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION,Negative Regulation Of Cytokine Production,GO:BP,-1.579,1.594,0.3444,0.1648,NS,27
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,Regulation Of Inflammatory Response,GO:BP,-1.359,1.794,0.5753,0.06917,NS,34
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Purine Nucleoside Monophosphate Metabolic ...,GO:BP,-1.661,1.488,0.3444,0.2763,NS,22
GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY,Negative Regulation Of Kinase Activity,GO:BP,-1.615,1.531,0.355,0.2452,NS,18
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,Response To Xenobiotic Stimulus,GO:BP,-1.709,1.437,0.1769,0.2173,NS,67
GOBP_GLUCAN_METABOLIC_PROCESS,Glucan Metabolic Process,GO:BP,1.618,-1.526,0.3444,0.221,NS,30
GOBP_RESPONSE_TO_ACTIVITY,Response To Activity,GO:BP,-1.366,1.777,0.5981,0.07739,NS,26
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Regulation Of Protein Localization To Nucleus,GO:BP,-1.556,1.573,0.3444,0.1648,NS,36
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Negative Regulation Of Cytoskeleton Organi...,GO:BP,-1.334,1.783,0.6285,0.07739,NS,27
GOBP_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,Negative Regulation Of Establishment Of Pr...,GO:BP,-1.419,1.695,0.5598,0.1126,NS,23
GOBP_ENERGY_RESERVE_METABOLIC_PROCESS,Energy Reserve Metabolic Process,GO:BP,1.614,-1.492,0.3444,0.2368,NS,31
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Ribonucleoside Monophosphate Biosynthetic ...,GO:BP,-1.627,1.472,0.3444,0.3121,NS,16
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY,Regulation Of Transferase Activity,GO:BP,-1.602,1.494,0.334,0.2078,NS,47
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,1.666,-1.42,0.3444,0.3478,NS,16
GOBP_POLYSACCHARIDE_METABOLIC_PROCESS,Polysaccharide Metabolic Process,GO:BP,1.694,-1.391,0.3199,0.3264,NS,32
GOBP_MUSCLE_CELL_PROLIFERATION,Muscle Cell Proliferation,GO:BP,-1.397,1.683,0.5612,0.1132,NS,26
GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Nucleoside Monophosphate Biosynthetic Process,GO:BP,-1.665,1.406,0.3444,0.3802,NS,17
GOBP_CILIUM_ORGANIZATION,Cilium Organization,GO:BP,1.527,-1.542,0.3574,0.1995,NS,31
GOBP_ENDOTHELIAL_CELL_MIGRATION,Endothelial Cell Migration,GO:BP,1.296,1.758,0.662,0.07739,NS,33
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE,Response To Toxic Substance,GO:BP,-1.43,1.601,0.3574,0.1056,NS,63
GOBP_DETOXIFICATION,Detoxification,GO:BP,-1.367,1.662,0.5211,0.08202,NS,48
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Negative Regulation Of Actin Filament Poly...,GO:BP,-1.239,1.781,0.733,0.08202,NS,17
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Positive Regulation Of Calcium Ion Transme...,GO:BP,-1.748,1.271,0.334,0.526,NS,17
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,Regulation Of Leukocyte Differentiation,GO:BP,-1.32,1.693,0.662,0.1132,NS,22
GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION,Smooth Muscle Cell Proliferation,GO:BP,-1.287,1.716,0.7035,0.1126,NS,19
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Nucleoside Monophosphate Metabolic Process,GO:BP,-1.477,1.518,0.43120000000000003,0.2351,NS,27
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Regulation Of Intracellular Protein Transport,GO:BP,-1.719,1.264,0.3199,0.4993,NS,30
GOBP_REGULATION_OF_MRNA_PROCESSING,Regulation Of Mrna Processing,GO:BP,-1.168,1.806,0.812,0.07739,NS,18
GOBP_POSITIVE_REGULATION_OF_BINDING,Positive Regulation Of Binding,GO:BP,-1.168,1.805,0.8221,0.08202,NS,16
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,Mitochondrial Gene Expression,GO:BP,1.804,-1.167,0.1381,0.5657,NS,43
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION,Negative Regulation Of Actin Filament Depo...,GO:BP,-1.242,1.724,0.7359,0.1232,NS,15
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION,Negative Regulation Of Phosphorylation,GO:BP,-1.516,1.449,0.4029,0.311,NS,23
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,Polysaccharide Biosynthetic Process,GO:BP,1.782,-1.183,0.3022,0.615,NS,15
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,Regulation Of Mrna Splicing Via Spliceosome,GO:BP,-1.155,1.809,0.8221,0.08158,NS,17
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,1.813,-1.127,0.1261,0.615,NS,51
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,Cellular Response To Toxic Substance,GO:BP,-1.339,1.594,0.5612,0.1132,NS,50
GOBP_ENDOSOMAL_TRANSPORT,Endosomal Transport,GO:BP,1.29,-1.638,0.6263,0.08202,NS,58
GOBP_RENAL_SYSTEM_PROCESS,Renal System Process,GO:BP,-1.304,1.623,0.7035,0.178,NS,15
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,Mitochondrial RNA Metabolic Process,GO:BP,1.784,-1.14,0.3022,0.6596,NS,15
GOBP_AUTOPHAGOSOME_ORGANIZATION,Autophagosome Organization,GO:BP,-1.687,-1.224,0.3444,0.5566,NS,21
GOBP_REGULATION_OF_HEMOPOIESIS,Regulation Of Hemopoiesis,GO:BP,-1.072,1.839,0.8758,0.06636,NS,31
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Positive Regulation Of Protein Localizatio...,GO:BP,-1.413,1.496,0.5494,0.2505,NS,24
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Negative Regulation Of Protein Modificatio...,GO:BP,-1.519,1.385,0.3444,0.3157,NS,45
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,Regulation Of Protein Depolymerization,GO:BP,-1.277,1.627,0.7035,0.1597,NS,22
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Generation Of Precursor Metabolites And En...,GO:BP,1.542,-1.357,0.1261,0.1188,NS,224
GOBP_PROTEIN_DEPOLYMERIZATION,Protein Depolymerization,GO:BP,-1.22,1.673,0.733,0.1132,NS,26
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY,Positive Regulation Of Autophagy,GO:BP,-1.062,-1.829,0.8758,0.07739,NS,30
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Negative Regulation Of Protein Containing ...,GO:BP,-1.161,1.728,0.8221,0.1116,NS,17
GOBP_CELL_CHEMOTAXIS,Cell Chemotaxis,GO:BP,1.048,1.836,0.8863,0.06636,NS,30
GOBP_RESPONSE_TO_IONIZING_RADIATION,Response To Ionizing Radiation,GO:BP,-1.575,1.305,0.4031,0.4993,NS,16
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Negative Regulation Of Protein Containing ...,GO:BP,-1.027,1.851,0.8863,0.06636,NS,36
GOBP_TORC1_SIGNALING,Torc1 Signaling,GO:BP,1.039,-1.835,0.8863,0.07739,NS,24
GOBP_RESPONSE_TO_RADIATION,Response To Radiation,GO:BP,-1.497,1.372,0.3444,0.311,NS,57
GOBP_REGULATION_OF_KINASE_ACTIVITY,Regulation Of Kinase Activity,GO:BP,-1.43,1.438,0.4398,0.2796,NS,36
GOBP_REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS,Regulation Of Protein Import Into Nucleus,GO:BP,-1.632,1.235,0.3444,0.568,NS,15
