pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,Inner Mitochondrial Membrane Organization,GO:BP,1.749,1.79,0.1484,0.2282,NS,24
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION,Protein Localization To Cell Junction,GO:BP,-1.515,1.94,0.3974,0.1308,NS,16
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION,Negative Regulation Of Cytokine Production,GO:BP,-1.713,-1.653,0.1509,0.2812,NS,27
GOBP_CALCINEURIN_MEDIATED_SIGNALING,Calcineurin Mediated Signaling,GO:BP,-1.476,-1.852,0.4443,0.2282,NS,11
GOBP_NEGATIVE_REGULATION_OF_HEMOPOIESIS,Negative Regulation Of Hemopoiesis,GO:BP,-1.461,-1.853,0.4422,0.2282,NS,12
GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING,Regulation Of Calcineurin Mediated Signaling,GO:BP,-1.495,-1.788,0.4283,0.2578,NS,10
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,Fatty Acid Derivative Metabolic Process,GO:BP,1.441,1.823,0.4652,0.2463,NS,15
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,Regulation Of Calcium Mediated Signaling,GO:BP,-1.823,-1.44,0.1464,0.5203,NS,17
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,Regulation Of Leukocyte Differentiation,GO:BP,-1.442,-1.819,0.4205,0.2463,NS,23
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,1.602,1.621,0.3696,0.3483,NS,14
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL,Calcium Ion Transmembrane Import Into Cytosol,GO:BP,-1.585,-1.626,0.2585,0.2805,NS,37
GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,Regulation Of Protein Serine Threonine Kin...,GO:BP,-1.302,-1.904,0.5531,0.1937,NS,16
GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS,Fatty Acid Derivative Biosynthetic Process,GO:BP,1.594,1.61,0.3825,0.3761,NS,11
GOBP_PEPTIDE_METABOLIC_PROCESS,Peptide Metabolic Process,GO:BP,-1.727,-1.467,0.2269,0.5203,NS,15
GOBP_RESPONSE_TO_UV,Response To Uv,GO:BP,-1.335,-1.844,0.5016,0.2282,NS,23
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,Endoplasmic Reticulum Organization,GO:BP,-1.439,-1.736,0.4245,0.2578,NS,23
GOBP_IMP_METABOLIC_PROCESS,Imp Metabolic Process,GO:BP,-1.329,-1.816,0.5321,0.2578,NS,14
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS,Amyloid Precursor Protein Metabolic Process,GO:BP,-1.485,-1.623,0.4242,0.3677,NS,12
GOBP_RESPONSE_TO_CADMIUM_ION,Response To Cadmium Ion,GO:BP,-1.405,-1.703,0.4819,0.2812,NS,11
GOBP_NEURON_PROJECTION_GUIDANCE,Neuron Projection Guidance,GO:BP,1.281,1.811,0.5762,0.2463,NS,13
GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT,Regulation Of Nucleocytoplasmic Transport,GO:BP,-1.539,-1.552,0.3696,0.3761,NS,24
GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,Amyloid Precursor Protein Catabolic Process,GO:BP,-1.448,-1.637,0.4653,0.3659,NS,11
GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Negative Regulation Of Extrinsic Apoptotic...,GO:BP,-1.773,-1.311,0.1575,0.6665,NS,17
GOBP_UBIQUINONE_METABOLIC_PROCESS,Ubiquinone Metabolic Process,GO:BP,1.835,1.235,0.1464,0.7681,NS,10
GOBP_QUINONE_METABOLIC_PROCESS,Quinone Metabolic Process,GO:BP,1.842,1.215,0.1418,0.7768,NS,11
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Purine Nucleoside Monophosphate Biosynthet...,GO:BP,-1.284,-1.764,0.5759,0.2463,NS,12
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Regulation Of Intracellular Protein Transport,GO:BP,-1.275,-1.759,0.5491,0.2463,NS,29
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,Alcohol Biosynthetic Process,GO:BP,-1.367,-1.662,0.4653,0.2679,NS,28
GOBP_REGULATION_OF_TUBE_SIZE,Regulation Of Tube Size,GO:BP,-1.541,-1.472,0.3825,0.5141,NS,19
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,Mitochondrial RNA Metabolic Process,GO:BP,1.21,1.801,0.628,0.2463,NS,15
GOBP_CELLULAR_RESPONSE_TO_UV,Cellular Response To Uv,GO:BP,-1.263,-1.746,0.5819,0.2578,NS,12
GOBP_CILIUM_ORGANIZATION,Cilium Organization,GO:BP,-1.361,1.645,0.4682,0.2812,NS,28
GOBP_MITOCHONDRIAL_TRANSLATION,Mitochondrial Translation,GO:BP,-1.108,1.898,0.6932,0.08514,NS,35
GOBP_CALCIUM_MEDIATED_SIGNALING,Calcium Mediated Signaling,GO:BP,-1.49,-1.509,0.3696,0.3761,NS,38
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM,Vascular Process In Circulatory System,GO:BP,-1.243,-1.753,0.5759,0.2463,NS,31
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,Dicarboxylic Acid Metabolic Process,GO:BP,1.496,1.498,0.3684,0.3951,NS,38
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Ribonucleoside Monophosphate Biosynthetic ...,GO:BP,-1.371,-1.621,0.4988,0.334,NS,14
GOBP_MUSCLE_ORGAN_MORPHOGENESIS,Muscle Organ Morphogenesis,GO:BP,-1.49,-1.5,0.4169,0.5147,NS,12
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,Regulation Of Muscle System Process,GO:BP,-1.462,-1.527,0.3344,0.2757,NS,63
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY,Regulation Of Transferase Activity,GO:BP,-1.382,-1.604,0.4169,0.2578,NS,44
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,Polysaccharide Biosynthetic Process,GO:BP,1.118,1.839,0.7084,0.2463,NS,14
GOBP_CRISTAE_FORMATION,Cristae Formation,GO:BP,1.796,1.159,0.1575,0.8265,NS,11
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,1.61,1.334,0.1464,0.5189,NS,87
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,1.152,1.786,0.6291,0.1937,NS,46
