module,X1RM_Leg_Pre,X1RM._Ext_Pre,ACCUM_VL,mCSA_Pre,fCSA_Mixed_Pre,MyoVision_fCSA_mixed_Pre,fCSA_Type_I_Pre,MyoVision_fCSA_Type_I__Pre,fCSA_Type_II_Pre
MEturquoise,-0.05342682526688101,-0.3237940582071759,NA,-0.435051766632488,0.2683521423410068,-0.21835759825205225,0.3403312388086647,-0.17611115238604375,0.24083014292548663
MEgreen,0.34569874715064836,-0.17233487031430447,NA,-7.15849909455214e-4,0.013445671608955195,0.13946891728443617,0.2797114241488152,-0.004236985778304274,-0.03183913968794319
MEbrown,0.6843003758842073,0.22503608994114704,NA,0.3660789201474832,0.09970138315096996,0.01175540902808109,0.06262540710771806,-0.021471901701472722,0.10937625806795113
MEred,0.50000875546831125,0.8015194416657133,NA,0.5216483592310597,0.6555295017085614,-0.3778034500917,0.779538035285942,-0.38145522303222096,0.6039220046188699
MEmagenta,-0.6086136052004818,-0.6497567802344991,NA,-0.7767264627826324,-0.41733309633178345,0.5849491445865276,-0.045725032309479045,0.6014583509641483,-0.47904844333580443
MEpurple,0.676300481756288,0.7407124209958458,NA,0.7323274607722472,0.34108439288515746,-0.0621287938902055,0.601125780014336,-0.2260317353299989,0.28232054892515096
MEyellow,-0.4862281856949828,-0.17895228249701867,NA,-0.17735812782186217,-0.07998703717249513,-0.2284292249526257,-0.3812635521353036,-0.13951710874835635,-0.021415304013195455
MEblack,-0.39541818277083296,-0.3070384415827403,NA,-0.2037674673930557,-0.01371866267032672,-0.29736674926301215,-0.26636069199067886,-0.2606609554367783,0.037286089985498296
MEpink,0.04381556914448061,0.21217039605559496,NA,0.2944751374964362,0.16496434620126182,-0.46188802570507376,-0.274190896476201,-0.3896069748757482,0.24574020616826006
MEblue,-0.016228944892750532,0.30631108026264836,NA,0.31327778371973203,-0.3287808899600498,0.38361492365126454,-0.297165437756863,0.36682504233314184,-0.32241030933626885
MEgreenyellow,0.14191071554058485,0.2631642722955089,NA,0.42103386695065814,-0.16608982486531007,0.12919706782049994,-0.24131109428175687,0.08602421590980062,-0.13809681177281283
MEgrey,0.8754148128875329,0.9212913690101497,NA,0.8128166135021345,0.6517844536151738,-0.5135974816775135,0.4966320541124498,-0.5012897678002006,0.6581254258295292
