module,X1RM_Leg_Pre,X1RM._Ext_Pre,ACCUM_VL,mCSA_Pre,fCSA_Mixed_Pre,MyoVision_fCSA_mixed_Pre,fCSA_Type_I_Pre,MyoVision_fCSA_Type_I__Pre,fCSA_Type_II_Pre
MEturquoise,0.972452515501733,0.7117602997365694,NA,0.6937239644509396,0.9771759821989023,0.9389930197206207,0.722592217113861,0.9928071341058543,0.9636525868340775
MEgreen,0.6713306627843101,0.7117602997365694,NA,0.9987847357609578,0.9771759821989023,0.9389930197206207,0.722592217113861,0.9928071341058543,0.9636525868340775
MEbrown,0.38113875725270296,0.7117602997365694,NA,0.6952984499823486,0.9771759821989023,0.9800447766838143,0.9224558973627754,0.9928071341058543,0.9636525868340775
MEred,0.5371268641039644,0.18117055699869553,NA,0.6894627191544018,0.6760866421478808,0.9389930197206207,0.4652116034712459,0.9928071341058543,0.9059224239168029
MEmagenta,0.44094358623396296,0.34256358993657204,NA,0.23970218943009802,0.9771759821989023,0.9389930197206207,0.9224558973627754,0.9928071341058543,0.9636525868340775
MEpurple,0.38113875725270296,0.22741260884187103,NA,0.24503450721835066,0.9771759821989023,0.9760694489277653,0.722592217113861,0.9928071341058543,0.9636525868340775
MEyellow,0.5371268641039644,0.7117602997365694,NA,0.7675861427310017,0.9771759821989023,0.9389930197206207,0.722592217113861,0.9928071341058543,0.9636525868340775
MEblack,0.6513287807862677,0.7117602997365694,NA,0.7675861427310017,0.9771759821989023,0.9389930197206207,0.722592217113861,0.9928071341058543,0.9636525868340775
MEpink,0.972452515501733,0.7117602997365694,NA,0.6952984499823486,0.9771759821989023,0.9389930197206207,0.722592217113861,0.9928071341058543,0.9636525868340775
MEblue,0.972452515501733,0.7117602997365694,NA,0.6952984499823486,0.9771759821989023,0.9389930197206207,0.722592217113861,0.9928071341058543,0.9636525868340775
MEgreenyellow,0.972452515501733,0.7117602997365694,NA,0.6937239644509396,0.9771759821989023,0.9389930197206207,0.722592217113861,0.9928071341058543,0.9636525868340775
MEgrey,0.11794569406024911,0.03838208824490305,NA,0.23970218943009802,0.6760866421478808,0.9389930197206207,0.722592217113861,0.9928071341058543,0.9059224239168029
