module,X1RM_Leg_Pre,X1RM._Ext_Pre,ACCUM_VL,mCSA_Pre,fCSA_Mixed_Pre,MyoVision_fCSA_mixed_Pre,fCSA_Type_I_Pre,MyoVision_fCSA_Type_I__Pre,fCSA_Type_II_Pre
MEturquoise,0.02048689227813296,0.047605957569968146,NA,0.1814553796751396,0.3346188595685055,0.8104556181835729,0.35807740657016107,0.8870470977587183,0.31463000678449127
MEgreen,0.45548014778618007,0.35631123345194016,NA,0.3982616061130585,0.9394620652160749,0.05634068265239584,0.4357763732001808,0.1889601155267861,0.5389208654155466
MEbrown,0.7985216326610219,0.9619244360038801,NA,0.40414104907541526,0.9693733748199858,0.8977939096052713,0.683692976002878,0.6260743634988684,0.8326094172896192
MEred,0.906601909491463,0.5433034121606071,NA,0.7736138246328277,0.938819335717389,0.5380878658643311,0.7677389720429784,0.4411710768676242,0.9313968080624686
MEmagenta,0.7739312922894873,0.7329861702885383,NA,0.4910267986554536,0.780160865468797,0.22108083163230077,0.690533371483707,0.26242005553634257,0.4580536272925245
MEpurple,0.07200529433446913,0.15873331049760303,NA,0.3242027901623396,0.7008991725413298,0.3652645833879374,0.26963874114300845,0.5974328286927604,0.9762404107769029
MEyellow,0.7391108344702808,0.8909601653615286,NA,0.8976560287685633,0.5683617144978905,0.5819645340114686,0.9189053322218909,0.7530785533196517,0.3263086923623103
MEblack,0.44072915407768015,0.8625484422749339,NA,0.5692297454180559,0.713375766376185,0.9625347703356621,0.9415663122241147,0.9591593724724333,0.5136621763282978
MEpink,0.6697827471357767,0.9913172037750293,NA,0.461130834086637,0.6245896996859286,0.9227401949246915,0.7641798100971346,0.9937856267196095,0.30578101847920075
MEblue,0.09964515618849733,0.2028437086625235,NA,0.19416595278504487,0.2796438380407906,0.22403096047792234,0.3653684944759692,0.12695416618474584,0.23443944127693764
MEgreenyellow,0.15114093790740843,0.18659626983613561,NA,0.310522223792167,0.7075813492476883,0.7094961929718206,0.33182172178887537,0.7913400859242979,0.9852904834977014
MEgrey,0.8068672765062419,0.9003188598194847,NA,0.29817591446714187,0.4612113970719981,0.426621521953451,0.11904742307038409,0.7873793486499163,0.8732675127197383
