module,contrast,estimate,SE,df,t_ratio,p_raw,r_equiv,p_bh
MEturquoise,Training_HR,-0.10706,0.08261,39,-1.296,0.20259871626954423,-0.2032,0.7172548629285754
MEturquoise,Training_LR,-0.01963,0.07727,39,-0.254,0.8007958904857592,-0.0406,0.9883609448839381
MEturquoise,Acute_HR,-0.06119,0.08261,39,-0.7408,0.4632693461163717,-0.1178,0.9449850238876962
MEturquoise,Acute_LR,-0.08018,0.07727,39,-1.0377,0.3058022234975034,-0.1639,0.863441572228245
MEgreen,Training_HR,-0.1156,0.06833,28.1,-1.6918,0.10175297525192362,-0.304,0.6144324427997067
MEgreen,Training_LR,-2.3e-4,0.06273,25.69,-0.0037,0.9971016614984458,-7e-4,0.9971016614984458
MEgreen,Acute_HR,-0.00279,0.06833,28.1,-0.0408,0.9677700918655228,-0.0077,0.9883609448839381
MEgreen,Acute_LR,-0.09253,0.06273,25.69,-1.475,0.15236145510748345,-0.2794,0.664849985923564
MEbrown,Training_HR,-0.01282,0.06848,28.41,-0.1872,0.8528596262629423,-0.0351,0.9883609448839381
MEbrown,Training_LR,0.04734,0.06301,25.99,0.7514,0.45915310135020015,0.1458,0.9449850238876962
MEbrown,Acute_HR,0.13837,0.06848,28.41,2.0207,0.052821371129555206,0.3545,0.50708516284373
MEbrown,Acute_LR,0.06944,0.06301,25.99,1.1021,0.2805422966649862,0.2113,0.8416268899949586
MEred,Training_HR,-0.02146,0.06333,28.56,-0.3389,0.7371536185219045,-0.0633,0.9883609448839381
MEred,Training_LR,-0.03427,0.0586,26.06,-0.5849,0.5636550464643317,-0.1138,0.9883609448839381
MEred,Acute_HR,0.08136,0.06333,28.56,1.2848,0.20919933502083451,0.2337,0.7172548629285754
MEred,Acute_LR,0.22293,0.0586,26.06,3.8044,7.747675376821955e-4,0.5975,0.026525610102227887
MEmagenta,Training_HR,0.03712,0.05971,27.6,0.6217,0.5392622434395746,0.1175,0.9883609448839381
MEmagenta,Training_LR,0.08694,0.05435,25.43,1.5997,0.12201856698209335,0.3024,0.6144324427997067
MEmagenta,Acute_HR,-0.10045,0.05971,27.6,-1.6823,0.10379867260374187,-0.3049,0.6144324427997067
MEmagenta,Acute_LR,-0.0183,0.05435,25.43,-0.3367,0.7390791301436039,-0.0666,0.9883609448839381
MEpurple,Training_HR,-0.02733,0.06574,28.36,-0.4158,0.6806980285945419,-0.0778,0.9883609448839381
MEpurple,Training_LR,-0.05004,0.06073,25.86,-0.824,0.417473678468002,-0.16,0.9449850238876962
MEpurple,Acute_HR,-0.23866,0.06574,28.36,-3.6307,0.0011052337542594953,-0.5633,0.026525610102227887
MEpurple,Acute_LR,-0.11096,0.06073,25.86,-1.8272,0.07923855703813304,-0.3382,0.6144324427997067
MEyellow,Training_HR,0.1265,0.0624,27.57,2.0271,0.052420296098714875,0.3602,0.50708516284373
MEyellow,Training_LR,0.04609,0.0569,25.32,0.8101,0.4254538320430147,0.1589,0.9449850238876962
MEyellow,Acute_HR,0.0049,0.0624,27.57,0.0786,0.9379402713772074,0.015,0.9883609448839381
MEyellow,Acute_LR,0.01243,0.0569,25.32,0.2185,0.8287705369994248,0.0434,0.9883609448839381
MEblack,Training_HR,-0.07622,0.06359,25.67,-1.1986,0.24161538389971565,-0.2302,0.7731692284790901
MEblack,Training_LR,-0.00843,0.05772,23.48,-0.1461,0.8851105368529995,-0.0301,0.9883609448839381
MEblack,Acute_HR,-0.02137,0.06359,25.67,-0.336,0.7395982567361277,-0.0662,0.9883609448839381
MEblack,Acute_LR,0.02026,0.05772,23.48,0.351,0.7287434679341225,0.0722,0.9883609448839381
MEpink,Training_HR,0.06273,0.0646,26.93,0.9711,0.34012111613604556,0.1839,0.9069896430294548
MEpink,Training_LR,0.01529,0.059,24.57,0.2592,0.797651851641768,0.0522,0.9883609448839381
MEpink,Acute_HR,0.18037,0.0646,26.93,2.7922,0.009512399960463467,0.4738,0.15219839936741547
MEpink,Acute_LR,0.07953,0.059,24.57,1.3479,0.18998021509904942,0.2624,0.7172548629285754
MEblue,Training_HR,0.12371,0.07892,28.5,1.5676,0.12800675891660557,0.2817,0.6144324427997067
MEblue,Training_LR,-0.00777,0.0734,25.96,-0.1058,0.916520862182171,-0.0208,0.9883609448839381
MEblue,Acute_HR,0.02478,0.07892,28.5,0.314,0.7557750759335693,0.0587,0.9883609448839381
MEblue,Acute_LR,0.06073,0.0734,25.96,0.8275,0.41549851645515234,0.1603,0.9449850238876962
MEgreenyellow,Training_HR,0.02571,0.08346,39,0.3081,0.7596810601562777,0.0493,0.9883609448839381
MEgreenyellow,Training_LR,-0.005,0.07807,39,-0.064,0.9493038927026838,-0.0102,0.9883609448839381
MEgreenyellow,Acute_HR,-0.05894,0.08346,39,-0.7062,0.4842382186701205,-0.1124,0.9449850238876962
MEgreenyellow,Acute_LR,-0.04158,0.07807,39,-0.5326,0.5973334517350452,-0.085,0.9883609448839381
MEgrey,Training_HR,0.00433,0.08126,39,0.0533,0.9577748884013947,0.0085,0.9883609448839381
MEgrey,Training_LR,-0.04222,0.07601,39,-0.5555,0.5817565595139627,-0.0886,0.9883609448839381
MEgrey,Acute_HR,-0.05635,0.08126,39,-0.6934,0.49217969994150845,-0.1104,0.9449850238876962
MEgrey,Acute_LR,0.01413,0.07601,39,0.1859,0.8535147702252016,0.0297,0.9883609448839381
