module,delta_X1RM,delta_mCSA,delta_fCSA_Mix,delta_fCSA_TI,delta_fCSA_TII
MEgreenyellow,-0.200746499502736,-0.4809663342517644,-0.6330915960586807,-0.34734242072559157,-0.7307267593023286
MEred,-0.30499517515245955,-0.4356975528633724,-0.7063596828784181,-0.5036327882261232,-0.7110360208223863
MEgreen,-0.6769563714813857,-0.18490202487047225,-0.10433044328705415,-0.0777330946172613,-0.05113506086099057
MEmagenta,-0.4780662344924128,0.1861090031293617,0.21933364999966853,0.0993141638640622,0.34185523880008506
MEturquoise,0.2241721980682391,-0.07022396749474413,-0.33886354951186287,-0.2890516851019117,-0.4165955121173854
MEbrown,-0.16431874166370075,-0.45181979668567473,-0.15794102930956072,0.15665940287659944,-0.4959415333658112
MEpurple,-0.26995305778576517,0.399217313958725,0.3351884399507116,0.025637000600726656,0.43684376889019916
MEblack,0.33608456564544176,0.27362221268465137,0.6934779263588431,0.4712717466794695,0.7306124990992571
MEyellow,0.8157905679788116,0.22549279597712776,0.7523201690573313,0.5256498764567414,0.8663465359941565
MEblue,-0.275806216657255,0.17327977265562075,0.329759532878916,0.2252823765693088,0.4075458279822811
MEpink,0.634096384452884,0.6189243535374982,0.2266386430556697,0.19502322190916263,0.2074609404185366
MEgrey,-0.0673262894659312,-0.6297622811006239,0.308353312295142,0.18031417964499968,0.3528019934805845
