module,delta_X1RM,delta_mCSA,delta_fCSA_Mix,delta_fCSA_TI,delta_fCSA_TII
MEgreenyellow,0.8244439023567247,0.8101983052505551,0.5317072040347479,0.9615529241325772,0.3395579987203727
MEred,0.8244439023567247,0.8101983052505551,0.5061356477444866,0.9615529241325772,0.3395579987203727
MEgreen,0.7053343904783654,0.8101983052505551,0.8440721452334204,0.9615529241325772,0.923364262545165
MEmagenta,0.8244439023567247,0.8101983052505551,0.8115303532438831,0.9615529241325772,0.6086311185302439
MEturquoise,0.8244439023567247,0.8948372001915386,0.8115303532438831,0.9615529241325772,0.6086311185302439
MEbrown,0.8244439023567247,0.8101983052505551,0.8346091687017377,0.9615529241325772,0.6086311185302439
MEpurple,0.8244439023567247,0.8101983052505551,0.8115303532438831,0.9615529241325772,0.6086311185302439
MEblack,0.8244439023567247,0.8101983052505551,0.5061356477444866,0.9615529241325772,0.3395579987203727
MEyellow,0.5732912683457674,0.8101983052505551,0.5061356477444866,0.9615529241325772,0.30721356173867514
MEblue,0.8244439023567247,0.8101983052505551,0.8115303532438831,0.9615529241325772,0.6086311185302439
MEpink,0.7053343904783654,0.8101983052505551,0.8115303532438831,0.9615529241325772,0.7562979852500373
MEgrey,0.8991631550883052,0.8101983052505551,0.8115303532438831,0.9615529241325772,0.6086311185302439
