module,delta_X1RM,delta_mCSA,delta_fCSA_Mix,delta_fCSA_TI,delta_fCSA_TII
MEgreenyellow,0.5916806839389428,0.4789457053892945,0.9716919189775204,0.8978096161363359,0.9046532673678263
MEred,0.5916806839389428,0.764886349992657,0.9716919189775204,0.9762835080167711,0.9046532673678263
MEgreen,0.5916806839389428,0.764886349992657,0.9716919189775204,0.8978096161363359,0.9046532673678263
MEmagenta,0.5916806839389428,0.9285988509686112,0.9523058158457398,0.8978096161363359,0.7242975315740773
MEturquoise,0.5916806839389428,0.41591545429350374,0.9716919189775204,0.8978096161363359,0.9046532673678263
MEbrown,0.5916806839389428,0.7975447029472977,0.9523058158457398,0.8174659931430466,0.9046532673678263
MEpurple,0.5916806839389428,0.764886349992657,0.6777692237759388,0.8407836830347727,0.5923779379591079
MEblack,0.5916806839389428,0.910537301760338,0.9716919189775204,0.9550438936106622,0.9046532673678263
MEyellow,0.5916806839389428,0.7975447029472977,0.9716919189775204,0.8978096161363359,0.9046532673678263
MEblue,0.5916806839389428,0.4789457053892945,0.9716919189775204,0.9762835080167711,0.9046532673678263
MEpink,0.695005803518681,0.9285988509686112,0.9716919189775204,0.9301490664666737,0.9046532673678263
MEgrey,0.5916806839389428,0.764886349992657,0.6777692237759388,0.8174659931430466,0.5923779379591079
