module,delta_X1RM,delta_mCSA,delta_fCSA_Mix,delta_fCSA_TI,delta_fCSA_TII
MEgreenyellow,0.7029252081025102,0.3341811365283037,0.1772357346782493,0.4999392372670508,0.09899987464284951
MEred,0.5566928765347972,0.3878084175289547,0.11667743905312765,0.3084230350795595,0.11318599957345755
MEgreen,0.13967981688786904,0.7258077480593668,0.8440721452334204,0.8836352066209807,0.923364262545165
MEmagenta,0.33753102768965754,0.7240595832299894,0.6762752943699026,0.8515185370562497,0.5071925987752033
MEturquoise,0.669374385178733,0.8948372001915386,0.5111602731587417,0.5784977331923268,0.4112571866390375
MEbrown,0.7557402438269977,0.36838780659852016,0.7650584046432597,0.7669332764171104,0.3170780949032188
MEpurple,0.6049067810826204,0.4329865517307344,0.5160467669310629,0.9615529241325772,0.38641633621413185
MEblack,0.5148540038210812,0.5998096074645908,0.12653391193612165,0.3454264144958908,0.09907976341588212
MEyellow,0.04777427236214728,0.6674936222498166,0.08442095138358668,0.28414576384199064,0.025601130144889597
MEblue,0.5967808360971248,0.742681779813009,0.5232899489935406,0.6677932175391044,0.4225266352822002
MEpink,0.17633359761959136,0.19015832734544477,0.6658626908120215,0.7111739293136388,0.6932731531458676
MEgrey,0.8991631550883052,0.18023860579781362,0.5521294201769534,0.732460026330143,0.49275350894356
