pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,3.0335491151568305e-6,0.003006247173120419,4.203463203463204,13,33,GO:BP,6.6923076923076925,brown,External Encapsulating Structure Organization,ANXA2/CAV2/DAG1/FBLN1/FBLN5/FSCN1/GSN/HSD17B12/ITGB1/LCP1/LUM/MFAP4/MYH11,13,0.003006247173120419,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
GOBP_CYTOSOLIC_TRANSPORT,1.889607263118074e-5,0.00686832950428752,4.191915227629513,11,28,GO:BP,6.59545923632611,brown,Cytosolic Transport,ACTR2/AP2A1/CLTC/RAB7A/RNF126/SNX2/TMED9/VAMP3/VPS13C/VPS35/YKT6,11,0.00686832950428752,GOBP_CYTOSOLIC_TRANSPORT
GOBP_CELL_SUBSTRATE_ADHESION,2.0792117571001576e-5,0.00686832950428752,3.104095904095904,16,55,GO:BP,4.253320976212542,brown,Cell Substrate Adhesion,ANXA2/DAG1/FBLN1/FBLN2/FBLN5/HSD17B12/ILK/ITGB1/P4HB/RAB1A/RSU1/S100A10/THY1/TLN1/VAMP3/ZYX,16,0.00686832950428752,GOBP_CELL_SUBSTRATE_ADHESION
GOBP_WOUND_HEALING,3.2443227282322995e-5,0.00697354955650008,2.7835642618251315,18,69,GO:BP,3.677905308464849,brown,Wound Healing,AHNAK/ANXA1/ANXA2/ANXA5/CD9/CLIC1/CSRP1/DAG1/F13A1/FBLN1/ILK/ITGB1/LCP1/MYH9/PDIA3/S100A10/TLN1/TMX1,18,0.00697354955650008,GOBP_WOUND_HEALING
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.518440744954632e-5,0.00697354955650008,3.4678571428571425,13,40,Hallmark,4.937321937321937,brown,Epithelial Mesenchymal Transition,CALD1/DCN/FBLN1/FBLN2/FBLN5/ITGB1/LUM/NNMT/PPIB/TAGLN/THY1/TPM4/VIM,13,0.00697354955650008,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
GOBP_REGULATION_OF_BODY_FLUID_LEVELS,5.476141737537075e-5,0.009044760769832069,3.0199046236782086,15,53,GO:BP,4.070280491648282,brown,Regulation Of Body Fluid Levels,ANXA2/ANXA5/CD9/CLIC1/CSRP1/F13A1/FBLN1/GNAI2/ILK/MYH9/PDIA3/TLN1/TMX1/VAMP2/VAMP3,15,0.009044760769832069,GOBP_REGULATION_OF_BODY_FLUID_LEVELS
GOBP_ACTIN_FILAMENT_ORGANIZATION,8.476121225398656e-5,0.011999765906242955,2.4529493495010737,20,87,GO:BP,3.1195872489404826,brown,Actin Filament Organization,ACTR2/ACTR3/ARPC4/CALD1/CAP1/DSTN/FSCN1/GSN/HSP90B1/IQGAP1/ITGB1/LCP1/MARCKS/PLS3/RNH1/S100A10/SPTAN1/TAGLN2/TPM4/ZYX,20,0.011999765906242955,GOBP_ACTIN_FILAMENT_ORGANIZATION
HALLMARK_APICAL_JUNCTION,1.5184221606820886e-4,0.018809454515449374,3.452165481577246,11,34,Hallmark,4.85812356979405,brown,Apical Junction,CAP1/EPB41L2/FSCN1/GNAI2/ITGB1/MSN/MYH9/MYL12B/RSU1/THY1/ZYX,11,0.018809454515449374,HALLMARK_APICAL_JUNCTION
HALLMARK_COAGULATION,2.489579537190518e-4,0.024671733213558034,3.841318681318681,9,25,Hallmark,5.670520231213873,brown,Coagulation,ANXA1/CAPN2/CD9/CRIP2/CSRP1/CTSB/GNG12/GSN/S100A13,9,0.024671733213558034,HALLMARK_COAGULATION
GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,3.0060563880211213e-4,0.02708183527753574,2.4512919512919513,17,74,GO:BP,3.078256246677299,brown,Protein Localization To Cell Periphery,AP2M1/ATP2B4/CD81/CLTC/DAG1/EHD1/EPB41L2/GORASP2/HSP90B1/ILK/ITGB1/LGALS3/RAB7A/S100A10/VAMP2/VAMP3/VPS35,17,0.02708183527753574,GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY
