module,sample_id,subject,group,timepoint,group_time,eigengene
turquoise,S03_T1,HR_S03,HR,T1,HR_T1,0.3373035513041289
blue,S03_T1,HR_S03,HR,T1,HR_T1,-0.3693372425053463
brown,S03_T1,HR_S03,HR,T1,HR_T1,-0.03920325557214931
yellow,S03_T1,HR_S03,HR,T1,HR_T1,0.05666099002437546
green,S03_T1,HR_S03,HR,T1,HR_T1,0.1019491144233465
turquoise,S10_T1,HR_S10,HR,T1,HR_T1,-0.06213338823822834
blue,S10_T1,HR_S10,HR,T1,HR_T1,0.0134880861176091
brown,S10_T1,HR_S10,HR,T1,HR_T1,-0.08497936790153215
yellow,S10_T1,HR_S10,HR,T1,HR_T1,-0.0930674624418707
green,S10_T1,HR_S10,HR,T1,HR_T1,0.11988004849936496
turquoise,S16_T1,HR_S16,HR,T1,HR_T1,-0.022640792174356827
blue,S16_T1,HR_S16,HR,T1,HR_T1,0.08901245378077
brown,S16_T1,HR_S16,HR,T1,HR_T1,0.041910953291204533
yellow,S16_T1,HR_S16,HR,T1,HR_T1,-0.04914516628948151
green,S16_T1,HR_S16,HR,T1,HR_T1,-0.11458780357005283
turquoise,S22_T1,HR_S22,HR,T1,HR_T1,0.3457653059276108
blue,S22_T1,HR_S22,HR,T1,HR_T1,-0.4209438801539308
brown,S22_T1,HR_S22,HR,T1,HR_T1,-0.08547437027896487
yellow,S22_T1,HR_S22,HR,T1,HR_T1,0.39285677372200273
green,S22_T1,HR_S22,HR,T1,HR_T1,-0.28250630521839704
turquoise,S24_T1,HR_S24,HR,T1,HR_T1,-0.03558476825801744
blue,S24_T1,HR_S24,HR,T1,HR_T1,0.16223630993902471
brown,S24_T1,HR_S24,HR,T1,HR_T1,0.04948765195870818
yellow,S24_T1,HR_S24,HR,T1,HR_T1,-0.018601466649858935
green,S24_T1,HR_S24,HR,T1,HR_T1,-0.16507590192054147
turquoise,S27_T1,HR_S27,HR,T1,HR_T1,-0.027342863598226335
blue,S27_T1,HR_S27,HR,T1,HR_T1,0.0911519015770566
brown,S27_T1,HR_S27,HR,T1,HR_T1,0.03901941729014395
yellow,S27_T1,HR_S27,HR,T1,HR_T1,0.25303842456572534
green,S27_T1,HR_S27,HR,T1,HR_T1,-0.2768721353050337
turquoise,S28_T1,HR_S28,HR,T1,HR_T1,-0.1269241074272679
blue,S28_T1,HR_S28,HR,T1,HR_T1,0.04269504346428502
brown,S28_T1,HR_S28,HR,T1,HR_T1,-0.0938724081041366
yellow,S28_T1,HR_S28,HR,T1,HR_T1,-0.05330393361973417
green,S28_T1,HR_S28,HR,T1,HR_T1,0.06497640328651447
turquoise,S04_T1,LR_S04,LR,T1,LR_T1,-0.07408991607753147
blue,S04_T1,LR_S04,LR,T1,LR_T1,0.04242841216450098
brown,S04_T1,LR_S04,LR,T1,LR_T1,-0.17111763083050346
yellow,S04_T1,LR_S04,LR,T1,LR_T1,-0.0611049309124908
green,S04_T1,LR_S04,LR,T1,LR_T1,0.05275453437550688
turquoise,S05_T1,LR_S05,LR,T1,LR_T1,-0.11386524113080523
blue,S05_T1,LR_S05,LR,T1,LR_T1,0.0803807979747051
brown,S05_T1,LR_S05,LR,T1,LR_T1,-0.04841685334490235
yellow,S05_T1,LR_S05,LR,T1,LR_T1,-0.04529252844575675
green,S05_T1,LR_S05,LR,T1,LR_T1,0.06328403972633263
turquoise,S06_T1,LR_S06,LR,T1,LR_T1,-0.048429801346544184
blue,S06_T1,LR_S06,LR,T1,LR_T1,0.09421619452505492
brown,S06_T1,LR_S06,LR,T1,LR_T1,-0.02476087115935766
yellow,S06_T1,LR_S06,LR,T1,LR_T1,-0.12648981050030592
green,S06_T1,LR_S06,LR,T1,LR_T1,0.15981688741606076
turquoise,S12_T1,LR_S12,LR,T1,LR_T1,0.0968997934315726
blue,S12_T1,LR_S12,LR,T1,LR_T1,-0.019743882131937295
brown,S12_T1,LR_S12,LR,T1,LR_T1,0.03264662775407098
yellow,S12_T1,LR_S12,LR,T1,LR_T1,-0.17894906547847006
green,S12_T1,LR_S12,LR,T1,LR_T1,0.15666839436755892
turquoise,S14_T1,LR_S14,LR,T1,LR_T1,-0.1352152021970962
blue,S14_T1,LR_S14,LR,T1,LR_T1,0.11950185116940668
brown,S14_T1,LR_S14,LR,T1,LR_T1,0.15533847445077612
yellow,S14_T1,LR_S14,LR,T1,LR_T1,0.35557466466759857
green,S14_T1,LR_S14,LR,T1,LR_T1,-0.17283016843511884
turquoise,S17_T1,LR_S17,LR,T1,LR_T1,0.2151969806294885
blue,S17_T1,LR_S17,LR,T1,LR_T1,-0.3765724164665079
brown,S17_T1,LR_S17,LR,T1,LR_T1,0.1732174749935331
yellow,S17_T1,LR_S17,LR,T1,LR_T1,0.1934453701658535
