module,uniprot_id,gene,group,z
turquoise,A8MXV4,NUDT19,HR_T1,0.20763921925858134
turquoise,O00186,STXBP3,HR_T1,0.2688836533189481
turquoise,O00264,PGRMC1,HR_T1,-0.4251116731653482
turquoise,O00423,EML1,HR_T1,0.39989916545005955
turquoise,O00764,PDXK,HR_T1,0.07230759143336948
turquoise,O14556,GAPDHS,HR_T1,-0.5656136301711566
turquoise,O14737,PDCD5,HR_T1,-0.8107604220166799
turquoise,O14744,PRMT5,HR_T1,-0.36514148772978466
turquoise,O14818,PSMA7,HR_T1,0.048438294470302554
turquoise,O15382,BCAT2,HR_T1,-0.37347614391543515
turquoise,O43399,TPD52L2,HR_T1,-0.9010445867218638
turquoise,O43488,AKR7A2,HR_T1,-0.5423429574577022
turquoise,O43617,TRAPPC3,HR_T1,-0.038002914270844124
turquoise,O43776,NARS1,HR_T1,-0.11529460328098165
turquoise,O43852,CALU,HR_T1,0.37176374461141576
turquoise,O60662,KLHL41,HR_T1,-0.04243902027984862
turquoise,O60664,PLIN3,HR_T1,-0.14831157659047728
turquoise,O60763,USO1,HR_T1,-0.6101525111832562
turquoise,O60825,PFKFB2,HR_T1,-0.24114684391625568
turquoise,O75083,WDR1,HR_T1,-0.1157356916362966
turquoise,O75131,CPNE3,HR_T1,-0.5559328186563068
turquoise,O75155,CAND2,HR_T1,-0.28760017989340275
turquoise,O75298,RTN2,HR_T1,-0.5995447989417583
turquoise,O75348,ATP6V1G1,HR_T1,-0.10484675837932957
turquoise,O75351,VPS4B,HR_T1,-0.8114766142731923
turquoise,O75396,SEC22B,HR_T1,0.2406980083274086
turquoise,O75436,VPS26A,HR_T1,-0.6904836878875249
turquoise,O75964,ATP5MG,HR_T1,-0.4998967211650607
turquoise,O94760,DDAH1,HR_T1,-0.07311640716180741
turquoise,O94919,ENDOD1,HR_T1,0.21551325362333087
turquoise,O95140,MFN2,HR_T1,-0.5581801314319345
turquoise,O95373,IPO7,HR_T1,-0.2760366264768897
turquoise,O95571,ETHE1,HR_T1,-0.1858695533925176
turquoise,O95747,OXSR1,HR_T1,-0.21410495213789685
turquoise,O95881,TXNDC12,HR_T1,0.01458963269623689
turquoise,P00352,ALDH1A1,HR_T1,-0.23187414614318755
turquoise,P00387,CYB5R3,HR_T1,-0.14393330393428835
turquoise,P00441,SOD1,HR_T1,0.2383162911880335
turquoise,P00846,MT-ATP6,HR_T1,-0.42411153597385504
turquoise,P02792,FTL,HR_T1,-0.04245657375055508
turquoise,P02794,FTH1,HR_T1,0.32159599360348523
turquoise,P03897,MT-ND3,HR_T1,-0.36597386266642085
turquoise,P04075,ALDOA,HR_T1,-0.15081979739166254
turquoise,P04792,HSPB1,HR_T1,0.021580394728680532
turquoise,P05023,ATP1A1,HR_T1,-0.6437496698780134
turquoise,P05787,KRT8,HR_T1,-0.09095505034400342
turquoise,P07099,EPHX1,HR_T1,-0.12578303416027506
turquoise,P07108,DBI,HR_T1,0.052218941965667356
turquoise,P07203,GPX1,HR_T1,-0.38771835781070957
