module,trait,cor,pval,stars,label,trait_label
MEturquoise,X1RM_Leg,-0.320080190652749,0.6325382011234778,,-0.32,1RM Leg
MEgreen,X1RM_Leg,0.12170984510237688,0.7322367273849699,,0.12,1RM Leg
MEbrown,X1RM_Leg,0.2801393152233999,0.6325382011234778,,0.28,1RM Leg
MEred,X1RM_Leg,0.2528869500313004,0.6325382011234778,,0.25,1RM Leg
MEmagenta,X1RM_Leg,-0.1945264458264887,0.6325382011234778,,-0.19,1RM Leg
MEpurple,X1RM_Leg,0.6598162879474346,0.08183158625581043,,0.66,1RM Leg
MEyellow,X1RM_Leg,-0.3225082399110863,0.6325382011234778,,-0.32,1RM Leg
MEblack,X1RM_Leg,-0.07111545356997567,0.8011552215410513,,-0.07,1RM Leg
MEpink,X1RM_Leg,0.18143966044240678,0.6325382011234778,,0.18,1RM Leg
MEblue,X1RM_Leg,0.36508418289839384,0.6325382011234778,,0.37,1RM Leg
MEgreenyellow,X1RM_Leg,-0.19568496574493838,0.6325382011234778,,-0.20,1RM Leg
MEturquoise,mCSA,-0.39931189571148973,0.9100499470595633,,-0.40,mCSA
MEgreen,mCSA,-0.1882604751451038,0.9100499470595633,,-0.19,mCSA
MEbrown,mCSA,0.22258610615019708,0.9100499470595633,,0.22,mCSA
MEred,mCSA,0.03158468720329508,0.9447641293560612,,0.03,mCSA
MEmagenta,mCSA,0.14520055546085764,0.9100499470595633,,0.15,mCSA
MEpurple,mCSA,0.321268271842913,0.9100499470595633,,0.32,mCSA
MEyellow,mCSA,0.09191315982420604,0.9100499470595633,,0.09,mCSA
MEblack,mCSA,-0.16768044522822717,0.9100499470595633,,-0.17,mCSA
MEpink,mCSA,-0.019586575241019786,0.9447641293560612,,-0.02,mCSA
MEblue,mCSA,0.2892469857372216,0.9100499470595633,,0.29,mCSA
MEgreenyellow,mCSA,-0.09250596988576426,0.9100499470595633,,-0.09,mCSA
MEturquoise,fCSA_Mixed,0.08195138486048748,0.9694598657746666,,0.08,fCSA Mixed
MEgreen,fCSA_Mixed,-0.17284277778304954,0.9694598657746666,,-0.17,fCSA Mixed
MEbrown,fCSA_Mixed,-0.07330288607079652,0.9694598657746666,,-0.07,fCSA Mixed
MEred,fCSA_Mixed,0.2596488550990703,0.9694598657746666,,0.26,fCSA Mixed
MEmagenta,fCSA_Mixed,-0.0687128428221919,0.9694598657746666,,-0.07,fCSA Mixed
MEpurple,fCSA_Mixed,0.23992785167361602,0.9694598657746666,,0.24,fCSA Mixed
MEyellow,fCSA_Mixed,0.027475035860258155,0.9694598657746666,,0.03,fCSA Mixed
MEblack,fCSA_Mixed,-0.01082420785515855,0.9694598657746666,,-0.01,fCSA Mixed
MEpink,fCSA_Mixed,0.18330445565856196,0.9694598657746666,,0.18,fCSA Mixed
MEblue,fCSA_Mixed,-0.028341724949227275,0.9694598657746666,,-0.03,fCSA Mixed
MEgreenyellow,fCSA_Mixed,-0.3236620143645574,0.9694598657746666,,-0.32,fCSA Mixed
MEturquoise,fCSA_TI,0.2543623814180968,0.9448591251604791,,0.25,fCSA Type I
MEgreen,fCSA_TI,-0.05232198188431674,0.9805079785172564,,-0.05,fCSA Type I
MEbrown,fCSA_TI,-0.204331117308451,0.9448591251604791,,-0.20,fCSA Type I
MEred,fCSA_TI,0.22882935574634727,0.9448591251604791,,0.23,fCSA Type I
MEmagenta,fCSA_TI,0.13720124623995703,0.9448591251604791,,0.14,fCSA Type I
MEpurple,fCSA_TI,0.25507007504150225,0.9448591251604791,,0.26,fCSA Type I
MEyellow,fCSA_TI,-0.031060988869493655,0.9805079785172564,,-0.03,fCSA Type I
MEblack,fCSA_TI,-0.12326742702976354,0.9448591251604791,,-0.12,fCSA Type I
MEpink,fCSA_TI,-0.006907593493097146,0.9805079785172564,,-0.01,fCSA Type I
MEblue,fCSA_TI,-0.11348446868907544,0.9448591251604791,,-0.11,fCSA Type I
MEgreenyellow,fCSA_TI,-0.291178016554013,0.9448591251604791,,-0.29,fCSA Type I
MEturquoise,fCSA_TII,0.10723752530164764,0.8190003178248229,,0.11,fCSA Type II
MEgreen,fCSA_TII,-0.2603343406150142,0.8190003178248229,,-0.26,fCSA Type II
MEbrown,fCSA_TII,-0.10468119904198897,0.8190003178248229,,-0.10,fCSA Type II
MEred,fCSA_TII,0.1687082458362982,0.8190003178248229,,0.17,fCSA Type II
MEmagenta,fCSA_TII,-0.19426536375677675,0.8190003178248229,,-0.19,fCSA Type II
MEpurple,fCSA_TII,0.15315770413091093,0.8190003178248229,,0.15,fCSA Type II
MEyellow,fCSA_TII,0.06462929088745564,0.8190003178248229,,0.06,fCSA Type II
MEblack,fCSA_TII,0.07732195037227474,0.8190003178248229,,0.08,fCSA Type II
MEpink,fCSA_TII,0.3484465481583921,0.8190003178248229,,0.35,fCSA Type II
MEblue,fCSA_TII,-0.06466802076734375,0.8190003178248229,,-0.06,fCSA Type II
MEgreenyellow,fCSA_TII,-0.24564542760957678,0.8190003178248229,,-0.25,fCSA Type II
MEturquoise,delta_X1RM,0.4235212935023548,0.7221258720146697,,0.42,Δ1RM
MEgreen,delta_X1RM,-0.030114326723050814,0.9191569025843105,,-0.03,Δ1RM
MEbrown,delta_X1RM,-0.267675441295281,0.8384097119928038,,-0.27,Δ1RM
MEred,delta_X1RM,0.029908659176690194,0.9191569025843105,,0.03,Δ1RM
MEmagenta,delta_X1RM,-0.054492373688660715,0.9191569025843105,,-0.05,Δ1RM
MEpurple,delta_X1RM,-0.2538896187492115,0.8384097119928038,,-0.25,Δ1RM
MEyellow,delta_X1RM,0.5004942835441534,0.7221258720146697,,0.50,Δ1RM
MEblack,delta_X1RM,0.09457080738643914,0.9191569025843105,,0.09,Δ1RM
MEpink,delta_X1RM,0.1576016709322561,0.9191569025843105,,0.16,Δ1RM
MEblue,delta_X1RM,-0.3441947736028295,0.8366825410380477,,-0.34,Δ1RM
MEgreenyellow,delta_X1RM,0.14856912203294403,0.9191569025843105,,0.15,Δ1RM
MEturquoise,delta_mCSA,0.027029288059505444,0.9797195081952701,,0.03,ΔmCSA
MEgreen,delta_mCSA,0.0074924843745111476,0.9797195081952701,,0.01,ΔmCSA
MEbrown,delta_mCSA,-0.06316886563772972,0.9797195081952701,,-0.06,ΔmCSA
MEred,delta_mCSA,0.10161596119029832,0.9797195081952701,,0.10,ΔmCSA
MEmagenta,delta_mCSA,-0.10253056577281505,0.9797195081952701,,-0.10,ΔmCSA
MEpurple,delta_mCSA,0.5143553174316617,0.6585418137563109,,0.51,ΔmCSA
MEyellow,delta_mCSA,-0.3251348008163142,0.8654089635125108,,-0.33,ΔmCSA
MEblack,delta_mCSA,-0.23732219913923736,0.9106933162715206,,-0.24,ΔmCSA
MEpink,delta_mCSA,-0.2899104762663817,0.8654089635125108,,-0.29,ΔmCSA
MEblue,delta_mCSA,-0.0975731326581031,0.9797195081952701,,-0.10,ΔmCSA
MEgreenyellow,delta_mCSA,0.3025875333671417,0.8654089635125108,,0.30,ΔmCSA
MEturquoise,delta_fCSA_Mix,-0.09074628113253082,0.9708465472818097,,-0.09,ΔfCSA Mix
MEgreen,delta_fCSA_Mix,-0.023030140250581886,0.9708465472818097,,-0.02,ΔfCSA Mix
MEbrown,delta_fCSA_Mix,-0.12036317631447889,0.9708465472818097,,-0.12,ΔfCSA Mix
MEred,delta_fCSA_Mix,0.24098341724179906,0.9708465472818097,,0.24,ΔfCSA Mix
MEmagenta,delta_fCSA_Mix,0.36014587226694555,0.9708465472818097,,0.36,ΔfCSA Mix
MEpurple,delta_fCSA_Mix,0.02868649880355213,0.9708465472818097,,0.03,ΔfCSA Mix
MEyellow,delta_fCSA_Mix,0.1340334004762222,0.9708465472818097,,0.13,ΔfCSA Mix
MEblack,delta_fCSA_Mix,0.01077161214893505,0.9708465472818097,,0.01,ΔfCSA Mix
MEpink,delta_fCSA_Mix,-0.033957095432493145,0.9708465472818097,,-0.03,ΔfCSA Mix
MEblue,delta_fCSA_Mix,-0.07494169768825143,0.9708465472818097,,-0.07,ΔfCSA Mix
MEgreenyellow,delta_fCSA_Mix,0.11991889039479589,0.9708465472818097,,0.12,ΔfCSA Mix
MEturquoise,delta_fCSA_TI,-0.040796700017172574,0.9982687917820039,,-0.04,ΔfCSA TI
MEgreen,delta_fCSA_TI,-0.01212698304827791,0.9982687917820039,,-0.01,ΔfCSA TI
MEbrown,delta_fCSA_TI,-0.10298160070504278,0.9982687917820039,,-0.10,ΔfCSA TI
MEred,delta_fCSA_TI,0.258659959721853,0.9982687917820039,,0.26,ΔfCSA TI
MEmagenta,delta_fCSA_TI,0.3283796985867308,0.9982687917820039,,0.33,ΔfCSA TI
MEpurple,delta_fCSA_TI,6.395232408471153e-4,0.9982687917820039,,0.00,ΔfCSA TI
MEyellow,delta_fCSA_TI,0.10288815443343041,0.9982687917820039,,0.10,ΔfCSA TI
MEblack,delta_fCSA_TI,-0.01865956436514422,0.9982687917820039,,-0.02,ΔfCSA TI
MEpink,delta_fCSA_TI,-0.04191999216866797,0.9982687917820039,,-0.04,ΔfCSA TI
MEblue,delta_fCSA_TI,-0.09971561998028568,0.9982687917820039,,-0.10,ΔfCSA TI
MEgreenyellow,delta_fCSA_TI,0.15832170909851245,0.9982687917820039,,0.16,ΔfCSA TI
MEturquoise,delta_fCSA_TII,-0.06490732363758689,0.969369488099841,,-0.06,ΔfCSA TII
MEgreen,delta_fCSA_TII,-0.01654002626896846,0.969369488099841,,-0.02,ΔfCSA TII
MEbrown,delta_fCSA_TII,-0.14904623591777377,0.969369488099841,,-0.15,ΔfCSA TII
MEred,delta_fCSA_TII,0.2809471711559747,0.969369488099841,,0.28,ΔfCSA TII
MEmagenta,delta_fCSA_TII,0.3959265705812713,0.969369488099841,,0.40,ΔfCSA TII
