pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,set,pathway_label,neg_log10_padj,significant
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,7.194406457202703e-8,7.100879173259068e-5,2.5527950310559007,27,42,,GO:BP,5.605263157894737,Concordant Up,RNA Splicing Via Transesterification React...,4.148687877132032,TRUE
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,2.1208986040342987e-7,1.0466634610909264e-4,2.7300724637681157,22,32,,GO:BP,6.800433839479393,Concordant Up,Regulation Of Chromosome Organization,3.98019293674134,TRUE
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,3.276696529655662e-7,1.0780331582567128e-4,3.3091787439613523,15,18,,GO:BP,15.2991452991453,Concordant Up,Telomere Maintenance Via Telomere Lengthening,3.967367880868712,TRUE
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS,2.4873324207971852e-6,4.08232990187586e-4,2.382608695652174,24,40,,GO:BP,4.637254901960785,Concordant Up,Regulation Of Mrna Metabolic Process,3.389091901928881,TRUE
HALLMARK_MYC_TARGETS_V1,3.0092036202811895e-06,4.08232990187586e-4,1.739369984429273,53,121,,Hallmark,2.4778043775649796,Concordant Up,MYC Targets V1,3.389091901928881,TRUE
GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,0.001624706733510816,0.3667204689124546,1.6022604422604423,34,100,,GO:BP,1.9956942074904542,Discordant LR Up,Nucleotide Biosynthetic Process,0.43566484873142,FALSE
GOBP_CELLULAR_RESPIRATION,0.0021802192999027135,0.3667204689124546,1.4810810810810813,44,140,,GO:BP,1.7866161616161615,Discordant LR Up,Cellular Respiration,0.43566484873142,FALSE
HALLMARK_HEME_METABOLISM,0.0023136783312337076,0.3667204689124546,1.8480512598159657,20,51,,Hallmark,2.4672834875385514,Discordant LR Up,Heme Metabolism,0.43566484873142,FALSE
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,0.0030136818100222596,0.3667204689124546,1.7572148419606048,22,59,,GO:BP,2.2764478764478766,Discordant LR Up,Proton Motive Force Driven ATP Synthesis,0.43566484873142,FALSE
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,0.0038911388711274264,0.3667204689124546,1.4726658476658476,40,128,,GO:BP,1.7624473619024028,Discordant LR Up,Small Molecule Catabolic Process,0.43566484873142,FALSE
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,3.750157456028237e-9,2.2952378449085357e-6,1.5871602291802944,105,223,,GO:BP,2.3607356808883693,Concordant Down,Generation Of Precursor Metabolites And En...,5.639172303861289,TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION,6.499583176034496e-9,2.2952378449085357e-6,1.7184603191012786,78,153,,Hallmark,2.6984928716904277,Concordant Down,OXPHOS,5.639172303861289,TRUE
GOBP_CELLULAR_RESPIRATION,3.1055362217334333e-7,7.662910627127246e-5,1.661335676625659,69,140,,GO:BP,2.484,Concordant Down,Cellular Respiration,4.115606239609934,TRUE
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,1.552796452655618e-5,0.002554350164618492,2.0081516658564857,28,47,,GO:BP,3.622920517560074,Concordant Down,Mitochondrial Respiratory Chain Complex As...,2.5927195674729653,TRUE
HALLMARK_FATTY_ACID_METABOLISM,3.2690506270605286e-5,0.004609361384155346,1.6854130052724077,44,88,,Hallmark,2.4857142857142858,Concordant Down,Fatty Acid Metabolism,2.3363592408900486,TRUE
GOBP_RESPONSE_TO_PEPTIDE_HORMONE,0.0010497496750107754,0.39511561713537363,1.6508243901126982,32,81,,GO:BP,2.156478516465134,Discordant HR Up,Response To Peptide Hormone,0.40327580428039983,FALSE
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,0.0011867577849517853,0.39511561713537363,1.7908496732026145,24,56,,GO:BP,2.4603448275862068,Discordant HR Up,Regulation Of Intracellular Transport,0.40327580428039983,FALSE
GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,0.002929870046659071,0.39511561713537363,2.5071895424836597,9,15,,GO:BP,4.843333333333334,Discordant HR Up,Positive Regulation Of Lipid Biosynthetic ...,0.40327580428039983,FALSE
GOBP_ORGANELLE_MEMBRANE_FUSION,0.002979014688671286,0.39511561713537363,2.180164819551009,12,23,,GO:BP,3.533862111043319,Discordant HR Up,Organelle Membrane Fusion,0.40327580428039983,FALSE
GOBP_REGULATION_OF_BLOOD_CIRCULATION,0.003095700656555059,0.39511561713537363,1.7345336457434126,22,53,,GO:BP,2.319037425260205,Discordant HR Up,Regulation Of Blood Circulation,0.40327580428039983,FALSE
