pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,1.9457075349607902e-17,-2.71256435276934,217,PPP1R3A;PHKG1;PHKB;PHKA1;EPM2A;ALDH1L1;HMGCL;PGAM2;SUCLG1;SUCLA2;COA6;PNPT1;AGL;ETFDH;SHMT2;PFKFB1;ATP5PO;IDH3G;SUCLG2;PYGM;MDH2;PPP1R1A;CHCHD10;PHKA2;DLAT;IDH3A;PKM;IDH1;PDHA1;IDH3B;ATP5ME;PPIF;ALDOC;ACADM;H6PD;NDUFS4;OGDH;IDH2;CS;ALDOA;PDHB;GAPDHS;ATP5F1E;DLST;HCCS;NDUFB9;COX6B1;TPI1;NDUFA11;SDHA;ENO2;ATP5F1A;ACAT1;PFKM;ATP5MG;ATP5PF;MT-ND3;PFKL;TRAP1;NDUFC2;DLD;NNT;NDUFB10;MT-ATP8;COX17;NDUFB4;LDHA;NDUFS8;ATP5PB;MFN2;ENO3;COX5B;NDUFA12;PGM1;FH;PGAM1;NDUFA6;NDUFS5;NDUFAB1;ADIPOQ;SDHB;NDUFA8;MT-ND5;NDUFV1;PRKAA2;PYGB;GYG1;GAPDH;UQCRQ;NDUFA7;COQ9;GPD1;GNPDA1;IDE;NDUFS6;ADHFE1;MT-ND1;UQCRH;NDUFB6;SLC25A4;FXN;COX7A1;NDUFB7;MT-ATP6;ATP5F1D;NDUFS7;MDH1;ETFA;PGK1;SLC25A13;SIRT3;COQ10B;NDUFS1;GYS1;SURF1;ACO1;PPP1R2;ATP5PD;UQCRC1;ETFB;NDUFB3;NDUFB8,GO:BP,2.8198659926967975e-20,-0.5344869079122454,1.1601795718302144,Acute_HR
GOBP_CELLULAR_RESPIRATION,6.173889254474508e-13,-2.6471508652602656,139,SUCLG1;SUCLA2;COA6;PNPT1;ETFDH;SHMT2;ATP5PO;IDH3G;SUCLG2;MDH2;CHCHD10;DLAT;IDH3A;IDH1;PDHA1;IDH3B;ATP5ME;PPIF;NDUFS4;OGDH;IDH2;CS;PDHB;ATP5F1E;DLST;HCCS;NDUFB9;COX6B1;NDUFA11;SDHA;ATP5F1A;ATP5MG;ATP5PF;MT-ND3;TRAP1;NDUFC2;DLD;NNT;NDUFB10;MT-ATP8;NDUFB4;NDUFS8;ATP5PB;MFN2;COX5B;NDUFA12;FH;NDUFA6;NDUFS5;NDUFAB1;SDHB;NDUFA8;MT-ND5;NDUFV1;UQCRQ;NDUFA7;COQ9;IDE;NDUFS6;MT-ND1;UQCRH;NDUFB6;FXN;COX7A1;NDUFB7;MT-ATP6;ATP5F1D;NDUFS7;MDH1;ETFA;SLC25A13;SIRT3;COQ10B;NDUFS1;SURF1;ACO1;ATP5PD;UQCRC1;ETFB;NDUFB3;NDUFB8;UQCRFS1;UQCRC2;ACTN3;NDUFB1;COQ10A;COX5A;MT-CO2;NDUFB5;NDUFV2;ADSL;UQCRB;SDHD;NDUFS3;NIPSNAP2,GO:BP,1.789533117238988e-15,-0.5554119527401514,1.0073179568744748,Acute_HR
GOBP_MITOCHONDRION_ORGANIZATION,1.360620577617655e-8,-2.3692292945946116,136,ATPAF2;EPM2A;HMGCL;COA6;COX19;PNPT1;PPP2CB;SIRT5;SLC25A6;AIFM1;SMIM20;CHCHD10;APOO;TFAM;PPIF;TACO1;NDUFS4;TIMM13;AFG3L2;TIMM50;MTX1;GGCT;APOOL;NOL3;SAMM50;TMEM11;TIMM10;MICOS13;NDUFAF4;LETM1;HSPD1;NDUFAF3;COX20;HIGD1A;ENDOG;IMMT;NUBPL;NDUFC2;COX17;NDUFS8;MFN2;VPS13C;CHCHD3;HSD17B10;ATAD3A;NDUFA6;NDUFS5;MT-ND5;SLIRP;HTRA2;NDUFS6;MT-ND1;SLC25A4;LONP1;FXN;COX7A1;RALA;ATP5F1D;NDUFS7;COA3;ACAA2;ATPAF1;NDUFS1;ACAD9;SURF1;ATP2A1;MTM1;NDUFB3;UQCRFS1,GO:BP,5.915741641815892e-11,-0.49966630107248167,0.8390889356212738,Acute_HR
GOBP_CYTOPLASMIC_TRANSLATION,1.6257805116626438e-8,2.508723349623984,98,SYNCRIP;RPL15;RPL7;RPLP2;HNRNPD;RPS20;RPL7A;RPL6;RPL12;CSDE1;RPLP1;RPL10A;RPL18;RPL11;EIF3E;RPL18A;EIF3M;RPL30;ETF1;RPL27;RPL14;RPLP0;RPL13A;RPS3;EEF2;RPL22;RPS25;EIF4A1;RWDD1;EIF2S3;RPL4;EIF3B;RPS3A;RPL9;RPS5;RPL17;EIF3D;EIF3A;PABPC1;RPS16;RPS7;RPS19;MCTS1;PAIP1;RPL13;EIF4A2;EIF3F,GO:BP,8.246712740317758e-11,0.5502927347188057,0.8390889356212738,Acute_HR
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,3.6285163540649884e-7,-2.3959689094204033,86,ATP5PO;ATP5ME;PPIF;NDUFS4;ATP5F1E;NDUFB9;COX6B1;ATP5F1A;LETM1;ATP5MG;ATP5PF;MT-ND3;NDUFC2;NNT;NDUFB10;MT-ATP8;COX17;NDUFB4;SLC25A12;NDUFS8;ATP5PB;COX5B;NDUFA12;NDUFA6;NDUFS5;NDUFA8;MT-ND5;ATP1A1;NDUFV1;NDUFA7;NDUFS6;MT-ND1;UQCRH;NDUFB6;SLC25A4;COX7A1;NDUFB7;MT-ATP6;ATP5F1D;NDUFS7;SLC25A13;NDUFS1;SURF1;ATP5PD;UQCRC1;NDUFB3;NDUFB8;UQCRFS1;NDUFB1;COX5A;ATP1B1;MT-CO2;NDUFB5;NDUFV2;ATP1A2;ATP6V1G1;NDUFS3,GO:BP,2.5149797996799025e-9,-0.5453606300887558,0.7749390301364363,Acute_HR
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,3.6285163540649884e-7,-2.2776964755401643,119,ALDH1L1;HMGCL;PGAM2;ACSS2;ECI2;ACAD10;GCDH;GOT2;ETFDH;TST;ACAD8;DLAT;PKM;AUH;MCCC2;CPT1B;QDPR;ACADM;GOT1;MPI;DLST;TPI1;ENO2;CRAT;CPT1A;ACAT1;PFKM;HSD17B4;ECI1;GPT;DDAH1;PFKL;CPT2;DECR1;DLD;GCSH;LDHA;ACADSB;CARNS1;ENO3;ACADS;HIBADH;PCCA;ALDH5A1;HSD17B10;PGM1;PGAM1;NQO2;ADIPOQ;GLUL;SHMT1;GNPDA1;SCP2;MPST;ADHFE1;BLMH;GLUD1;HIBCH;ETFA;PGK1;LDHD;ACAA2;HADHB,GO:BP,2.6293596768586873e-9,-0.48937111958372914,0.7749390301364363,Acute_HR
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,6.687360894321333e-7,-2.1293247984884482,185,ALDH1L1;PGAM2;ADSS1;GOT2;BPNT1;PFKFB1;NT5C3A;ATP5PO;NAXE;GMPR;MDH2;PKM;IDH1;ME1;GPD1L;ATP5ME;AK2;ALDOC;NUDT16;H6PD;NDUFS4;OGDH;GOT1;ADSS2;IDH2;ALDOA;GAPDHS;ATP5F1E;NDUFB9;TPI1;NDUFA11;SDHA;ENO2;ATP5F1A;PFKM;ATP5MG;ATP5PF;MT-ND3;PFKL;NDUFC2;NNT;NDUFB10;MT-ATP8;NDUFB4;SLC25A12;KARS1;LDHA;NDUFS8;ATP5PB;ENO3;NDUFA12;PGM1;NT5C2;PGAM1;NDUFA6;NDUFS5;NDUFAB1;SDHB;NDUFA8;MT-ND5;SLC25A11;NDUFV1;PRKAA2;GAPDH;NDUFA7;SHMT1;NT5C1A;GPD1;NDUFS6;MT-ND1;NDUFB6;NDUFB7;MT-ATP6;ATP5F1D;NDUFS7;MDH1;PGK1;SLC25A13;NDUFS1;NAXD;ACO1;ATP5PD;NDUFB3;NDUFB8;ACTN3;AK3;FBP1;NDUFB1;GPD2;ATP1B1;DHTKD1;PGLS;NDUFB5;NDUFV2;ADSL;ATP1A2;GPI;SDHD;NDUFS3;NAMPT;NDUFA2;AMPD1;PRKAG1;COL6A1;ADK;GART;MYH8;NDUFA13;CMPK1;MT-ND2;HSPA1A;NDUFA10;TSPO,GO:BP,5.330505060690918e-9,-0.4289330795103962,0.7614608014455848,Acute_HR
GOBP_RNA_SPLICING,9.19115603395112e-7,2.4276198612270394,57,ILF3;SYNCRIP;HNRNPUL2;NCL;HNRNPR;FUS;HNRNPK;NPM1;SRSF2;HNRNPA3;LGALS3;HNRNPA2B1;HNRNPH1;SFPQ;SRSF3;HNRNPL;SNRPB;RTCB;RBMX;DDX39B;DDX17;AHNAK;HSPA8;DDX1;HNRNPUL1;HNRNPC;HNRNPA1;PRDX6;PABPC1;QKI;LSM2;CIRBP;MBNL1;HNRNPH3,GO:BP,8.65833539430178e-9,0.5908937638264636,0.7477396631498854,Acute_HR
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,1.2048891039665633e-6,-2.4743362681880567,55,HMGCL;ADSS1;GCDH;GOT2;SHMT2;ACAD8;AUH;MMUT;MCCC2;QDPR;GOT1;ADSS2;PCBD1;DLST;ASPA;ACAT1;GPT;DDAH1;ENOPH1;GCSH;APIP;ACADSB;CARNS1;HIBADH;ALDH5A1;HSD17B10;FH;GLUL;SHMT1;THAP4;MPST;ADHFE1;BLMH;GLUD1,GO:BP,1.222351264893615e-8,-0.6111022963807647,0.7477396631498854,Acute_HR
GOBP_TRICARBOXYLIC_ACID_CYCLE,1.5286947676060316e-6,-2.526274523134966,25,SUCLG1;SUCLA2;IDH3G;SUCLG2;MDH2;DLAT;IDH3A;IDH1;PDHA1;IDH3B;OGDH;IDH2;CS;PDHB;DLST;SDHA;NNT;FH;SDHB,GO:BP,1.7614705301531207e-8,-0.7497337291321918,0.7337619883564803,Acute_HR
