gene,logFC,neg_log10_p,pi_score,adj_pval,direction
CP,1.8293,3.7214,0,0.009548,Up
PNP,2.1329,4.1065,0,0.005198,Up
HP,2.0243,3.9026,0,0.007282,Up
CFB,1.7234,5.1832,0,0.00122,Up
A2M,1.9104,4.9495,0,0.001899,Up
C3,2.0875,5.9775,0,3.48e-4,Up
IGHV3-7,2.1199,6.2065,0,2.89e-4,Up
IGKC,1.7035,4.5139,0,0.003351,Up
IGHG1,1.6637,4.6888,0,0.00272,Up
IGHG2,1.7237,4.7524,0,0.00253,Up
IGHM,1.983,3.7675,0,0.009344,Up
IGHA1,1.8464,3.9449,0,0.007039,Up
APOE,1.9145,3.6134,0,0.011921,Up
C1QC,2.7489,5.9494,0,3.48e-4,Up
TTR,1.4738,4.4182,0,0.003387,Up
TF,1.4341,4.3969,0,0.003387,Up
LTF,4.4961,1.4658,0,0.378427,Up
CAT,1.58,4.044,0,0.005796,Up
IGKV3-11,1.8769,4.7846,0,0.00253,Up
S100A8,5.0584,9.6189,0,0,Up
SERPING1,1.7792,4.5305,0,0.003351,Up
CFI,1.7477,5.3738,0,9.83e-4,Up
IGKV4-1,1.9942,3.7499,0,0.009385,Up
S100A9,5.6437,9.4048,0,0,Up
BPGM,1.6357,3.9021,0,0.007282,Up
CFH,2.2521,6.6622,0,1.35e-4,Up
IGLC2,1.687,4.3806,0,0.003387,Up
CLU,1.9498,5.1904,0,0.00122,Up
SPTB,1.7919,4.378,0,0.003387,Up
LCP1,2.312,4.4496,0,0.003387,Up
ANK1,2.0813,4.2504,0,0.00402,Up
STOM,1.768,3.5662,0,0.012948,Up
SNCA,2.9038,4.6265,0,0.00293,Up
DEFA3,2.9331,2.9167,0,0.04418,Up
LYZ,3.4511,2.7102,0,0.062498,Up
HBB,1.694,4.314,0,0.00361,Up
HBG2,2.7463,2.6142,0,0.07065,Up
HBA1,1.8267,4.3536,0,0.003433,Up
ITIH4,2.3133,5.4101,0,9.83e-4,Up
IGKV3-15,1.5803,3.7408,1e-6,0.009385,Up
C1QB,1.9334,3.195,1e-6,0.025808,Up
IGKV3-20,1.7798,3.2276,2e-6,0.024471,Up
IGHG3,1.9778,2.7671,3e-6,0.057083,Up
RBP4,1.717,3.1044,5e-6,0.030469,Up
SERPINF2,1.6154,3.2809,5e-6,0.022656,Up
SEPTIN6,2.2356,2.3391,6e-6,0.115137,Up
ORM1,1.3302,3.8842,7e-6,0.007359,Up
SLC2A1,1.8186,2.7765,9e-6,0.057083,Up
APOD,1.4524,3.3382,1.4e-5,0.020328,Up
EPB41,1.7707,2.6734,1.8e-5,0.065765,Up
C8G,1.4604,3.0443,3.6e-5,0.033596,Up
PNPT1,-1.0688,4.1443,3.7e-5,0.004941,Down
BLVRB,0.9674,4.3929,5.6e-5,0.003387,Up
ARHGAP19,1.483,2.7648,7.9e-5,0.057083,Up
ALAD,1.2061,3.3496,9.1e-5,0.020281,Up
SERPINA1,1.1789,3.3511,1.12e-4,0.020281,Up
ADD1,1.558,2.4098,1.76e-4,0.103419,Up
TCAP,1.1982,3.0602,2.15e-4,0.033049,Up
ALB,1.1018,3.1377,3.49e-4,0.028818,Up
AGT,1.4599,2.3128,4.2e-4,0.120689,Up
APOL1,2.2588,1.4919,4.27e-4,0.374503,Up
TKT,1.4697,2.2066,5.71e-4,0.14406,Up
SEPTIN9,-1.1892,2.6894,6.34e-4,0.064454,Down
LXN,1.6131,1.8326,0.001106,0.257985,Up
MPP1,1.1958,2.4666,0.001123,0.093088,Up
CCS,1.1672,2.4618,0.001339,0.093088,Up
GCLC,1.2073,2.2832,0.001752,0.127491,Up
FLOT1,1.046,2.6232,0.001803,0.07065,Up
HNRNPA2B1,1.0228,2.6374,0.002007,0.070274,Up
MRPL49,-1.1549,2.2392,0.002594,0.137478,Down
NUBP1,-0.9521,2.5305,0.003898,0.08307,Down
UBE2O,-1.0987,2.1902,0.003924,0.144893,Down
CAP1,0.9608,2.4984,0.003977,0.088115,Up
LRG1,1.3175,1.797,0.00429,0.271767,Up
ADIPOQ,0.9757,2.4018,0.004535,0.103853,Up
HNRNPC,1.2402,1.8772,0.004697,0.241917,Up
HLA-B,1.196,1.9364,0.004832,0.222008,Up
HNRNPA1,0.8845,2.6173,0.004842,0.07065,Up
ARHGDIB,1.4331,1.6099,0.004929,0.338251,Up
PPBP,1.4483,1.568,0.00536,0.34929,Up
APOC2,1.2208,1.8474,0.005557,0.251744,Up
APMAP,0.9485,2.3678,0.005677,0.110767,Up
ARPC4,0.8666,2.5383,0.006314,0.082853,Up
DDI2,1.3661,1.5931,0.006662,0.343957,Up
RRAD,1.2025,1.7939,0.006962,0.271767,Up
HNRNPR,0.6403,3.234,0.008499,0.024471,Up
PITPNA,0.9842,2.0656,0.009269,0.175759,Up
TFRC,1.0277,1.9723,0.0094,0.206511,Up
FN1,1.0109,2.0043,0.009416,0.193876,Up
PGD,0.6822,2.7964,0.01237,0.057083,Up
HPRT1,0.8473,2.1871,0.014024,0.144893,Up
CSNK1A1,0.8678,2.1167,0.014561,0.165304,Up
CRIP2,-0.9982,1.7869,0.016457,0.27287,Down
CLIC1,0.8069,2.2025,0.016707,0.14406,Up
