module,auc_insample,auc_loso,drop
MEblack,0.5624999999999999,0.6,-0.03750000000000009
MEblue,0.6458333333333333,0.6458333333333333,0
MEbrown,0.7291666666666667,0.6428571428571428,0.08630952380952395
MEgreen,0.5208333333333334,0.5833333333333333,-0.06249999999999989
MEgreenyellow,0.5625,0.6190476190476191,-0.05654761904761907
MEmagenta,0.5625,0.7916666666666666,-0.22916666666666663
MEpink,0.6458333333333334,0.6190476190476191,0.0267857142857143
MEpurple,0.5416666666666667,1,-0.45833333333333326
MEred,0.5416666666666667,0.5416666666666667,0
MEtan,0.5,0.5,0
MEturquoise,0.6666666666666666,0.6666666666666666,0
MEyellow,0.7291666666666667,0.75,-0.02083333333333326
