"protein_id","group_id","membership_weight"
"A5D6W6","grey",1
"A6NCE7","blue",1
"O00168","grey",1
"O00299","turquoise",1
"O00757","green",1
"O14618","turquoise",1
"O14874","brown",1
"O15143","yellow",1
"O15144","blue",1
"O15273","turquoise",1
"O43390","turquoise",1
"O43852","green",1
"O60220","green",1
"O60256","brown",1
"O60506","blue",1
"O60825","turquoise",1
"O75128","blue",1
"O75368","turquoise",1
"O75439","brown",1
"O75569","blue",1
"O75688","green",1
"O75821","grey",1
"O75935","brown",1
"O75955","turquoise",1
"O95140","yellow",1
"O95167","green",1
"O95197","blue",1
"O95278","green",1
"O95372","grey",1
"O95822","grey",1
"O95861","green",1
"O96008","grey",1
"P00491","turquoise",1
"P00492","turquoise",1
"P00966","brown",1
"P01889","blue",1
"P01903","turquoise",1
"P02786","turquoise",1
"P02792","blue",1
"P02794","blue",1
"P03897","yellow",1
"P04040","turquoise",1
"P04921","turquoise",1
"P05386","brown",1
"P05387","blue",1
"P05455","brown",1
"P06748","blue",1
"P07738","turquoise",1
"P07910","turquoise",1
"P08311","turquoise",1
"P08962","turquoise",1
"P09110","grey",1
"P09651","turquoise",1
"P09936","blue",1
"P09972","yellow",1
"P10155","brown",1
"P10253","blue",1
"P10321","yellow",1
"P11055","brown",1
"P11166","turquoise",1
"P11171","turquoise",1
"P11277","turquoise",1
"P11279","blue",1
"P12110","grey",1
"P12429","turquoise",1
"P12956","turquoise",1
"P13010","blue",1
"P13164","turquoise",1
"P13533","brown",1
"P13535","turquoise",1
"P13645","grey",1
"P13716","turquoise",1
"P13796","turquoise",1
"P14314","blue",1
"P14866","turquoise",1
"P15104","turquoise",1
"P15927","turquoise",1
"P16118","green",1
"P16157","turquoise",1
"P17812","brown",1
"P18031","blue",1
"P18124","blue",1
"P19338","blue",1
"P19971","brown",1
"P21926","turquoise",1
"P21980","turquoise",1
"P22626","turquoise",1
"P23109","green",1
"P23297","blue",1
"P23327","blue",1
"P26196","turquoise",1
"P26640","blue",1
"P27105","turquoise",1
"P28289","turquoise",1
"P29401","turquoise",1
"P29972","turquoise",1
"P30043","turquoise",1
"P30050","blue",1
"P30419","brown",1
"P30520","yellow",1
"P31751","turquoise",1
"P35052","turquoise",1
"P35244","grey",1
"P35611","turquoise",1
"P35914","yellow",1
"P36507","yellow",1
"P36873","grey",1
"P37840","turquoise",1
"P38159","turquoise",1
"P40429","blue",1
"P40616","brown",1
"P42330","blue",1
"P43487","turquoise",1
"P43897","grey",1
"P45880","yellow",1
"P48444","grey",1
"P48506","turquoise",1
"P48729","turquoise",1
"P49137","grey",1
"P49773","grey",1
"P50416","yellow",1
"P50914","blue",1
