"protein_id","group_id","membership_weight"
"A5D6W6",4,0.502188456170535
"A6NCE7",4,0.43113954296834
"O00168",4,0.606868423582435
"O00299",1,0.471431088307467
"O00757",1,0.617058806554598
"O14618",1,0.559685006241021
"O14874",3,0.748556246351017
"O15143",1,0.573270381494258
"O15144",4,0.743890747289439
"O15273",1,0.37729228494685
"O43390",4,0.545971963378184
"O43852",1,0.508944090787835
"O60220",4,0.59402093907229
"O60256",2,0.654659755375075
"O60506",3,0.430589192943191
"O60825",3,0.450737075446531
"O75128",4,0.759923835010334
"O75368",1,0.709408286308503
"O75439",2,0.397042982064495
"O75569",4,0.452402240995015
"O75688",3,0.392629543743506
"O75821",2,0.68945060555499
"O75935",4,0.325559975470414
"O75955",1,0.626937576782521
"O95140",2,0.601150228816963
"O95167",4,0.717140074593417
"O95197",4,0.590960038043928
"O95278",2,0.372420451981871
"O95372",3,0.405622215097477
"O95822",3,0.702912352058134
"O95861",1,0.312892289419204
"O96008",2,0.335757640950886
"P00491",1,0.750234601751795
"P00492",1,0.449030652548741
"P00966",3,0.531031200918912
"P01889",1,0.715937848482509
"P01903",3,0.507939491475383
"P02786",2,0.34726995908356
"P02792",4,0.525462065721703
"P02794",4,0.782168673907956
"P03897",2,0.352482335692595
"P04040",1,0.560420053129817
"P04921",1,0.571920990094062
"P05386",4,0.75984361846564
"P05387",4,0.619750764642818
"P05455",4,0.745669596201088
"P06748",2,0.643631041400413
"P07738",1,0.458044571568396
"P07910",1,0.403639961175043
"P08962",4,0.362390005321724
"P09110",4,0.335325484138342
"P09651",1,0.561374648298661
"P09936",4,0.482777339909722
"P09972",1,0.361437777314115
"P10155",4,0.401450653680906
"P10253",3,0.322337189672058
"P10321",1,0.341633682199667
"P11055",3,0.454559243365497
"P11166",1,0.740734672246
"P11171",1,0.65076480711907
"P11277",1,0.746153756321476
"P11279",3,0.522297434179088
"P12110",3,0.735275258759764
"P12429",1,0.340371353618155
"P12956",1,0.403656531850541
"P13010",3,0.410144363759759
"P13164",3,0.749660828474773
"P13533",3,0.732935714274354
"P13535",1,0.332135474726834
"P13645",2,0.70661300084439
"P13716",1,0.705452324335524
"P13796",1,0.756768341877925
"P14314",4,0.526403423898823
"P14866",3,0.543836368272833
"P15104",1,0.373633160317553
"P15927",3,0.408282949821481
"P16118",1,0.634108352866867
"P16157",1,0.76459992155963
"P17812",3,0.56190936963296
"P18031",4,0.477166421919311
"P18124",4,0.60359679080418
"P19338",4,0.399918645312456
"P19971",3,0.438379462178993
"P21926",2,0.4150781039031
"P21980",3,0.332227914442517
"P22626",1,0.552070778373256
"P23109",1,0.384738683420874
"P23297",3,0.604241775267644
"P23327",4,0.344781282422942
"P26196",2,0.345501136346745
"P26640",4,0.522391017311549
"P27105",1,0.693406809166726
"P28289",1,0.33083993318043
"P29401",1,0.429176023802552
"P29972",1,0.475939077284033
"P30043",1,0.760376701046593
"P30050",4,0.512675910533418
"P30419",2,0.562195930072199
"P30520",1,0.3792123161184
"P31751",3,0.578777199784569
"P35052",4,0.531476383343316
"P35244",1,0.431101438055945
"P35611",1,0.414436662342571
"P35914",1,0.360353123306137
"P36507",4,0.445072463654562
