"wgcna_group","mfuzz_group","n_overlap","jaccard"
"ARI","overall",NA,0.186640758551599
"blue","1",1,0.00662251655629139
"blue","2",3,0.0306122448979592
"blue","3",7,0.0598290598290598
"blue","4",45,0.459183673469388
"brown","1",0,0
"brown","2",7,0.0886075949367089
"brown","3",17,0.184782608695652
"brown","4",16,0.142857142857143
"green","1",18,0.169811320754717
"green","2",5,0.0735294117647059
"green","3",3,0.032258064516129
"green","4",5,0.0454545454545455
"grey","1",10,0.072463768115942
"grey","2",10,0.114942528735632
"grey","3",20,0.2
"grey","4",13,0.103174603174603
"turquoise","1",45,0.368852459016393
"turquoise","2",4,0.0357142857142857
"turquoise","3",17,0.139344262295082
"turquoise","4",4,0.025974025974026
"yellow","1",19,0.174311926605505
"yellow","2",13,0.203125
"yellow","3",1,0.0101010101010101
"yellow","4",1,0.00847457627118644
