"engine","module","trait","model","n","beta_std","r2","p","p_bh"
"mfuzz","c1","comp_hypertrophy","acute",15,-0.48815398544996,0.238294313510679,0.0648722660061149,0.585796459092599
"mfuzz","c1","comp_hypertrophy","baseline",15,-0.073480563804107,0.00539939325696945,0.7946703652492,0.998961668261752
"mfuzz","c1","comp_hypertrophy","tracks",16,-0.102729260858357,0.316874814818951,0.43080028279427,0.998961668261752
"mfuzz","c1","d_1rm_ext","acute",14,-0.42159541120929,0.17774269075273,0.133245523164196,0.614229362878853
"mfuzz","c1","d_1rm_ext","baseline",14,0.0742237495701427,0.00550916500025127,0.80090673264296,0.998961668261752
"mfuzz","c1","d_1rm_ext","tracks",15,-0.0201538966134622,0.272907083955898,0.885298546047686,0.998961668261752
"mfuzz","c1","d_1rm_legpress","acute",15,0.534069846054626,0.285230600464812,0.0402940179933385,0.585796459092599
"mfuzz","c1","d_1rm_legpress","baseline",15,0.0206747343452564,0.000427444640246929,0.941700105822794,0.998961668261752
"mfuzz","c1","d_1rm_legpress","tracks",16,0.0637576328139888,0.31038466170017,0.625896750265738,0.998961668261752
"mfuzz","c1","d_fcsa_I","acute",15,-0.401255778292324,0.161006199612978,0.138241226544842,0.61831662849167
"mfuzz","c1","d_fcsa_I","baseline",15,-0.103408229792268,0.0106932619887705,0.71381370541119,0.998961668261752
"mfuzz","c1","d_fcsa_I","tracks",16,-0.22098573160151,0.355152000466772,0.0855367790640792,0.585796459092599
"mfuzz","c1","d_fcsa_II","acute",15,-0.389767605425499,0.151918786239128,0.150961823928031,0.61831662849167
"mfuzz","c1","d_fcsa_II","baseline",15,0.0952072901458417,0.00906442809691446,0.735728925570609,0.998961668261752
"mfuzz","c1","d_fcsa_II","tracks",16,-0.172854859239759,0.336192883434362,0.181826950249558,0.636394325873453
"mfuzz","c1","d_mcsa","acute",15,-0.0625254999391236,0.00390943814263735,0.824806561517897,0.998961668261752
"mfuzz","c1","d_mcsa","baseline",15,-0.0558435382973919,0.00311850076957226,0.843302734527337,0.998961668261752
